AÑO / MES / DÍA,HORA,NIVEL DEL RIO (m),PRECIPITACIÓN (mm/hora)
2026/04/01,04:00,7.44,0.0
2026/04/01,05:00,7.47,0.0
2026/04/01,06:00,7.45,0.0
2026/04/01,07:00,7.50,0.0
2026/04/01,08:00,7.60,0.0
2026/04/01,09:00,7.53,0.0
2026/04/01,10:00,7.49,0.0
2026/04/01,11:00,7.44,0.0
2026/04/01,12:00,7.46,0.0
2026/04/01,13:00,7.52,0.0
2026/04/01,14:00,7.44,0.0
2026/04/01,15:00,7.47,0.0
2026/04/01,16:00,7.55,0.0
2026/04/01,19:00,7.44,0.0
2026/04/01,20:00,7.43,0.0
2026/04/01,21:00,7.38,0.0
2026/04/01,22:00,7.38,0.0
2026/04/01,23:00,7.35,0.3
2026/04/02,00:00,7.33,0.0
2026/04/02,01:00,7.32,0.0
2026/04/02,02:00,7.28,0.3
2026/04/02,03:00,7.25,0.0
2026/04/02,04:00,7.25,0.0
2026/04/02,05:00,7.20,0.0
2026/04/02,06:00,7.22,0.0
2026/04/02,07:00,7.21,0.0
2026/04/02,08:00,7.26,0.0
2026/04/02,09:00,7.21,1.2
2026/04/02,10:00,7.22,0.7
2026/04/02,11:00,7.23,0.0
2026/04/02,12:00,7.23,0.0
2026/04/02,13:00,7.26,0.0
2026/04/02,14:00,7.21,0.0
2026/04/02,15:00,7.21,0.0
2026/04/02,16:00,7.25,0.0
2026/04/02,17:00,7.29,0.0
2026/04/02,18:00,7.29,0.0
2026/04/02,19:00,7.28,0.0
2026/04/02,20:00,7.23,0.0
2026/04/02,21:00,7.33,0.0
2026/04/02,22:00,7.26,0.0
2026/04/02,23:00,7.25,0.0
2026/04/03,00:00,7.23,0.0
2026/04/03,01:00,7.23,0.0
2026/04/03,02:00,7.19,0.0
2026/04/03,03:00,7.19,0.0
2026/04/03,04:00,7.17,0.0
2026/04/03,05:00,7.20,0.0
2026/04/03,06:00,7.18,0.0
2026/04/03,07:00,7.20,0.0
2026/04/03,08:00,7.18,0.0
2026/04/03,09:00,7.18,0.0
2026/04/03,10:00,7.28,0.0
2026/04/03,11:00,7.26,0.0
2026/04/03,12:00,7.28,0.0
2026/04/03,13:00,7.35,0.0
2026/04/03,14:00,7.35,0.0
2026/04/03,15:00,7.37,0.0
2026/04/03,16:00,7.41,0.0
2026/04/03,17:00,7.36,0.0
2026/04/03,18:00,7.40,0.0
2026/04/03,19:00,7.35,0.0
2026/04/03,20:00,7.45,0.0
2026/04/03,21:00,7.48,0.0
2026/04/03,22:00,7.48,0.0
2026/04/03,23:00,7.52,0.0
2026/04/04,00:00,7.47,0.0
2026/04/04,01:00,7.47,0.0
2026/04/04,02:00,7.46,0.0
2026/04/04,03:00,7.46,0.0
2026/04/04,04:00,7.45,0.0
2026/04/04,05:00,7.45,0.0
2026/04/04,06:00,7.40,0.0
2026/04/04,07:00,7.49,0.0
2026/04/04,08:00,7.46,0.0
2026/04/04,09:00,7.45,0.0
2026/04/04,10:00,7.40,0.0
2026/04/04,11:00,7.44,0.0
2026/04/04,12:00,7.45,0.0
2026/04/04,13:00,7.44,0.0
2026/04/04,14:00,7.49,0.0
2026/04/04,15:00,7.59,0.0
