AÑO / MES / DÍA,HORA,NIVEL DEL RIO (m),PRECIPITACIÓN (mm/hora)
2025/10/01,00:00,5.14,0.0
2025/10/01,01:00,5.14,0.0
2025/10/01,02:00,5.17,0.0
2025/10/01,03:00,S/D,S/D
2025/10/01,05:00,5.21,0.0
2025/10/01,06:00,5.23,0.3
2025/10/01,07:00,5.25,0.0
2025/10/01,08:00,5.27,0.0
2025/10/01,09:00,5.28,0.0
2025/10/01,10:00,5.31,0.0
2025/10/01,11:00,5.32,0.0
2025/10/01,12:00,5.34,0.0
2025/10/01,13:00,5.35,0.0
2025/10/01,14:00,5.37,0.0
2025/10/01,15:00,5.39,0.0
2025/10/01,16:00,5.40,0.0
2025/10/01,17:00,5.42,0.0
2025/10/01,18:00,5.43,0.0
2025/10/01,19:00,5.45,0.0
2025/10/01,20:00,5.46,0.0
2025/10/01,21:00,5.48,0.0
2025/10/01,22:00,5.49,0.0
2025/10/01,23:00,5.51,0.0
2025/10/02,00:00,5.52,0.0
2025/10/02,01:00,5.53,0.0
2025/10/02,02:00,5.55,0.0
2025/10/02,03:00,5.56,0.0
2025/10/02,04:00,5.58,0.0
2025/10/02,05:00,5.58,0.0
2025/10/02,06:00,5.59,0.0
2025/10/02,07:00,5.60,S/D
2025/10/02,08:00,5.62,0.0
2025/10/02,09:00,5.63,0.0
2025/10/02,10:00,5.63,0.0
2025/10/02,11:00,5.65,0.0
2025/10/02,12:00,5.66,0.0
2025/10/02,13:00,5.66,0.0
2025/10/02,14:00,5.67,0.0
2025/10/02,15:00,5.68,0.0
2025/10/02,16:00,5.69,0.0
2025/10/02,17:00,5.69,0.0
2025/10/02,18:00,5.70,0.0
2025/10/02,19:00,5.72,0.0
2025/10/02,20:00,5.72,0.0
2025/10/02,21:00,5.73,0.0
2025/10/02,22:00,5.74,0.0
2025/10/02,23:00,5.74,0.0
2025/10/03,00:00,5.75,0.0
2025/10/03,01:00,5.75,0.0
2025/10/03,02:00,5.76,0.0
2025/10/03,03:00,5.77,0.0
2025/10/03,04:00,5.77,0.0
2025/10/03,05:00,5.77,0.0
2025/10/03,06:00,5.78,0.0
2025/10/03,07:00,5.78,0.0
2025/10/03,08:00,5.79,0.0
2025/10/03,09:00,5.79,0.0
2025/10/03,10:00,5.79,0.0
2025/10/03,11:00,5.80,0.0
2025/10/03,12:00,5.80,0.0
2025/10/03,13:00,5.80,0.0
2025/10/03,14:00,5.82,0.0
2025/10/03,15:00,5.82,0.0
2025/10/03,16:00,5.82,0.0
2025/10/03,17:00,5.82,0.0
2025/10/03,18:00,5.83,0.0
2025/10/03,19:00,5.83,0.0
2025/10/03,21:00,5.84,0.0
2025/10/03,22:00,5.84,0.0
2025/10/03,23:00,5.84,0.0
2025/10/04,00:00,5.84,0.0
2025/10/04,01:00,5.85,0.0
2025/10/04,02:00,5.85,0.0
2025/10/04,03:00,5.85,0.0
2025/10/04,04:00,5.85,0.0
2025/10/04,05:00,5.85,0.0
2025/10/04,06:00,5.85,0.0
2025/10/04,07:00,5.85,0.0
2025/10/04,08:00,5.86,0.0
2025/10/04,09:00,5.86,0.0
2025/10/04,10:00,5.86,0.0
2025/10/04,11:00,5.87,0.0
2025/10/04,12:00,5.87,0.0
2025/10/04,13:00,5.87,0.0
2025/10/04,14:00,5.87,0.0
2025/10/04,15:00,5.87,0.0
2025/10/04,16:00,5.87,0.0
2025/10/04,17:00,5.87,0.0
2025/10/04,18:00,5.87,0.0
2025/10/04,19:00,5.88,0.0
2025/10/04,20:00,5.88,0.0
2025/10/04,21:00,5.88,0.0
2025/10/04,22:00,5.88,0.0
2025/10/04,23:00,5.88,0.0
2025/10/05,00:00,5.88,0.0
2025/10/05,01:00,5.88,0.0
2025/10/05,02:00,5.88,0.0
2025/10/05,03:00,5.88,0.0
2025/10/05,06:00,5.87,0.0
2025/10/05,07:00,5.88,0.0
2025/10/05,08:00,5.87,0.0
2025/10/05,09:00,5.87,0.0
2025/10/05,10:00,5.88,0.0
2025/10/05,11:00,5.88,0.0
2025/10/05,12:00,5.87,0.0
2025/10/05,13:00,5.87,0.0
2025/10/05,14:00,5.87,0.0
2025/10/05,15:00,5.87,0.0
2025/10/05,16:00,5.87,0.0
2025/10/05,17:00,5.87,0.0
2025/10/05,18:00,5.86,0.0
2025/10/05,19:00,5.87,0.0
2025/10/05,20:00,5.86,0.0
2025/10/05,21:00,5.86,0.0
2025/10/05,22:00,5.87,0.0
2025/10/05,23:00,5.87,0.0
2025/10/06,00:00,5.86,0.0
2025/10/06,01:00,5.87,0.0
2025/10/06,02:00,5.87,0.0
2025/10/06,03:00,5.87,0.0
2025/10/06,04:00,5.87,0.0
2025/10/06,05:00,5.87,0.0
2025/10/06,06:00,5.87,0.0
2025/10/06,07:00,5.87,0.0
2025/10/06,08:00,5.87,0.0
2025/10/06,09:00,5.87,0.0
2025/10/06,10:00,5.87,0.0
2025/10/06,11:00,5.87,0.0
2025/10/06,12:00,5.88,0.0
2025/10/06,13:00,5.87,0.0
2025/10/06,14:00,5.86,0.0
2025/10/06,15:00,5.87,0.0
