AÑO / MES / DÍA,HORA,TEMPERATURA (°C),PRECIPITACIÓN (mm/hora),HUMEDAD (%),DIRECCION DEL VIENTO (°),VELOCIDAD DEL VIENTO (m/s)
2025/11/01,00:00,23.5,0.0,96,35,0.0
2025/11/01,01:00,23.2,0.0,97,185,0.2
2025/11/01,02:00,23.3,0.0,97,S/D,0.0
2025/11/01,03:00,22.9,0.0,98,S/D,0.0
2025/11/01,04:00,23.0,0.0,98,S/D,0.0
2025/11/01,05:00,23.1,0.0,98,240,0.1
2025/11/01,06:00,22.9,0.0,99,S/D,0.0
2025/11/01,07:00,23.1,0.0,98,S/D,0.0
2025/11/01,08:00,24.5,0.0,95,288,0.3
2025/11/01,09:00,26.1,0.0,88,312,0.7
2025/11/01,10:00,28.1,0.0,81,352,0.5
2025/11/01,11:00,29.4,0.0,75,31,1.5
2025/11/01,12:00,30.2,0.0,69,31,2.5
2025/11/01,13:00,30.8,0.0,64,36,2.9
2025/11/01,14:00,31.4,0.0,61,42,2.6
2025/11/01,15:00,31.6,0.0,61,31,1.9
2025/11/01,16:00,31.6,0.0,60,40,1.8
2025/11/01,17:00,31.1,0.0,62,44,1.5
2025/11/01,18:00,28.9,0.0,71,358,1.7
2025/11/01,19:00,26.5,0.0,78,319,0.1
2025/11/01,20:00,25.2,0.0,87,241,0.2
2025/11/01,21:00,24.6,0.0,90,189,0.1
2025/11/01,22:00,24.3,0.0,92,76,0.2
2025/11/01,23:00,24.1,0.0,94,288,0.1
2025/11/02,00:00,23.8,0.0,95,S/D,0.0
2025/11/02,01:00,23.6,0.0,95,S/D,0.0
2025/11/02,02:00,23.5,0.0,96,S/D,0.0
2025/11/02,03:00,23.3,0.0,97,94,0.0
2025/11/02,04:00,23.0,0.0,97,206,0.2
2025/11/02,05:00,23.1,0.0,97,33,0.1
2025/11/02,06:00,23.0,0.0,97,307,0.0
2025/11/02,07:00,23.7,0.0,97,332,1.1
2025/11/02,08:00,23.9,0.0,97,15,2.3
2025/11/02,09:00,23.3,0.0,98,25,1.6
2025/11/02,10:00,23.8,0.0,98,5,1.1
2025/11/02,11:00,24.8,0.0,94,8,1.6
2025/11/02,12:00,25.2,0.0,92,38,1.9
