AÑO / MES / DÍA,HORA,TEMPERATURA (°C),PRECIPITACIÓN (mm/hora),HUMEDAD (%),DIRECCION DEL VIENTO (°),VELOCIDAD DEL VIENTO (m/s)
2024/06/01,00:00,S/D,0.0,S/D,336,0.6
2024/06/01,01:00,S/D,0.0,S/D,13,0.4
2024/06/01,02:00,S/D,0.0,S/D,346,0.0
2024/06/01,03:00,S/D,0.0,S/D,24,0.0
2024/06/01,04:00,S/D,0.0,S/D,260,0.8
2024/06/01,05:00,S/D,0.0,S/D,338,0.0
2024/06/01,06:00,S/D,0.0,S/D,9,0.0
2024/06/01,07:00,S/D,0.0,S/D,348,0.0
2024/06/01,08:00,S/D,0.0,S/D,176,2.6
2024/06/01,09:00,S/D,0.0,S/D,158,2.8
2024/06/01,10:00,S/D,0.0,S/D,135,1.9
2024/06/01,11:00,S/D,0.0,S/D,189,2.6
2024/06/01,12:00,S/D,0.0,S/D,193,2.7
2024/06/01,13:00,S/D,0.0,S/D,177,3.3
2024/06/01,14:00,S/D,0.0,S/D,162,3.2
2024/06/01,15:00,S/D,0.0,S/D,172,2.6
2024/06/01,16:00,S/D,0.0,S/D,172,2.3
2024/06/01,17:00,S/D,0.0,S/D,214,2.6
2024/06/01,18:00,S/D,0.0,S/D,328,0.2
2024/06/01,19:00,S/D,0.0,S/D,347,0.5
2024/06/01,20:00,S/D,0.0,S/D,341,0.5
2024/06/01,21:00,S/D,0.0,S/D,33,0.0
2024/06/01,22:00,S/D,0.0,S/D,346,0.5
2024/06/01,23:00,S/D,0.0,S/D,313,0.2
2024/06/02,00:00,S/D,0.0,S/D,341,0.4
2024/06/02,01:00,S/D,0.0,S/D,341,0.7
2024/06/02,02:00,S/D,0.0,S/D,7,0.4
2024/06/02,03:00,S/D,0.0,S/D,60,0.8
2024/06/02,04:00,S/D,0.0,S/D,348,1.1
2024/06/02,05:00,S/D,0.0,S/D,356,1.4
2024/06/02,06:00,S/D,0.0,S/D,334,0.8
2024/06/02,07:00,S/D,0.0,S/D,126,1.0
2024/06/02,08:00,S/D,0.0,S/D,175,3.6
2024/06/02,09:00,S/D,0.0,S/D,200,4.0
2024/06/02,10:00,S/D,0.0,S/D,173,4.7
2024/06/02,11:00,S/D,0.0,S/D,163,3.8
2024/06/02,12:00,S/D,0.0,S/D,169,2.9
2024/06/02,13:00,S/D,0.0,S/D,181,3.2
2024/06/02,14:00,S/D,0.0,S/D,166,3.6
2024/06/02,15:00,S/D,0.0,S/D,191,4.0
2024/06/02,16:00,S/D,0.0,S/D,242,2.2
2024/06/02,17:00,S/D,0.0,S/D,228,2.6
2024/06/02,18:00,S/D,0.0,S/D,266,0.4
2024/06/02,19:00,S/D,0.0,S/D,54,1.5
2024/06/02,20:00,S/D,0.0,S/D,11,0.3
2024/06/02,21:00,S/D,0.0,S/D,297,0.0
2024/06/02,22:00,S/D,0.0,S/D,56,1.6
2024/06/02,23:00,S/D,0.0,S/D,111,0.6
2024/06/03,00:00,S/D,2.7,S/D,21,2.5
2024/06/03,01:00,S/D,3.3,S/D,41,1.4
2024/06/03,02:00,S/D,1.8,S/D,9,2.4
2024/06/03,03:00,S/D,0.3,S/D,15,1.9
2024/06/03,04:00,S/D,0.0,S/D,357,1.3
2024/06/03,05:00,S/D,0.0,S/D,313,1.2
2024/06/03,06:00,S/D,0.0,S/D,80,0.1
2024/06/03,07:00,S/D,0.3,S/D,324,2.2
2024/06/03,08:00,S/D,0.0,S/D,223,2.0
2024/06/03,09:00,S/D,0.0,S/D,168,2.6
2024/06/03,10:00,S/D,0.0,S/D,134,2.6
