AÑO / MES / DÍA,NIVEL DEL RIO (m)
06,10,14,18,PROMEDIO
2019-12-01,5.80,5.80,5.81,5.83,5.81
2019-12-02,5.87,5.87,5.89,5.90,5.88
2019-12-03,5.91,5.92,5.94,5.95,5.93
2019-12-04,6.00,6.02,6.04,6.05,6.03
2019-12-05,6.11,6.13,6.15,6.17,6.14
2019-12-06,6.30,6.33,6.35,6.38,6.34
2019-12-07,6.49,6.52,6.56,6.59,6.54
2019-12-08,6.69,6.73,6.77,6.80,6.75
2019-12-09,6.91,6.94,6.98,7.02,6.96
2019-12-10,7.06,7.09,7.11,7.11,7.09
2019-12-11,7.12,7.12,7.12,7.12,7.12
2019-12-12,7.10,7.10,7.10,7.09,7.10
2019-12-13,7.06,7.06,7.06,7.05,7.06
2019-12-14,7.00,6.98,6.98,6.98,6.99
2019-12-15,6.98,6.96,6.95,6.94,6.96
2019-12-16,6.90,6.97,6.85,6.84,6.89
2019-12-17,6.72,6.70,6.68,6.66,6.69
2019-12-18,6.53,6.50,6.46,6.40,6.47
2019-12-19,6.35,6.35,6.34,6.33,6.34
2019-12-20,6.31,6.30,6.30,6.30,6.30
2019-12-21,6.31,6.32,6.32,6.34,6.32
2019-12-22,6.37,6.37,6.36,6.36,6.37
2019-12-23,6.39,6.39,6.39,6.39,6.39
2019-12-24,6.40,6.40,6.40,6.40,6.40
2019-12-25,6.42,6.44,6.45,6.46,6.44
2019-12-26,6.51,6.53,6.54,6.56,6.54
2019-12-27,6.66,6.70,6.72,6.72,6.70
2019-12-28,6.80,6.82,6.84,6.86,6.83
2019-12-29,6.92,6.94,6.96,6.97,6.95
2019-12-30,7.10,7.12,7.15,7.16,7.13
2019-12-31,7.24,7.26,7.28,7.29,7.27
