AÑO / MES / DÍA,NIVEL DEL RIO (m)
06,10,14,18,PROMEDIO
2018-11-01,5.98,6.05,6.13,6.21,6.09
2018-11-02,6.33,6.37,6.41,6.46,6.39
2018-11-03,6.57,6.61,6.66,6.71,6.64
2018-11-04,6.85,6.91,6.96,7.01,6.93
2018-11-05,7.03,7.10,7.21,7.24,7.15
2018-11-06,7.29,7.31,7.33,7.34,7.32
2018-11-07,7.34,7.33,7.32,7.31,7.33
2018-11-08,7.26,7.24,7.23,7.21,7.24
2018-11-09,7.05,7.04,7.03,7.01,7.03
2018-11-10,7.01,6.96,6.94,6.92,6.96
2018-11-11,6.89,6.89,6.89,6.89,6.89
2018-11-12,6.89,6.92,6.95,6.99,6.94
2018-11-13,7.03,7.05,7.08,7.11,7.07
2018-11-14,7.19,7.20,7.21,7.22,7.21
2018-11-15,7.26,7.28,7.30,7.33,7.29
2018-11-16,7.36,7.36,7.39,7.39,7.38
2018-11-17,7.45,7.46,7.47,7.49,7.47
2018-11-18,7.54,7.56,7.58,7.59,7.57
2018-11-19,7.72,7.64,7.66,7.69,7.68
2018-11-20,7.77,7.77,7.78,7.80,7.78
2018-11-21,7.85,7.86,7.87,7.89,7.87
2018-11-22,7.93,7.95,7.98,7.99,7.96
2018-11-23,7.99,8.09,8.13,8.15,8.09
2018-11-24,8.23,8.25,8.28,8.34,8.28
2018-11-25,8.42,8.45,8.48,8.52,8.47
2018-11-26,8.57,8.66,8.74,8.79,8.69
2018-11-27,8.83,8.86,8.90,8.94,8.88
2018-11-28,8.96,8.96,8.96,8.96,8.96
2018-11-29,8.99,8.99,9.01,9.03,9.01
2018-11-30,9.05,9.07,9.09,9.10,9.08
