AÑO / MES / DÍA,NIVEL DEL RIO (m)
06,10,14,18,PROMEDIO
2020-06-01,7.70,7.70,7.71,7.73,7.71
2020-06-02,7.78,7.79,7.79,7.80,7.79
2020-06-03,7.81,7.81,7.81,7.80,7.81
2020-06-04,7.80,7.77,7.75,7.72,7.76
2020-06-05,7.71,7.70,7.69,7.66,7.69
2020-06-06,7.65,7.63,7.61,7.57,7.62
2020-06-07,7.56,7.54,7.52,7.50,7.53
2020-06-08,7.49,7.48,7.45,7.43,7.46
2020-06-09,7.41,7.40,7.37,7.33,7.38
2020-06-10,7.32,7.31,7.26,7.24,7.28
2020-06-11,7.20,7.17,7.15,7.11,7.16
2020-06-12,7.09,7.08,7.06,7.04,7.07
2020-06-13,7.02,6.97,6.96,6.94,6.97
2020-06-14,6.91,6.89,6.88,6.85,6.88
2020-06-15,6.84,6.83,6.81,6.80,6.82
2020-06-16,6.79,6.78,6.77,6.75,6.77
2020-06-17,6.72,6.70,6.68,6.67,6.69
2020-06-18,6.65,6.64,6.63,6.62,6.64
2020-06-19,6.61,6.58,6.55,6.53,6.57
2020-06-20,6.52,6.50,6.48,6.46,6.49
2020-06-21,6.44,6.43,6.41,6.37,6.41
2020-06-22,6.33,6.31,6.29,6.28,6.30
2020-06-23,6.26,6.23,6.22,6.20,6.23
2020-06-24,6.18,6.17,6.17,6.15,6.17
2020-06-25,6.15,6.13,6.12,6.11,6.13
2020-06-26,6.09,6.09,6.09,6.12,6.10
2020-06-27,6.12,6.13,6.18,6.15,6.15
2020-06-28,6.18,6.19,6.20,6.22,6.20
2020-06-29,6.23,6.24,6.24,6.26,6.24
2020-06-30,6.27,6.30,6.30,6.31,6.30
