AÑO / MES / DÍA,HORA,TEMPERATURA (°C),PRECIPITACIÓN (mm/hora),HUMEDAD (%),DIRECCION DEL VIENTO (°),VELOCIDAD DEL VIENTO (m/s)
2026/04/01,00:00,24.4,0.0,98,8,0.0
2026/04/01,01:00,23.9,0.0,98,37,0.0
2026/04/01,02:00,23.6,0.0,98,20,0.0
2026/04/01,03:00,23.4,0.0,99,5,0.0
2026/04/01,04:00,23.6,0.0,99,9,0.0
2026/04/01,05:00,23.6,0.0,99,8,0.0
2026/04/01,06:00,23.4,0.0,99,330,0.0
2026/04/01,07:00,23.1,0.0,99,37,0.0
2026/04/01,08:00,23.5,0.0,99,53,0.0
2026/04/01,09:00,24.6,0.0,97,213,0.1
2026/04/01,10:00,26.6,0.0,88,221,0.0
2026/04/01,11:00,31.5,0.0,78,141,0.0
2026/04/01,12:00,34.1,0.0,71,232,0.1
2026/04/01,13:00,34.8,0.0,68,206,0.0
2026/04/01,14:00,34.4,0.0,66,205,0.0
2026/04/01,15:00,36.0,0.0,60,69,0.3
2026/04/01,16:00,35.7,0.0,59,29,0.2
2026/04/01,17:00,33.1,0.0,65,312,0.0
2026/04/01,18:00,29.3,0.0,81,16,0.0
2026/04/01,19:00,27.1,0.0,87,10,0.0
2026/04/01,20:00,25.8,0.0,94,10,0.0
2026/04/01,21:00,25.6,0.0,97,40,0.0
2026/04/01,23:00,24.8,0.0,98,52,0.0
2026/04/02,00:00,24.6,0.0,98,8,0.0
2026/04/02,01:00,24.2,0.0,98,12,0.0
2026/04/02,02:00,24.0,0.0,98,353,0.0
2026/04/02,03:00,23.8,0.0,98,344,0.0
2026/04/02,04:00,24.0,0.0,99,18,0.0
2026/04/02,05:00,23.9,0.0,98,355,0.0
2026/04/02,06:00,23.7,0.0,99,342,0.0
2026/04/02,07:00,23.6,0.0,99,163,0.1
2026/04/02,08:00,24.0,0.0,98,176,0.1
2026/04/02,09:00,24.8,0.0,94,256,0.0
2026/04/02,10:00,25.4,0.0,92,218,0.0
2026/04/02,11:00,28.3,0.0,84,229,0.0
2026/04/02,12:00,30.6,0.0,81,213,0.3
