AÑO / MES / DÍA,HORA,TEMPERATURA (°C),PRECIPITACIÓN (mm/hora),HUMEDAD (%),DIRECCION DEL VIENTO (°),VELOCIDAD DEL VIENTO (m/s)
2022/08/01,00:00,24.6,0.0,99,303,0.0
2022/08/01,01:00,24.1,0.0,99,281,0.0
2022/08/01,02:00,23.8,0.0,100,84,0.0
2022/08/01,03:00,23.4,0.0,100,84,0.0
2022/08/01,04:00,23.1,0.0,100,102,0.0
2022/08/01,05:00,22.8,0.0,100,206,0.0
2022/08/01,06:00,22.6,0.0,100,205,0.0
2022/08/01,07:00,22.3,0.0,100,201,0.0
2022/08/01,08:00,22.2,0.0,100,191,0.0
2022/08/01,09:00,23.1,0.0,100,186,0.1
2022/08/01,10:00,24.8,0.0,94,299,0.0
2022/08/01,11:00,26.7,0.0,84,19,0.1
2022/08/01,12:00,28.9,0.0,81,160,0.0
2022/08/01,13:00,30.4,S/D,76,161,0.1
2022/08/01,14:00,29.6,0.0,86,269,0.4
2022/08/01,15:00,29.9,0.0,84,210,0.2
2022/08/01,16:00,29.8,0.0,83,147,0.1
2022/08/01,17:00,30.3,0.0,80,337,0.0
2022/08/01,18:00,29.1,0.0,84,353,0.0
2022/08/01,19:00,27.5,0.0,93,333,0.1
2022/08/01,20:00,26.3,0.0,97,248,0.0
2022/08/01,21:00,25.5,0.0,99,282,0.0
2022/08/01,22:00,25.0,0.0,99,22,0.1
2022/08/01,23:00,24.7,0.0,99,219,0.0
2022/08/02,00:00,24.5,0.0,100,92,0.0
2022/08/02,01:00,24.4,0.0,100,122,0.1
2022/08/02,02:00,24.2,0.0,99,218,0.0
2022/08/02,03:00,24.0,0.0,99,206,0.0
2022/08/02,04:00,23.7,0.0,99,292,0.0
2022/08/02,05:00,23.4,0.0,99,306,0.1
2022/08/02,06:00,23.3,0.0,100,275,0.0
2022/08/02,07:00,23.1,0.0,99,272,0.0
2022/08/02,08:00,23.0,0.0,99,178,0.0
2022/08/02,09:00,23.5,0.0,97,184,0.1
2022/08/02,10:00,24.1,0.0,95,136,0.4
2022/08/02,11:00,25.1,0.0,90,190,0.1
2022/08/02,12:00,27.4,0.0,82,129,0.6
2022/08/02,13:00,29.8,0.0,76,142,0.1
2022/08/02,14:00,32.1,0.0,70,217,0.0
2022/08/02,15:00,31.3,0.0,73,200,0.0
2022/08/02,16:00,29.8,0.6,83,60,0.5
2022/08/02,17:00,24.6,24.2,99,234,0.0
2022/08/02,18:00,24.5,0.0,100,320,0.1
2022/08/02,19:00,24.8,0.0,100,341,0.1
2022/08/02,20:00,24.1,0.0,100,332,0.0
2022/08/02,21:00,23.8,0.0,100,291,0.0
2022/08/02,22:00,23.6,0.0,100,54,0.0
2022/08/02,23:00,23.4,0.0,100,96,0.0
2022/08/03,00:00,23.3,0.0,100,228,0.0
2022/08/03,01:00,22.9,0.0,100,278,0.3
2022/08/03,02:00,22.8,0.0,100,278,0.0
2022/08/03,03:00,22.5,0.0,100,189,0.0
2022/08/03,04:00,22.2,0.0,100,119,0.0
2022/08/03,05:00,21.9,0.0,100,117,0.0
2022/08/03,06:00,21.6,0.0,100,105,0.0
2022/08/03,07:00,21.5,0.0,100,160,0.0
2022/08/03,08:00,21.4,0.0,100,126,0.0
2022/08/03,09:00,22.3,0.2,100,124,0.4
2022/08/03,10:00,24.4,0.0,100,137,0.1
2022/08/03,11:00,26.4,0.0,98,218,0.1
2022/08/03,12:00,28.8,0.0,92,125,0.0
2022/08/03,13:00,29.9,0.0,85,269,0.0
2022/08/03,14:00,29.6,0.0,84,207,0.1
2022/08/03,15:00,30.8,0.0,76,274,0.0
2022/08/03,16:00,29.1,0.0,81,236,0.7
2022/08/03,17:00,28.1,0.0,83,221,0.0
2022/08/03,18:00,27.7,0.0,89,40,0.3
2022/08/03,19:00,26.4,0.0,93,339,0.1
2022/08/03,20:00,25.0,0.0,97,293,0.1
2022/08/03,21:00,24.4,0.0,99,34,0.0
2022/08/03,22:00,24.1,0.0,99,74,0.0
2022/08/03,23:00,23.8,0.0,100,72,0.2
2022/08/04,00:00,23.5,0.0,100,90,0.0
2022/08/04,01:00,23.4,0.0,100,178,0.0
2022/08/04,02:00,23.2,0.0,100,200,0.0
2022/08/04,03:00,23.4,0.0,100,169,0.0
2022/08/04,04:00,23.5,0.0,100,44,0.0
2022/08/04,05:00,23.4,0.0,100,194,0.0
2022/08/04,06:00,23.4,0.0,100,222,0.1
2022/08/04,07:00,23.4,0.0,100,325,0.0
2022/08/04,08:00,23.4,0.0,100,352,0.0
2022/08/04,09:00,24.0,1.6,99,210,0.2
2022/08/04,10:00,24.7,0.0,99,86,0.2
2022/08/04,11:00,25.8,0.0,95,178,0.1
2022/08/04,12:00,26.7,0.0,91,330,0.0
2022/08/04,13:00,28.0,0.0,87,289,0.0
2022/08/04,14:00,28.8,0.0,87,186,0.0
2022/08/04,15:00,29.5,0.0,83,172,0.0
2022/08/04,16:00,27.9,0.0,88,203,0.5
2022/08/04,17:00,24.7,0.6,95,95,0.0
2022/08/04,18:00,24.3,0.0,99,71,0.0
2022/08/04,19:00,24.1,0.0,99,259,0.0
2022/08/04,20:00,23.9,0.2,100,86,0.1
2022/08/04,21:00,23.8,0.0,100,13,0.0
2022/08/04,22:00,23.7,0.0,100,113,0.0
2022/08/04,23:00,23.6,0.0,100,120,0.0
2022/08/05,00:00,23.3,0.0,100,196,0.1
2022/08/05,01:00,23.3,0.0,100,108,0.0
2022/08/05,02:00,23.2,0.0,100,195,0.1
2022/08/05,03:00,23.0,0.0,100,94,0.0
2022/08/05,04:00,22.9,0.0,100,303,0.0
2022/08/05,05:00,22.9,0.0,100,202,0.0
2022/08/05,06:00,22.9,0.0,100,102,0.1
2022/08/05,07:00,22.8,0.0,100,106,0.0
2022/08/05,08:00,22.9,0.0,100,110,0.1
2022/08/05,09:00,23.1,0.0,100,140,0.1
2022/08/05,10:00,23.7,0.0,98,185,0.1
2022/08/05,11:00,25.2,0.0,93,38,0.1
2022/08/05,12:00,27.2,0.0,87,172,0.3
2022/08/05,13:00,29.4,0.0,81,112,0.1
2022/08/05,14:00,30.7,0.0,78,299,0.0
2022/08/05,15:00,31.0,0.0,77,81,0.0
2022/08/05,16:00,29.9,0.0,82,30,0.0
2022/08/05,17:00,28.3,0.0,92,239,0.4
2022/08/05,18:00,26.5,0.0,93,268,0.0
2022/08/05,19:00,25.9,0.0,95,291,0.1
2022/08/05,20:00,24.9,0.0,98,293,0.1
2022/08/05,21:00,24.4,0.0,99,208,0.0
2022/08/05,22:00,24.2,0.0,99,101,0.0
2022/08/05,23:00,24.0,0.0,100,204,0.1
2022/08/06,00:00,23.7,0.0,100,91,0.0
2022/08/06,01:00,23.4,0.0,100,91,0.0
2022/08/06,02:00,23.2,0.0,100,281,0.0
2022/08/06,03:00,23.1,0.0,100,183,0.0
2022/08/06,04:00,23.1,0.0,100,203,0.0
2022/08/06,05:00,23.1,0.0,100,237,0.0
2022/08/06,06:00,23.0,0.0,100,147,0.0
2022/08/06,07:00,23.1,0.0,100,142,0.0
2022/08/06,08:00,23.3,0.0,100,183,0.0
2022/08/06,09:00,23.9,0.0,99,107,0.3
2022/08/06,10:00,25.2,0.0,95,220,0.1
2022/08/06,11:00,25.5,0.0,93,195,0.9
2022/08/06,12:00,25.8,0.0,91,268,0.5
2022/08/06,13:00,28.7,0.0,81,205,0.1
2022/08/06,14:00,29.4,0.0,80,157,0.3
2022/08/06,15:00,25.7,33.6,95,196,0.4
2022/08/06,16:00,24.3,0.2,100,234,0.2
2022/08/06,17:00,24.3,0.0,100,282,0.3
2022/08/06,18:00,24.4,0.0,100,47,0.4
2022/08/06,19:00,24.3,0.0,100,313,0.0
2022/08/06,20:00,23.7,0.0,100,139,0.3
2022/08/06,21:00,23.3,0.0,100,89,0.0
2022/08/06,22:00,23.0,0.0,100,187,0.0
2022/08/06,23:00,22.7,0.0,100,207,0.0
2022/08/07,00:00,22.3,0.0,100,184,0.0
2022/08/07,01:00,22.1,0.0,100,205,0.0
2022/08/07,02:00,21.8,0.0,100,204,0.0
2022/08/07,03:00,21.6,0.0,100,237,0.0
2022/08/07,04:00,21.3,0.0,100,145,0.0
2022/08/07,05:00,21.2,0.0,100,110,0.0
2022/08/07,06:00,21.3,0.0,100,113,0.0
2022/08/07,07:00,21.4,0.0,100,165,0.0
2022/08/07,08:00,21.6,0.0,100,112,0.1
2022/08/07,09:00,22.4,0.0,100,124,0.3
2022/08/07,10:00,24.2,0.0,100,31,0.0
2022/08/07,11:00,25.7,0.0,99,128,0.1
2022/08/07,12:00,28.3,0.0,95,160,0.1
2022/08/07,13:00,29.8,0.0,87,36,0.0
2022/08/07,14:00,30.8,0.0,80,242,0.0
2022/08/07,15:00,31.5,0.0,72,318,0.1
2022/08/07,16:00,31.7,0.0,71,256,0.0
2022/08/07,17:00,31.3,0.0,77,231,0.0
2022/08/07,18:00,29.0,0.0,84,345,0.0
2022/08/07,19:00,27.0,0.0,83,31,0.0
2022/08/07,20:00,25.0,0.0,94,45,0.0
2022/08/07,21:00,24.1,0.0,98,81,0.1
2022/08/07,22:00,23.7,0.0,99,81,0.0
2022/08/07,23:00,23.3,0.0,99,78,0.0
2022/08/08,00:00,23.0,0.0,100,118,0.0
2022/08/08,01:00,22.8,0.0,100,122,0.0
2022/08/08,02:00,22.6,0.0,100,100,0.0
2022/08/08,03:00,22.4,0.0,100,90,0.0
2022/08/08,04:00,22.5,0.0,100,251,0.1
2022/08/08,05:00,22.4,0.0,100,271,0.0
2022/08/08,06:00,22.2,0.0,100,262,0.0
2022/08/08,07:00,22.1,0.0,100,262,0.0
2022/08/08,08:00,22.2,0.0,100,237,0.0
2022/08/08,09:00,23.0,0.0,100,140,0.0
2022/08/08,10:00,24.8,0.0,93,159,0.0
2022/08/08,11:00,26.7,0.0,86,336,0.0
2022/08/08,12:00,29.8,0.0,77,213,0.0
2022/08/08,13:00,31.9,0.0,72,331,0.0
2022/08/08,14:00,32.4,0.0,69,248,0.0
2022/08/08,15:00,32.8,0.0,68,229,0.1
2022/08/08,16:00,32.0,0.0,72,6,0.0
2022/08/08,17:00,28.9,0.2,86,85,0.5
2022/08/08,18:00,26.5,0.0,94,122,0.3
2022/08/08,19:00,25.8,0.0,95,94,0.6
2022/08/08,20:00,24.8,0.0,98,85,0.1
2022/08/08,21:00,24.1,0.0,99,112,0.0
2022/08/08,22:00,23.8,0.0,99,96,0.2
2022/08/08,23:00,23.7,0.0,99,134,0.0
2022/08/09,00:00,23.2,0.0,99,326,0.1
2022/08/09,01:00,22.9,0.0,100,100,0.1
2022/08/09,02:00,22.6,0.0,100,221,0.0
2022/08/09,03:00,22.4,0.0,100,259,0.0
2022/08/09,04:00,22.3,0.0,100,99,0.1
2022/08/09,05:00,22.4,0.0,100,246,0.0
2022/08/09,06:00,22.3,0.0,100,112,0.0
2022/08/09,07:00,22.3,0.0,100,104,0.0
2022/08/09,08:00,22.4,0.0,100,233,0.0
2022/08/09,09:00,23.2,0.2,99,92,0.1
2022/08/09,10:00,24.4,0.0,97,210,0.2
2022/08/09,11:00,26.5,0.0,89,192,0.1
2022/08/09,12:00,29.6,0.0,79,90,0.0
2022/08/09,13:00,31.6,0.0,74,280,0.0
2022/08/09,14:00,32.4,0.0,68,179,0.0
2022/08/09,15:00,32.7,0.0,68,136,0.0
2022/08/09,16:00,32.8,0.0,69,330,0.0
2022/08/09,17:00,31.6,0.0,72,187,0.0
2022/08/09,18:00,29.8,0.0,80,351,0.0
2022/08/09,19:00,27.9,0.0,89,286,0.4
2022/08/09,20:00,26.3,0.0,93,68,0.1
2022/08/09,21:00,25.6,0.0,97,99,0.0
2022/08/09,22:00,25.3,0.0,97,6,0.1
2022/08/09,23:00,25.0,0.0,97,83,0.9
2022/08/10,00:00,24.1,1.0,97,120,0.0
2022/08/10,01:00,23.4,0.0,99,299,0.0
2022/08/10,02:00,23.2,0.2,100,290,0.0
2022/08/10,03:00,22.9,0.0,100,53,0.2
2022/08/10,04:00,22.8,0.0,100,284,0.0
2022/08/10,05:00,22.5,0.0,100,286,0.0
2022/08/10,06:00,22.5,0.0,100,270,0.0
2022/08/10,07:00,22.6,0.0,99,81,0.3
2022/08/10,08:00,22.5,3.0,99,171,0.0
2022/08/10,09:00,22.6,2.4,100,178,0.5
2022/08/10,10:00,23.1,0.0,98,144,1.6
2022/08/10,11:00,23.7,0.0,92,90,1.1
2022/08/10,12:00,23.5,0.0,91,136,1.4
2022/08/10,13:00,22.1,0.2,95,125,2.1
2022/08/10,14:00,22.0,0.0,93,137,1.1
2022/08/10,15:00,22.5,0.0,86,147,1.4
2022/08/10,16:00,22.2,0.0,86,180,1.1
2022/08/10,17:00,21.5,0.0,86,166,1.5
2022/08/10,18:00,21.5,0.0,84,110,0.6
2022/08/10,19:00,20.9,0.0,90,119,0.3
2022/08/10,20:00,20.4,0.0,94,141,0.2
2022/08/10,21:00,20.1,0.0,95,44,0.0
2022/08/10,22:00,19.9,0.0,96,115,0.0
2022/08/10,23:00,19.8,0.0,97,292,0.0
2022/08/11,00:00,19.7,0.0,98,356,0.0
2022/08/11,01:00,19.6,0.0,98,324,0.0
2022/08/11,02:00,19.3,0.0,98,4,0.0
2022/08/11,03:00,19.1,0.0,99,289,0.0
2022/08/11,04:00,19.2,0.0,99,324,0.0
2022/08/11,05:00,19.1,0.0,99,256,0.0
2022/08/11,06:00,18.6,0.0,99,348,0.1
2022/08/11,07:00,18.2,0.0,100,352,0.0
2022/08/11,08:00,18.1,0.0,100,236,0.0
2022/08/11,09:00,19.0,0.0,99,282,0.2
2022/08/11,10:00,20.4,0.0,88,161,0.7
2022/08/11,11:00,23.7,0.0,79,192,0.5
2022/08/11,12:00,26.1,0.0,72,142,0.6
2022/08/11,13:00,28.3,0.0,68,86,0.1
2022/08/11,14:00,29.4,0.0,67,91,0.1
2022/08/11,15:00,29.1,0.0,66,35,0.0
2022/08/11,16:00,29.8,0.0,66,217,0.0
2022/08/11,17:00,29.1,0.0,68,292,0.0
2022/08/11,18:00,27.2,0.0,79,343,0.4
2022/08/11,19:00,25.4,0.0,87,314,0.0
2022/08/11,20:00,23.8,0.0,93,314,0.0
2022/08/11,21:00,22.9,0.0,97,314,0.0
2022/08/11,22:00,22.3,0.0,99,38,0.0
2022/08/11,23:00,21.8,0.0,99,38,0.0
2022/08/12,00:00,21.4,0.0,99,38,0.0
2022/08/12,01:00,21.1,0.0,100,74,0.0
2022/08/12,02:00,20.9,0.0,100,94,0.0
2022/08/12,03:00,21.1,0.0,100,93,0.0
2022/08/12,04:00,20.9,0.0,100,99,0.0
2022/08/12,05:00,20.8,0.0,100,97,0.0
2022/08/12,06:00,20.6,0.0,100,95,0.0
2022/08/12,07:00,20.8,0.0,100,99,0.0
2022/08/12,08:00,20.9,0.0,100,116,0.0
2022/08/12,09:00,21.8,0.0,99,108,0.0
2022/08/12,10:00,23.7,0.0,91,106,0.5
2022/08/12,11:00,27.0,0.0,83,99,0.3
2022/08/12,12:00,28.4,0.0,77,325,0.0
2022/08/12,13:00,29.0,0.0,78,281,0.0
2022/08/12,14:00,29.7,0.0,73,268,0.1
2022/08/12,15:00,31.5,0.0,68,6,0.1
2022/08/12,16:00,29.9,0.0,75,347,0.0
2022/08/12,17:00,28.1,0.0,80,96,0.0
2022/08/12,18:00,28.4,0.0,80,348,0.0
2022/08/12,19:00,26.6,0.0,89,301,0.0
2022/08/12,20:00,25.1,0.0,96,301,0.0
2022/08/12,21:00,24.2,0.0,98,84,0.1
2022/08/12,22:00,23.5,0.0,99,84,0.0
2022/08/12,23:00,23.1,0.0,99,80,0.1
2022/08/13,00:00,22.7,0.0,100,85,0.0
2022/08/13,01:00,22.3,0.0,100,75,0.0
2022/08/13,02:00,22.1,0.0,100,86,0.0
2022/08/13,03:00,21.9,0.0,100,92,0.0
2022/08/13,04:00,21.6,0.0,100,84,0.0
