AÑO / MES / DÍA,HORA,TEMPERATURA (°C),PRECIPITACIÓN (mm/hora),HUMEDAD (%),DIRECCION DEL VIENTO (°),VELOCIDAD DEL VIENTO (m/s)
2023/01/01,12:00,32.0,S/D,51,289,2.5
2023/01/02,10:00,32.0,S/D,51,289,2.5
2023/01/04,12:00,32.0,S/D,51,289,2.5
2023/01/07,11:00,32.0,S/D,51,289,2.5
2023/01/08,12:00,32.0,S/D,51,289,2.5
2023/01/09,12:00,32.0,S/D,51,289,2.5
2023/01/11,11:00,32.0,S/D,51,289,2.5
2023/01/13,12:00,32.0,S/D,51,289,2.5
2023/01/19,12:00,32.0,S/D,51,289,2.5
2023/01/20,11:00,32.0,S/D,51,289,2.5
2023/01/21,12:00,32.0,S/D,51,289,2.5
2023/01/25,09:00,32.0,S/D,51,289,2.5
2023/01/25,12:00,32.0,S/D,51,289,2.5
2023/01/28,09:00,32.0,S/D,51,289,2.5
2023/01/28,10:00,S/D,S/D,S/D,S/D,S/D
2023/01/28,13:00,32.0,S/D,51,289,2.5
2023/01/29,13:00,32.0,S/D,51,289,2.5
