AÑO / MES / DÍA,HORA,TEMPERATURA (°C),PRECIPITACIÓN (mm/hora),HUMEDAD (%),DIRECCION DEL VIENTO (°),VELOCIDAD DEL VIENTO (m/s)
2021/12/01,00:00,24.0,0.0,100,274,0.0
2021/12/01,01:00,23.8,0.0,100,82,0.0
2021/12/01,02:00,23.8,0.0,100,329,0.0
2021/12/01,03:00,23.8,0.2,100,210,0.0
2021/12/01,04:00,23.7,0.0,100,268,0.0
2021/12/01,05:00,23.5,0.0,100,309,0.0
2021/12/01,06:00,23.4,0.0,100,230,0.0
2021/12/01,07:00,23.3,0.0,100,199,0.0
2021/12/01,08:00,23.6,0.0,100,154,0.0
2021/12/01,09:00,24.3,0.0,99,140,0.0
2021/12/01,10:00,25.3,0.0,94,113,0.0
2021/12/01,11:00,26.6,0.0,90,114,0.0
2021/12/01,12:00,29.5,0.0,80,101,0.4
2021/12/01,13:00,32.1,0.0,74,100,0.4
2021/12/01,14:00,32.7,0.0,70,58,0.2
2021/12/01,15:00,34.1,0.0,69,288,0.2
2021/12/01,16:00,34.7,0.0,68,169,0.1
2021/12/01,17:00,31.9,0.2,81,112,0.0
2021/12/01,18:00,29.4,0.8,87,222,0.3
2021/12/01,19:00,27.2,0.2,96,350,0.2
2021/12/01,20:00,26.3,0.6,98,219,0.0
2021/12/01,21:00,25.5,0.2,99,32,0.1
2021/12/01,22:00,25.3,3.0,99,30,0.9
2021/12/01,23:00,23.8,18.0,99,23,0.0
2021/12/02,00:00,23.9,0.4,100,7,0.0
2021/12/02,01:00,24.0,0.4,100,138,0.0
2021/12/02,02:00,24.0,0.2,100,335,0.0
2021/12/02,03:00,23.8,0.0,100,3,0.0
2021/12/02,04:00,23.6,0.0,100,281,0.0
2021/12/02,05:00,23.7,0.0,100,220,0.0
2021/12/02,06:00,23.7,0.2,100,341,0.0
2021/12/02,07:00,23.6,0.0,100,90,0.0
2021/12/02,08:00,23.9,0.0,100,120,0.0
2021/12/02,09:00,24.7,0.0,100,127,0.0
2021/12/02,10:00,25.3,0.0,99,107,0.0
2021/12/02,11:00,26.5,0.0,97,118,0.0
2021/12/02,12:00,28.3,0.0,91,210,0.1
2021/12/02,13:00,31.0,0.0,82,174,0.1
2021/12/02,14:00,32.4,0.0,76,177,0.0
2021/12/02,15:00,30.0,9.0,84,10,1.7
2021/12/02,16:00,24.1,16.2,99,277,0.2
2021/12/02,17:00,23.9
