

,Estación : MAGUNCHAL
,Departamento :,AMAZONAS,Provincia :,UTCUBAMBA,Distrito :,JAMALCA
,Latitud :,5°53'23.31'',Longitud :,78°11'19.1'',Altitud :,632 msnm.
,Tipo :,HLG - Hidrológica,Código :,221506
AÑO / MES / DÍA,NIVEL DEL RIO (m)
06,10,14,18
2019-01-01,1.17,1.16,1.15,1.15
2019-01-02,1.15,1.13,1.13,1.12
2019-01-03,1.12,1.12,1.11,1.11
2019-01-04,1.10,1.10,1.10,1.14
2019-01-05,1.28,1.24,1.22,1.21
2019-01-06,1.19,1.17,1.15,1.15
2019-01-07,1.19,1.34,1.34,1.35
2019-01-08,1.16,1.19,1.19,1.16
2019-01-09,1.14,1.16,1.15,1.14
2019-01-10,1.11,1.10,1.09,1.08
2019-01-11,1.07,1.07,1.07,1.06
2019-01-12,1.05,1.05,1.04,1.04
2019-01-13,1.04,1.03,1.03,1.03
2019-01-14,1.05,1.03,1.03,1.03
2019-01-15,1.01,1.01,1.01,1.03
2019-01-16,1.08,1.08,1.08,1.10
2019-01-17,1.30,1.21,1.17,1.24
2019-01-18,1.54,1.62,1.55,1.54
2019-01-19,1.46,1.37,1.31,1.29
2019-01-20,1.21,1.20,1.19,1.18
2019-01-21,1.15,1.14,1.14,1.14
2019-01-22,1.17,1.16,1.14,1.14
2019-01-23,1.21,1.23,1.21,1.19
2019-01-24,1.40,1.43,1.35,1.30
2019-01-25,1.70,1.55,1.43,1.39
2019-01-26,1.31,1.29,1.36,1.24
2019-01-27,1.20,1.19,1.17,1.16
2019-01-28,1.16,1.16,1.16,1.15
2019-01-29,1.50,1.43,1.32,1.28
