Fuente: SENAMHI / DRD
* Datos sin control de calidad.
* El uso de estos datos será de entera responsabilidad del usuario.

Leyenda:
* S/D = Sin Datos.
* T = Trazas (Precipitación < 0.1 mm/día).

,Estación : CHIRIACO
,Departamento :,AMAZONAS,Provincia :,BAGUA,Distrito :,IMAZA
,Latitud :,5°9'41.2'',Longitud :,78°17'17'',Altitud :,323 msnm.
,Tipo :,CO - Meteorológica,Código :,105104
AÑO / MES / DÍA,TEMPERATURA (°C),HUMEDAD RELATIVA (%),PRECIPITACIÓN (mm/día)
MAX,MIN,TOTAL
2018-01-01,30.2,S/D,87.9,1.6
2018-01-02,32,S/D,84.2,0.0
2018-01-03,34.2,S/D,78.4,8.2
2018-01-04,28,S/D,90.6,5.2
2018-01-05,29.6,S/D,91.4,5.4
2018-01-06,32.5,S/D,84.2,1.2
2018-01-07,33,S/D,80.2,0.0
2018-01-08,31.5,S/D,84.3,9.2
2018-01-09,28.7,S/D,S/D,67.1
2018-01-10,29.6,S/D,90.0,8.7
2018-01-11,30.2,S/D,88.6,0.8
2018-01-12,29.5,S/D,88.9,0.0
2018-01-13,31.5,S/D,87.7,0.0
2018-01-14,27.5,S/D,S/D,24.9
2018-01-15,26.8,S/D,88.7,0.0
2018-01-16,30,S/D,85.5,5.7
2018-01-17,24.8,S/D,94.0,20.0
2018-01-18,29.7,S/D,85.5,0.0
2018-01-19,29,S/D,86.3,18.2
2018-01-20,26.2,S/D,91.5,20.8
2018-01-21,28,S/D,91.0,21.4
2018-01-22,29,S/D,88.0,4.5
2018-01-23,27.4,S/D,91.1,0.7
2018-01-24,27,S/D,91.3,0.8
2018-01-25,31,S/D,87.5,0.0
2018-01-26,33,S/D,78.7,0.0
2018-01-27,28.6,S/D,90.6,1.9
2018-01-28,28.2,S/D,93.1,26.0
2018-01-29,29.4,S/D,90.2,4.8
2018-01-30,29.4,S/D,90.2,2.0
2018-01-31,31.7,S/D,87.9,0.0
