Fuente: SENAMHI / DRD
* Datos sin control de calidad.
* El uso de estos datos será de entera responsabilidad del usuario.

Leyenda:
* S/D = Sin Datos.
* T = Trazas (Precipitación < 0.1 mm/día).

,Estación : EL PALTO
,Departamento :,AMAZONAS,Provincia :,UTCUBAMBA,Distrito :,LONYA GRANDE
,Latitud :,6°0'1.4'',Longitud :,78°28'15.5'',Altitud :,1467 msnm.
,Tipo :,CO - Meteorológica,Código :,106121
AÑO / MES / DÍA,TEMPERATURA (°C),HUMEDAD RELATIVA (%),PRECIPITACIÓN (mm/día)
MAX,MIN,TOTAL
2020-01-01,28.5,17.4,88.7,0.0
2020-01-02,28,17.5,93.8,0.0
2020-01-03,22,17.3,91.6,0.0
2020-01-04,28,16.9,89.4,0.0
2020-01-05,29.5,16.5,88.6,0.0
2020-01-06,32.5,16.4,85.0,0.0
2020-01-07,31.5,15,87.0,0.0
2020-01-08,26,17.2,93.9,0.5
2020-01-09,27,17.5,87.3,0.0
2020-01-10,24.5,17.2,93.8,1.3
2020-01-11,20.2,16,95.9,0.0
2020-01-12,20.3,17,96.1,2.5
2020-01-13,20,16.2,94.0,3.5
2020-01-14,22.8,16,93.3,3.0
2020-01-15,22.5,16.1,94.0,2.2
2020-01-16,24,15.6,90.7,0.7
2020-01-17,27.5,16.5,92.7,3.7
2020-01-18,22.5,17.5,95.8,3.2
2020-01-19,24.5,17.5,94.3,1.0
2020-01-20,28.5,17.6,89.6,0.0
2020-01-21,31.8,17.6,86.7,0.0
2020-01-22,32.5,17,81.7,0.0
2020-01-23,27.6,15,87.5,0.0
2020-01-24,29.5,15.5,87.9,5.6
2020-01-25,29,17,92.5,26.2
2020-01-26,25.5,16.2,91.8,0.6
2020-01-27,31.5,15.2,89.3,0.0
2020-01-28,29,16,90.5,0.0
2020-01-29,25.6,16,92.4,0.0
2020-01-30,25.5,16.9,91.6,5.1
2020-01-31,23,18,97.4,1.3
