Fuente: SENAMHI / DRD
* Datos sin control de calidad.
* El uso de estos datos será de entera responsabilidad del usuario.

Leyenda:
* S/D = Sin Datos.
* T = Trazas (Precipitación < 0.1 mm/día).

,Estación : EL PINTOR
,Departamento :,AMAZONAS,Provincia :,UTCUBAMBA,Distrito :,BAGUA GRANDE
,Latitud :,5°45'22.32'',Longitud :,78°31'22.3'',Altitud :,533 msnm.
,Tipo :,PLU - Meteorológica,Código :,105040
AÑO / MES / DÍA,TEMPERATURA (°C),HUMEDAD RELATIVA (%),PRECIPITACIÓN (mm/día)
MAX,MIN,TOTAL
2020-11-01,,,,0.0
2020-11-02,,,,0.0
2020-11-03,,,,0.0
2020-11-04,,,,0.0
2020-11-05,,,,16.6
2020-11-06,,,,0.2
2020-11-07,,,,0.0
2020-11-08,,,,0.0
2020-11-09,,,,0.0
2020-11-10,,,,42.3
2020-11-11,,,,0.6
2020-11-12,,,,0.0
2020-11-13,,,,0.0
2020-11-14,,,,0.0
2020-11-15,,,,0.0
2020-11-16,,,,0.0
2020-11-17,,,,12.8
2020-11-18,,,,24.1
2020-11-19,,,,1.5
2020-11-20,,,,0.7
2020-11-21,,,,0.0
2020-11-22,,,,0.0
2020-11-23,,,,0.0
2020-11-24,,,,0.0
2020-11-25,,,,0.0
2020-11-26,,,,16.1
2020-11-27,,,,1.4
2020-11-28,,,,0.0
2020-11-29,,,,1.2
2020-11-30,,,,2.5
