Fuente: SENAMHI / DRD
* Datos sin control de calidad.
* El uso de estos datos será de entera responsabilidad del usuario.

Leyenda:
* S/D = Sin Datos.

,Estación : ENAPU PERU
,Departamento :,LORETO,Provincia :,MAYNAS,Distrito :,PUNCHANA
,Latitud :,3°43'38'',Longitud :,73°14'13'',Altitud :,126 msnm.
,Tipo :,EHMA - Hidrológica,Código :,47252718
AÑO / MES / DÍA,HORA,NIVEL DEL RIO (m),PRECIPITACIÓN (mm/hora)
2020/11/01,01:00,109.25,0.0
2020/11/01,02:00,109.24,0.0
2020/11/01,03:00,109.23,0.0
2020/11/01,04:00,109.22,0.0
2020/11/01,05:00,109.21,0.0
2020/11/01,06:00,109.20,0.0
2020/11/01,07:00,109.20,0.0
2020/11/01,08:00,109.19,0.0
2020/11/01,09:00,109.18,0.0
2020/11/01,10:00,109.17,0.0
2020/11/01,11:00,109.16,0.0
2020/11/01,12:00,109.15,0.0
2020/11/01,13:00,109.15,0.0
2020/11/01,14:00,109.13,0.0
2020/11/01,15:00,109.12,0.0
2020/11/01,16:00,109.12,0.0
2020/11/01,17:00,109.11,0.0
2020/11/01,18:00,109.10,0.0
2020/11/01,19:00,109.09,0.0
2020/11/01,20:00,109.08,0.0
2020/11/01,21:00,109.07,0.0
2020/11/01,22:00,109.06,0.0
2020/11/01,23:00,109.06,0.0
2020/11/02,00:00,109.05,0.0
2020/11/02,01:00,109.04,0.0
2020/11/02,02:00,109.03,0.0
2020/11/02,03:00,109.02,0.0
2020/11/02,04:00,109.02,0.0
2020/11/02,05:00,109.00,0.0
2020/11/02,06:00,108.99,0.0
2020/11/02,07:00,108.99,0.0
2020/11/02,08:00,108.98,0.0
2020/11/02,09:00,108.97,0.0
2020/11/02,10:00,108.96,0.0
2020/11/02,11:00,108.96,0.0
2020/11/02,12:00,108.95,0.0
2020/11/02,13:00,108.94,0.0
2020/11/02,14:00,108.93,0.0
2020/11/02,15:00,108.92,0.0
2020/11/02,16:00,108.92,0.0
2020/11/02,17:00,108.91,0.0
2020/11/02,18:00,108.90,0.0
2020/11/02,19:00,108.90,0.0
2020/11/02,20:00,108.89,0.0
2020/11/02,21:00,108.88,0.0
2020/11/02,22:00,108.88,0.0
2020/11/02,23:00,108.87,0.0
2020/11/03,00:00,108.86,0.0
2020/11/03,01:00,108.86,0.0
2020/11/03,02:00,108.84,0.0
2020/11/03,03:00,108.84,0.0
2020/11/03,04:00,108.84,0.0
2020/11/03,05:00,108.82,0.0
2020/11/03,06:00,108.82,0.0
2020/11/03,07:00,108.82,0.0
2020/11/03,08:00,108.81,0.0
2020/11/03,09:00,108.80,0.0
2020/11/03,10:00,108.81,0.0
2020/11/03,11:00,108.80,0.0
2020/11/03,12:00,108.79,0.0
2020/11/03,13:00,108.79,0.0
2020/11/03,14:00,108.78,0.0
2020/11/03,15:00,108.78,0.0
2020/11/03,16:00,108.77,0.0
2020/11/03,17:00,108.77,0.0
2020/11/03,18:00,108.77,0.0
2020/11/03,19:00,108.76,0.0
2020/11/03,20:00,108.76,0.0
2020/11/03,21:00,108.75,0.0
2020/11/03,22:00,108.75,0.0
2020/11/03,23:00,108.75,0.0
2020/11/04,00:00,108.75,0.0
2020/11/04,01:00,108.74,0.0
2020/11/04,02:00,108.74,0.0
2020/11/04,03:00,108.74,0.0
2020/11/04,04:00,108.74,0.0
2020/11/04,05:00,108.74,0.0
2020/11/04,06:00,108.72,0.0
2020/11/04,07:00,108.71,0.0
2020/11/04,08:00,108.70,0.0
2020/11/04,09:00,108.70,0.0
2020/11/04,10:00,108.70,0.0
2020/11/04,11:00,108.69,0.0
2020/11/04,12:00,108.69,0.0
2020/11/04,13:00,108.68,0.0
2020/11/04,14:00,108.68,0.0
2020/11/04,15:00,108.68,0.0
2020/11/04,16:00,108.68,0.0
2020/11/04,17:00,108.66,0.0
2020/11/04,18:00,108.67,0.0
2020/11/04,19:00,108.67,0.0
2020/11/04,20:00,108.67,0.0
2020/11/04,21:00,108.68,0.0
2020/11/04,22:00,108.66,0.0
2020/11/04,23:00,108.65,0.0
2020/11/05,00:00,108.65,0.0
2020/11/05,01:00,108.65,0.0
2020/11/05,02:00,108.66,0.0
2020/11/05,03:00,108.63,0.0
2020/11/05,04:00,108.63,0.0
2020/11/05,05:00,108.63,0.0
2020/11/05,06:00,108.62,0.0
2020/11/05,07:00,108.63,0.0
2020/11/05,08:00,108.62,0.0
2020/11/05,09:00,108.62,0.0
2020/11/05,10:00,108.62,0.0
2020/11/05,11:00,108.60,0.0
2020/11/05,12:00,108.60,0.0
2020/11/05,13:00,108.61,0.0
2020/11/05,14:00,108.60,0.0
2020/11/05,15:00,108.60,0.0
2020/11/05,16:00,108.59,0.0
2020/11/05,17:00,108.59,0.0
2020/11/05,18:00,108.59,0.0
2020/11/05,19:00,108.59,0.0
2020/11/05,20:00,108.58,0.0
2020/11/05,21:00,108.59,0.0
2020/11/05,22:00,108.58,0.0
2020/11/05,23:00,108.58,0.0
2020/11/06,00:00,108.57,0.0
2020/11/06,01:00,108.57,0.0
2020/11/06,02:00,108.56,0.0
2020/11/06,03:00,108.57,0.0
2020/11/06,04:00,108.56,0.0
2020/11/06,05:00,108.56,0.0
2020/11/06,06:00,108.56,0.0
2020/11/06,07:00,108.55,0.0
2020/11/06,08:00,108.56,0.0
2020/11/06,09:00,108.55,0.0
2020/11/06,10:00,108.55,0.0
2020/11/06,11:00,108.57,0.0
2020/11/06,12:00,108.55,0.0
2020/11/06,13:00,108.55,0.9
2020/11/06,14:00,108.54,0.0
2020/11/06,15:00,108.55,0.0
2020/11/06,16:00,108.55,0.0
2020/11/06,17:00,108.55,0.0
2020/11/06,18:00,108.61,0.0
2020/11/06,19:00,108.60,0.0
2020/11/06,20:00,108.60,0.0
2020/11/06,21:00,108.61,0.0
2020/11/06,22:00,108.62,0.0
2020/11/06,23:00,108.61,0.0
2020/11/07,00:00,108.62,0.0
2020/11/07,01:00,108.63,0.0
2020/11/07,02:00,108.62,0.0
2020/11/07,03:00,108.62,0.0
2020/11/07,04:00,108.62,0.0
2020/11/07,05:00,108.62,0.0
2020/11/07,06:00,108.62,0.0
2020/11/07,07:00,108.50,0.0
2020/11/07,08:00,108.50,0.0
2020/11/07,09:00,108.52,0.0
2020/11/07,10:00,108.51,0.0
2020/11/07,11:00,108.52,0.0
2020/11/07,12:00,108.52,0.0
2020/11/07,13:00,108.51,0.0
2020/11/07,14:00,108.52,0.0
2020/11/07,15:00,108.51,0.0
2020/11/07,16:00,108.51,0.0
2020/11/07,17:00,108.51,0.0
2020/11/07,18:00,108.52,0.0
2020/11/07,19:00,108.51,0.0
2020/11/07,20:00,108.51,0.0
2020/11/07,21:00,108.51,0.0
2020/11/07,22:00,108.51,0.0
2020/11/07,23:00,108.51,0.0
2020/11/08,00:00,108.48,0.0
2020/11/08,01:00,108.48,0.0
2020/11/08,02:00,108.47,0.0
2020/11/08,03:00,108.47,0.0
2020/11/08,04:00,108.47,0.0
2020/11/08,05:00,108.46,0.3
2020/11/08,06:00,108.47,0.0
2020/11/08,07:00,108.46,0.0
2020/11/08,08:00,108.44,0.0
2020/11/08,09:00,108.45,0.0
2020/11/08,10:00,108.46,0.0
2020/11/08,11:00,108.45,0.0
2020/11/08,12:00,108.45,0.0
2020/11/08,13:00,108.44,0.0
2020/11/08,14:00,108.43,0.0
2020/11/08,15:00,108.43,0.0
2020/11/08,16:00,108.42,0.0
2020/11/08,17:00,108.42,0.0
2020/11/08,18:00,108.42,0.0
2020/11/08,19:00,108.42,0.0
2020/11/08,20:00,108.41,0.0
2020/11/08,21:00,108.41,0.0
