Fuente: SENAMHI / DRD
* Datos sin control de calidad.
* El uso de estos datos será de entera responsabilidad del usuario.

Leyenda:
* S/D = Sin Datos.
* T = Trazas (Precipitación < 0.1 mm/día).

,Estación : AMAZONAS
,Departamento :,LORETO,Provincia :,MAYNAS,Distrito :,BELEN
,Latitud :,3°46'.58'',Longitud :,73°15'11.07'',Altitud :,86 msnm.
,Tipo :,HLM - Hidrológica,Código :,240503
AÑO / MES / DÍA,NIVEL DEL RIO (m)
06,10,14,18
2024-11-01,10.74,10.79,10.84,10.86
2024-11-02,11.05,11.09,11.15,11.20
2024-11-03,11.36,11.40,11.45,11.50
2024-11-04,11.65,11.67,11.70,11.75
2024-11-05,11.81,11.81,11.82,11.83
2024-11-06,11.84,11.83,11.83,11.83
2024-11-07,11.83,11.82,11.81,11.80
2024-11-08,11.76,11.75,11.72,11.70
2024-11-09,11.63,11.60,11.55,11.53
2024-11-10,11.45,11.42,11.38,11.36
2024-11-11,11.25,11.23,11.19,11.15
2024-11-12,11.03,11.00,10.98,10.93
2024-11-13,10.83,11.80,10.78,10.75
2024-11-14,10.66,10.64,10.61,10.60
2024-11-15,10.53,10.52,10.51,10.49
2024-11-16,10.46,10.46,10.46,10.46
2024-11-17,10.44,10.43,10.42,10.42
2024-11-18,10.49,10.49,10.50,10.50
2024-11-19,10.64,10.61,10.59,10.58
2024-11-20,10.55,10.57,10.59,10.61
2024-11-21,10.65,10.65,10.65,10.63
2024-11-22,10.65,10.66,10.67,10.67
2024-11-23,10.68,10.69,10.75,10.83
2024-11-24,10.89,10.90,10.95,10.97
2024-11-25,10.99,11.01,11.04,11.06
2024-11-26,11.29,11.37,11.48,11.56
2024-11-27,11.79,11.83,11.92,11.97
2024-11-28,12.15,12.20,12.24,12.29
2024-11-29,12.47,12.50,12.54,12.57
2024-11-30,12.69,12.72,12.75,12.79
