Fuente: SENAMHI / DRD
* Datos sin control de calidad.
* El uso de estos datos será de entera responsabilidad del usuario.

Leyenda:
* S/D = Sin Datos.
* T = Trazas (Precipitación < 0.1 mm/día).

,Estación : ANGAMOS
,Departamento :,LORETO,Provincia :,REQUENA,Distrito :,YAQUERANA
,Latitud :,5°9'4.24'',Longitud :,72°52'30.79'',Altitud :,96 msnm.
,Tipo :,HLM - Hidrológica,Código :,240401
AÑO / MES / DÍA,NIVEL DEL RIO (m)
06,10,14,18
2021-12-01,12.90,12.87,12.84,12.82
2021-12-02,12.80,12.76,12.74,12.72
2021-12-03,12.70,12.68,12.66,12.64
2021-12-04,12.61,12.59,12.57,12.55
2021-12-05,12.53,12.51,12.47,12.44
2021-12-06,12.40,12.41,12.42,12.43
2021-12-07,12.44,12.44,12.44,12.44
2021-12-08,12.44,12.46,12.48,12.50
2021-12-09,12.52,12.54,12.56,12.58
2021-12-10,12.60,12.70,12.85,12.96
2021-12-11,13.05,13.40,13.60,13.90
2021-12-12,14.00,14.15,14.30,14.50
2021-12-13,14.60,14.62,14.63,14.64
2021-12-14,14.65,14.65,14.65,14.65
2021-12-15,14.65,14.68,14.73,14.75
2021-12-16,14.80,14.90,15.00,15.10
2021-12-17,15.20,15.30,15.40,15.50
2021-12-18,15.60,15.65,15.70,15.75
2021-12-19,15.80,15.90,16.00,16.05
2021-12-20,16.10,16.13,16.18,16.20
2021-12-21,16.22,16.24,16.26,16.28
2021-12-22,16.29,16.29,16.29,16.29
2021-12-23,16.29,16.31,16.33,16.35
2021-12-24,16.37,16.37,16.37,16.37
2021-12-25,16.37,16.37,16.37,16.37
2021-12-26,16.37,16.37,16.37,16.37
2021-12-27,16.37,16.38,16.39,16.40
2021-12-28,16.41,16.42,16.43,16.44
2021-12-29,16.44,16.45,16.46,16.47
2021-12-30,16.47,16.47,16.48,16.48
2021-12-31,16.48,16.48,16.48,16.48
