Fuente: SENAMHI / DRD
* Datos sin control de calidad.
* El uso de estos datos será de entera responsabilidad del usuario.

Leyenda:
* S/D = Sin Datos.
* T = Trazas (Precipitación < 0.1 mm/día).

,Estación : BELLAVISTA
,Departamento :,LORETO,Provincia :,MAYNAS,Distrito :,MAZAN
,Latitud :,3°28'42.94'',Longitud :,73°4'4.93'',Altitud :,91 msnm.
,Tipo :,HLM - Hidrológica,Código :,240111
AÑO / MES / DÍA,NIVEL DEL RIO (m)
06,10,14,18
2019-04-01,6.64,6.63,6.62,6.62
2019-04-02,6.58,6.57,6.56,6.55
2019-04-03,6.51,6.51,6.52,6.54
2019-04-04,6.63,6.64,6.65,6.65
2019-04-05,6.69,6.71,6.74,6.77
2019-04-06,6.89,6.90,6.91,6.93
2019-04-07,6.97,6.97,6.98,6.98
2019-04-08,7.04,7.04,7.04,7.03
2019-04-09,6.98,6.98,6.98,6.98
2019-04-10,6.97,6.96,6.94,6.91
2019-04-11,6.80,6.80,6.79,6.78
2019-04-12,6.74,6.74,6.74,6.74
2019-04-13,6.77,6.78,6.79,6.80
2019-04-14,6.83,6.84,6.85,6.86
2019-04-15,6.90,6.90,6.89,6.87
2019-04-16,6.68,6.65,6.62,6.58
2019-04-17,6.30,6.26,6.23,6.19
2019-04-18,6.05,6.03,5.99,5.97
2019-04-19,5.94,5.94,5.94,5.95
2019-04-20,6.05,6.06,6.08,6.10
2019-04-21,6.12,6.14,6.15,6.17
2019-04-22,6.22,6.22,6.22,6.22
2019-04-23,6.24,6.24,6.23,6.23
2019-04-24,6.19,6.19,6.20,6.21
2019-04-25,6.27,6.28,6.30,6.31
2019-04-26,6.38,6.39,6.40,6.42
2019-04-27,6.49,6.50,6.50,6.51
2019-04-28,6.56,6.56,6.56,6.56
2019-04-29,6.59,6.59,6.59,6.60
2019-04-30,6.65,6.66,6.68,6.70
