Fuente: SENAMHI / DRD
* Datos sin control de calidad.
* El uso de estos datos será de entera responsabilidad del usuario.

Leyenda:
* S/D = Sin Datos.
* T = Trazas (Precipitación < 0.1 mm/día).

,Estación : CONTAMANA
,Departamento :,LORETO,Provincia :,UCAYALI,Distrito :,CONTAMANA
,Latitud :,7°21'6.46'',Longitud :,75°0'39.06'',Altitud :,134 msnm.
,Tipo :,HLM - Hidrológica,Código :,251102
AÑO / MES / DÍA,NIVEL DEL RIO (m)
06,10,14,18
2018-07-01,4.95,4.95,4.94,4.94
2018-07-02,4.92,4.91,4.91,4.90
2018-07-03,4.87,4.86,4.85,4.84
2018-07-04,4.80,4.79,4.78,4.76
2018-07-05,4.72,4.71,4.69,4.67
2018-07-06,4.60,4.58,4.56,4.54
2018-07-07,4.49,4.48,4.46,4.45
2018-07-08,4.40,4.39,4.37,4.35
2018-07-09,4.29,4.29,4.30,4.32
2018-07-10,4.32,4.33,4.34,4.35
2018-07-11,4.37,4.37,4.38,4.38
2018-07-12,4.40,4.42,4.44,4.46
2018-07-13,4.58,4.60,4.61,4.63
2018-07-14,4.68,4.70,4.70,4.70
2018-07-15,4.70,4.70,4.70,4.70
2018-07-16,4.68,4.67,4.65,4.64
2018-07-17,4.57,4.54,4.52,4.50
2018-07-18,4.40,4.39,4.39,4.38
2018-07-19,4.35,4.30,4.25,4.20
2018-07-20,4.10,4.10,4.09,4.09
2018-07-21,4.08,4.08,4.08,4.08
2018-07-22,4.08,4.07,4.06,4.06
2018-07-23,4.03,4.03,4.02,4.04
2018-07-24,4.13,4.16,4.19,4.24
2018-07-25,4.38,4.44,4.48,4.52
2018-07-26,4.65,4.70,4.76,4.83
2018-07-27,5.05,5.08,5.11,5.13
2018-07-28,5.24,5.24,5.24,5.24
2018-07-29,5.24,5.24,5.24,5.23
2018-07-30,5.22,5.17,5.11,5.04
2018-07-31,4.96,4.93,4.90,4.88
