Fuente: SENAMHI / DRD
* Datos sin control de calidad.
* El uso de estos datos será de entera responsabilidad del usuario.

Leyenda:
* S/D = Sin Datos.
* T = Trazas (Precipitación < 0.1 mm/día).

,Estación : FLOR DE PUNGA
,Departamento :,LORETO,Provincia :,REQUENA,Distrito :,CAPELO
,Latitud :,5°24'27.64'',Longitud :,74°9'24.71'',Altitud :,103 msnm.
,Tipo :,HLM - Hidrológica,Código :,251100
AÑO / MES / DÍA,NIVEL DEL RIO (m)
06,10,14,18
2023-08-01,6.82,6.81,6.80,6.79
2023-08-02,6.76,6.74,6.72,6.70
2023-08-03,6.65,6.65,6.65,6.65
2023-08-04,6.61,6.61,6.61,6.61
2023-08-05,6.60,6.59,6.59,6.58
2023-08-06,6.64,6.66,6.68,6.68
2023-08-07,6.68,6.72,6.73,6.79
2023-08-08,6.91,6.94,6.97,6.99
2023-08-09,7.10,7.13,7.15,7.16
2023-08-10,7.20,7.20,7.21,7.21
2023-08-11,7.18,7.16,7.15,7.13
2023-08-12,7.07,7.05,7.02,6.99
2023-08-13,6.87,6.86,6.84,6.82
2023-08-14,6.77,6.75,6.74,6.72
2023-08-15,6.68,6.66,6.64,6.62
2023-08-16,6.58,6.56,6.54,6.52
2023-08-17,6.48,6.47,6.46,6.45
2023-08-18,6.42,6.41,6.40,6.40
2023-08-19,6.40,6.40,6.43,6.44
2023-08-20,6.51,6.54,6.58,6.60
2023-08-21,6.72,6.77,6.80,6.84
2023-08-22,6.96,6.99,7.04,7.06
2023-08-23,7.15,7.18,7.19,7.20
2023-08-24,7.24,7.24,7.25,7.25
2023-08-25,7.23,7.22,7.19,7.19
2023-08-26,7.14,7.11,7.10,7.05
2023-08-27,6.99,6.97,6.93,6.90
2023-08-28,6.81,6.78,6.75,6.71
2023-08-29,6.61,6.59,6.56,6.53
2023-08-30,6.43,6.41,6.40,6.38
2023-08-31,6.31,6.29,6.27,6.25
