Fuente: SENAMHI / DRD
* Datos sin control de calidad.
* El uso de estos datos será de entera responsabilidad del usuario.

Leyenda:
* S/D = Sin Datos.
* T = Trazas (Precipitación < 0.1 mm/día).

,Estación : GENARO HERRERA
,Departamento :,LORETO,Provincia :,REQUENA,Distrito :,JENARO HERRERA
,Latitud :,4°54'7.1'',Longitud :,73°40'17.35'',Altitud :,97 msnm.
,Tipo :,HLM - Hidrológica,Código :,251104
AÑO / MES / DÍA,NIVEL DEL RIO (m)
06,10,14,18
2019-06-01,11.89,11.86,11.84,11.80
2019-06-02,11.78,11.75,11.70,11.64
2019-06-03,11.54,11.52,11.49,11.46
2019-06-04,11.36,11.35,11.34,11.31
2019-06-05,11.26,11.24,11.22,11.18
2019-06-06,11.08,11.07,11.06,11.02
2019-06-07,10.96,10.95,10.94,10.90
2019-06-08,10.88,10.85,10.77,10.79
2019-06-09,10.72,10.71,10.66,10.63
2019-06-10,10.59,10.57,10.55,10.50
2019-06-11,10.48,10.46,10.45,10.42
2019-06-12,10.38,10.36,10.44,10.48
2019-06-13,10.42,10.40,10.38,10.36
2019-06-14,10.32,10.30,10.27,10.25
2019-06-15,10.20,10.18,10.15,10.10
2019-06-16,10.06,10.04,10.02,9.96
2019-06-17,9.90,9.89,9.86,9.82
2019-06-18,9.76,9.74,9.72,9.69
2019-06-19,9.64,9.62,9.60,9.57
2019-06-20,9.45,9.43,9.40,9.39
2019-06-21,9.35,9.33,9.32,9.30
2019-06-22,9.25,9.24,9.22,9.20
2019-06-23,9.18,9.17,9.15,9.12
2019-06-24,9.10,9.12,9.16,9.20
2019-06-25,9.20,9.20,9.20,9.20
2019-06-26,9.20,9.20,9.19,9.18
2019-06-27,9.17,9.16,9.14,9.10
2019-06-28,9.08,9.04,8.94,8.90
2019-06-29,8.87,8.86,8.84,8.75
2019-06-30,8.65,8.63,8.60,8.50
