Fuente: SENAMHI / DRD
* Datos sin control de calidad.
* El uso de estos datos será de entera responsabilidad del usuario.

Leyenda:
* S/D = Sin Datos.
* T = Trazas (Precipitación < 0.1 mm/día).

,Estación : NAUTA
,Departamento :,LORETO,Provincia :,LORETO,Distrito :,NAUTA
,Latitud :,4°30'52.54'',Longitud :,73°34'58.99'',Altitud :,92 msnm.
,Tipo :,HLM - Hidrológica,Código :,221402
AÑO / MES / DÍA,NIVEL DEL RIO (m)
06,10,14,18
2021-05-01,10.71,10.70,10.68,10.66
2021-05-02,10.65,10.64,10.64,10.63
2021-05-03,10.63,10.62,10.61,10.60
2021-05-04,10.59,10.59,10.59,10.58
2021-05-05,10.58,10.56,10.54,10.52
2021-05-06,10.50,10.50,10.50,10.50
2021-05-07,10.50,10.50,10.50,10.50
2021-05-08,10.50,10.50,10.50,10.50
2021-05-09,10.50,10.50,10.50,10.50
2021-05-10,10.49,10.49,10.49,10.49
2021-05-11,10.48,10.47,10.47,10.46
2021-05-12,10.45,10.45,10.44,10.44
2021-05-13,10.43,10.43,10.43,10.43
2021-05-14,10.43,10.43,10.43,10.43
2021-05-15,10.43,10.42,10.41,10.41
2021-05-16,10.40,10.39,10.38,10.37
2021-05-17,10.37,10.31,10.25,10.21
2021-05-18,10.18,10.18,10.18,10.17
2021-05-19,10.16,10.13,10.10,10.09
2021-05-20,10.07,10.07,10.06,10.06
2021-05-21,10.05,10.01,9.98,9.96
2021-05-22,9.94,9.94,9.93,9.91
2021-05-23,9.89,9.89,9.88,9.87
2021-05-24,9.86,9.85,9.85,9.84
2021-05-25,9.82,9.81,9.80,9.79
2021-05-26,9.77,9.75,9.73,9.72
2021-05-27,9.70,9.69,9.68,9.67
2021-05-28,9.65,9.62,9.59,9.56
2021-05-29,9.54,9.53,9.57,9.49
2021-05-30,9.46,9.45,9.44,9.42
2021-05-31,9.40,9.40,9.39,9.39
