Fuente: SENAMHI / DRD
* Datos sin control de calidad.
* El uso de estos datos será de entera responsabilidad del usuario.

Leyenda:
* S/D = Sin Datos.
* T = Trazas (Precipitación < 0.1 mm/día).

,Estación : REQUENA
,Departamento :,LORETO,Provincia :,REQUENA,Distrito :,REQUENA
,Latitud :,5°2'28.12'',Longitud :,73°50'24.05'',Altitud :,96 msnm.
,Tipo :,HLM - Hidrológica,Código :,250101
AÑO / MES / DÍA,NIVEL DEL RIO (m)
06,10,14,18
2019-12-01,7.85,7.85,7.85,7.85
2019-12-02,7.80,7.79,7.78,7.77
2019-12-03,7.74,7.73,7.72,7.70
2019-12-04,7.64,7.63,7.62,7.61
2019-12-05,7.59,7.59,7.59,7.59
2019-12-06,7.61,7.62,7.64,7.66
2019-12-07,7.72,7.75,7.78,7.81
2019-12-08,7.95,7.98,8.01,8.04
2019-12-09,8.15,8.21,8.27,8.33
2019-12-10,8.54,8.60,8.66,8.72
2019-12-11,8.94,8.98,9.02,9.06
2019-12-12,9.14,9.16,9.18,9.20
2019-12-13,9.26,9.27,9.28,9.29
2019-12-14,9.32,9.34,9.36,9.38
2019-12-15,9.44,9.46,9.48,9.50
2019-12-16,9.58,9.59,9.60,9.60
2019-12-17,9.65,9.66,9.67,9.68
2019-12-18,9.71,9.73,9.76,9.79
2019-12-19,9.96,9.99,10.02,10.05
2019-12-20,10.14,10.16,10.18,10.20
2019-12-21,10.26,10.27,10.28,10.29
2019-12-22,10.32,10.32,10.33,10.33
2019-12-23,10.33,10.33,10.34,10.34
2019-12-24,10.35,10.35,10.36,10.36
2019-12-25,10.38,10.38,10.39,10.39
2019-12-26,10.40,10.40,10.41,10.41
2019-12-27,10.42,10.42,10.43,10.44
2019-12-28,10.46,10.46,10.47,10.48
2019-12-29,10.51,10.51,10.52,10.53
2019-12-30,10.56,10.56,10.57,10.57
2019-12-31,10.58,10.58,10.59,10.59
