

,Estación : REQUENA
,Departamento :,LORETO,Provincia :,REQUENA,Distrito :,REQUENA
,Latitud :,5°2'28.12'',Longitud :,73°50'24.05'',Altitud :,96 msnm.
,Tipo :,HLM - Hidrológica,Código :,250101
AÑO / MES / DÍA,NIVEL DEL RIO (m)
06,10,14,18
2020-08-01,4.50,4.50,4.51,4.51
2020-08-02,4.53,4.54,4.55,4.56
2020-08-03,4.58,4.58,4.58,4.59
2020-08-04,4.59,4.59,4.59,4.59
2020-08-05,4.59,4.59,4.59,4.59
2020-08-06,4.58,4.57,4.56,4.55
2020-08-07,4.52,4.50,4.48,4.46
2020-08-08,4.40,4.37,4.34,4.31
2020-08-09,4.22,4.19,4.16,4.13
2020-08-10,4.04,4.01,3.99,3.97
2020-08-11,3.90,3.88,3.86,3.84
2020-08-12,3.78,3.77,3.76,3.74
2020-08-13,3.70,3.67,3.64,3.61
2020-08-14,3.52,3.49,3.46,3.43
2020-08-15,3.32,3.30,3.27,3.24
