Fuente: SENAMHI / DRD
* Datos sin control de calidad.
* El uso de estos datos será de entera responsabilidad del usuario.

Leyenda:
* S/D = Sin Datos.
* T = Trazas (Precipitación < 0.1 mm/día).

,Estación : SAN REGIS
,Departamento :,LORETO,Provincia :,LORETO,Distrito :,NAUTA
,Latitud :,4°30'47.59'',Longitud :,73°54'27.34'',Altitud :,96 msnm.
,Tipo :,HLM - Hidrológica,Código :,220105
AÑO / MES / DÍA,NIVEL DEL RIO (m)
06,10,14,18
2019-08-01,9.01,9.03,9.05,9.06
2019-08-02,9.07,9.07,9.06,9.04
2019-08-03,8.95,8.90,8.86,8.82
2019-08-04,8.64,8.60,8.56,8.48
2019-08-05,8.39,8.31,8.23,8.15
2019-08-06,7.97,7.91,7.84,7.79
2019-08-07,7.67,7.65,7.63,7.62
2019-08-08,7.63,7.64,7.66,7.69
2019-08-09,7.72,7.72,7.72,7.72
2019-08-10,7.62,7.59,7.55,7.51
2019-08-11,7.32,7.27,7.22,7.16
2019-08-12,6.97,6.90,6.84,6.79
2019-08-13,6.63,6.57,6.51,6.48
2019-08-14,6.33,6.26,6.19,6.14
2019-08-15,5.99,5.95,5.90,5.87
2019-08-16,5.73,5.69,5.66,5.63
2019-08-17,5.53,5.50,5.48,5.46
2019-08-18,5.44,5.46,5.50,5.54
2019-08-19,5.74,5.81,5.88,5.96
2019-08-20,6.10,6.11,6.13,6.13
2019-08-21,6.15,6.16,6.01,5.97
2019-08-22,5.80,5.75,5.68,5.64
2019-08-23,5.47,5.43,5.39,5.38
2019-08-24,5.30,5.29,5.28,5.28
2019-08-25,5.36,5.40,5.45,5.50
2019-08-26,5.68,5.74,5.80,5.83
2019-08-27,5.95,5.97,5.99,6.02
2019-08-28,6.06,6.06,6.04,6.03
2019-08-29,5.99,5.98,5.96,5.94
2019-08-30,5.85,5.82,5.79,5.77
2019-08-31,5.69,5.67,5.66,5.64
