

,Estación : SANTA CLOTILDE
,Departamento :,LORETO,Provincia :,MAYNAS,Distrito :,NAPO
,Latitud :,2°29'13.29'',Longitud :,73°40'44.51'',Altitud :,113 msnm.
,Tipo :,HLM - Hidrológica,Código :,240110
AÑO / MES / DÍA,NIVEL DEL RIO (m)
06,10,14,18
2018-10-01,5.51,5.50,5.59,5.45
2018-10-02,5.33,5.32,5.25,5.21
2018-10-03,5.08,5.05,5.01,4.96
2018-10-04,4.88,4.87,4.85,4.83
2018-10-05,4.87,4.87,4.87,4.90
2018-10-06,4.96,4.97,4.99,5.05
2018-10-07,5.09,5.10,5.11,5.12
2018-10-08,5.19,5.20,5.24,5.26
2018-10-09,5.36,5.38,5.45,5.53
2018-10-10,5.73,5.75,5.87,6.04
2018-10-11,6.29,6.31,6.43,6.46
2018-10-12,6.49,6.48,6.47,6.46
2018-10-13,6.43,6.43,6.42,6.42
2018-10-14,6.41,6.40,6.38,6.35
2018-10-15,6.31,6.31,6.32,6.35
2018-10-16,6.45,6.46,6.49,6.53
2018-10-17,6.54,6.52,6.50,6.45
2018-10-18,6.40,6.41,6.43,6.47
2018-10-19,6.64,6.66,6.73,6.79
2018-10-20,6.81,6.80,6.76,6.72
2018-10-21,6.57,6.55,6.48,6.40
2018-10-22,6.24,6.20,6.15,6.09
2018-10-23,5.95,5.93,5.86,5.83
2018-10-24,5.71,5.70,5.65,5.60
2018-10-25,5.49,5.47,5.44,5.42
2018-10-26,5.41,5.40,5.37,5.35
2018-10-27,5.31,5.31,5.31,5.33
2018-10-28,5.34,5.34,5.35,5.36
2018-10-29,5.36,5.36,5.37,5.41
2018-10-30,5.65,5.67,5.88,6.05
