Fuente: SENAMHI / DRD
* Datos sin control de calidad.
* El uso de estos datos será de entera responsabilidad del usuario.

Leyenda:
* S/D = Sin Datos.
* T = Trazas (Precipitación < 0.1 mm/día).

,Estación : SANTA CLOTILDE
,Departamento :,LORETO,Provincia :,MAYNAS,Distrito :,NAPO
,Latitud :,2°29'13.29'',Longitud :,73°40'44.51'',Altitud :,113 msnm.
,Tipo :,HLM - Hidrológica,Código :,240110
AÑO / MES / DÍA,NIVEL DEL RIO (m)
06,10,14,18
2019-01-01,6.28,6.27,6.25,6.23
2019-01-02,6.19,6.18,6.17,6.12
2019-01-03,6.01,5.99,5.92,5.87
2019-01-04,5.70,5.65,5.62,5.57
2019-01-05,5.42,5.40,5.34,5.29
2019-01-06,5.15,5.12,5.02,4.97
2019-01-07,4.85,4.80,4.78,4.73
2019-01-08,4.65,4.63,4.60,4.57
2019-01-09,4.49,4.48,4.47,4.44
2019-01-10,4.41,4.41,4.41,4.40
2019-01-11,4.40,4.40,4.40,4.39
2019-01-12,4.39,4.39,4.39,4.38
2019-01-13,4.39,4.41,4.52,4.64
2019-01-14,5.10,5.15,5.34,5.46
2019-01-15,5.71,5.75,5.98,6.22
2019-01-16,6.71,6.80,6.94,7.09
2019-01-17,7.35,7.37,7.42,7.46
2019-01-18,7.47,7.46,7.42,7.39
2019-01-19,7.38,7.38,7.38,7.37
2019-01-20,7.36,7.35,7.35,7.34
2019-01-21,7.33,7.33,7.34,7.34
2019-01-22,7.39,7.40,7.43,7.47
2019-01-23,7.65,7.68,7.78,7.92
2019-01-24,8.20,8.24,8.31,8.34
2019-01-25,8.51,8.53,8.56,8.59
2019-01-26,8.60,8.58,8.55,8.50
2019-01-27,8.40,8.37,8.33,8.31
2019-01-28,8.23,8.22,8.21,8.19
2019-01-29,8.13,8.10,8.07,8.04
2019-01-30,7.95,7.93,7.89,7.84
2019-01-31,7.70,7.40,7.20,7.80
