Fuente: SENAMHI / DRD
* Datos sin control de calidad.
* El uso de estos datos será de entera responsabilidad del usuario.

Leyenda:
* S/D = Sin Datos.
* T = Trazas (Precipitación < 0.1 mm/día).

,Estación : SANTA CRUZ
,Departamento :,LORETO,Provincia :,MAYNAS,Distrito :,MAZAN
,Latitud :,3°31'2.09'',Longitud :,73°9'14.81'',Altitud :,95 msnm.
,Tipo :,HLM - Hidrológica,Código :,240109
AÑO / MES / DÍA,NIVEL DEL RIO (m)
06,10,14,18
2019-02-01,7.50,7.47,7.45,7.42
2019-02-02,7.36,7.34,7.29,7.25
2019-02-03,7.20,7.20,7.19,7.19
2019-02-04,7.20,7.20,7.21,7.21
2019-02-05,7.19,7.21,7.23,7.25
2019-02-06,7.09,7.08,7.07,7.05
2019-02-07,7.09,7.10,7.11,7.11
2019-02-08,7.13,7.14,7.15,7.15
2019-02-09,7.17,7.17,7.16,7.16
2019-02-10,7.15,7.14,7.13,7.12
2019-02-11,7.20,7.22,7.24,7.25
2019-02-12,7.34,7.34,7.34,7.34
2019-02-13,7.47,7.48,7.50,7.51
2019-02-14,7.53,7.53,7.52,7.51
2019-02-15,7.49,7.48,7.46,7.44
2019-02-16,7.45,7.45,7.44,7.43
2019-02-17,7.42,7.41,7.38,7.34
2019-02-18,7.32,7.31,7.29,7.25
2019-02-19,7.17,7.16,7.13,7.10
2019-02-20,7.03,7.02,6.99,6.98
2019-02-21,6.95,6.94,6.92,6.90
2019-02-22,6.85,6.84,6.83,6.83
2019-02-23,6.87,6.86,6.79,6.72
2019-02-24,6.65,6.64,6.63,6.62
2019-02-25,6.62,6.62,6.63,6.63
2019-02-26,6.62,6.61,6.60,6.59
2019-02-27,6.56,6.56,6.55,6.55
2019-02-28,6.59,6.60,6.60,6.62
