Fuente: SENAMHI / DRD
* Datos sin control de calidad.
* El uso de estos datos será de entera responsabilidad del usuario.

Leyenda:
* S/D = Sin Datos.
* T = Trazas (Precipitación < 0.1 mm/día).

,Estación : SANTA ROSA
,Departamento :,LORETO,Provincia :,MARISCAL RAMON CASTILLA,Distrito :,YAVARI
,Latitud :,4°13'27.05'',Longitud :,69°57'12.6'',Altitud :,63 msnm.
,Tipo :,HLM - Hidrológica,Código :,240108
AÑO / MES / DÍA,NIVEL DEL RIO (m)
06,10,14,18
2023-12-01,4.10,4.13,4.16,4.19
2023-12-02,4.37,4.44,4.51,4.60
2023-12-03,4.56,4.48,4.46,4.40
2023-12-04,5.38,5.48,5.58,5.69
2023-12-05,6.01,6.10,6.19,6.26
2023-12-06,6.44,6.49,6.54,6.59
2023-12-07,6.81,6.82,6.95,7.01
2023-12-08,7.10,7.18,7.26,7.37
2023-12-09,7.48,7.53,7.58,7.62
2023-12-10,7.77,7.80,7.85,7.88
2023-12-11,7.90,7.90,7.90,7.90
2023-12-12,7.92,7.93,7.94,7.95
2023-12-13,7.97,7.97,7.97,7.97
2023-12-14,7.99,7.99,8.01,8.02
2023-12-15,8.03,8.05,8.07,8.08
2023-12-16,8.14,8.15,8.16,8.17
2023-12-17,8.20,8.24,8.27,8.30
2023-12-18,8.33,8.33,8.34,8.35
2023-12-19,8.37,8.37,8.38,8.38
2023-12-20,8.38,8.38,8.40,8.42
2023-12-21,8.47,8.48,8.49,8.51
2023-12-22,8.56,8.59,8.61,8.63
2023-12-23,8.67,8.69,8.72,8.72
2023-12-24,8.74,8.76,8.76,8.78
2023-12-25,8.80,8.81,8.85,8.87
2023-12-26,9.03,9.06,9.09,9.12
2023-12-27,9.13,9.16,9.18,9.20
2023-12-28,9.35,9.36,9.39,9.42
2023-12-29,9.50,9.52,9.54,9.55
2023-12-30,9.60,9.60,9.61,9.62
2023-12-31,9.63,9.64,9.64,9.65
