Fuente: SENAMHI / DRD
* Datos sin control de calidad.
* El uso de estos datos será de entera responsabilidad del usuario.

Leyenda:
* S/D = Sin Datos.
* T = Trazas (Precipitación < 0.1 mm/día).

,Estación : SEDA LORETO
,Departamento :,LORETO,Provincia :,MAYNAS,Distrito :,SAN JUAN BAUTISTA
,Latitud :,3°45'10'',Longitud :,73°16'51.58'',Altitud :,126 msnm.
,Tipo :,HLM - Hidrológica,Código :,240106
AÑO / MES / DÍA,NIVEL DEL RIO (m)
06,10,14,18
2024-06-01,113.80,113.80,113.80,113.80
2024-06-02,113.79,113.75,113.00,113.50
2024-06-03,113.70,113.70,113.70,113.70
2024-06-04,113.68,113.68,113.64,113.64
2024-06-05,113.63,113.55,113.50,113.50
2024-06-06,113.50,113.45,113.50,113.85
2024-06-07,114.36,113.33,113.33,113.33
2024-06-08,113.20,113.19,113.19,113.10
2024-06-09,113.05,113.04,112.97,112.94
2024-06-10,112.94,112.83,112.80,112.75
2024-06-11,112.71,112.68,112.68,112.60
2024-06-12,112.50,112.48,112.48,112.42
2024-06-13,112.35,112.30,112.26,112.22
2024-06-14,112.20,112.15,112.10,112.06
2024-06-15,112.04,112.04,112.04,112.04
2024-06-16,112.05,112.05,111.85,111.70
2024-06-17,111.75,111.75,111.73,111.73
2024-06-18,111.73,111.71,111.70,111.70
2024-06-19,111.70,111.70,111.70,111.70
2024-06-20,111.60,111.60,111.80,111.80
2024-06-21,111.82,111.85,111.90,111.90
2024-06-22,111.90,111.93,111.95,111.95
2024-06-23,111.95,111.90,111.88,111.88
2024-06-24,111.88,111.88,111.93,111.93
2024-06-25,111.92,111.93,111.95,111.95
2024-06-26,111.95,111.98,112.00,111.20
2024-06-27,111.05,112.05,112.05,112.05
2024-06-28,111.10,112.10,112.15,112.15
2024-06-29,111.15,112.14,112.10,112.10
2024-06-30,111.08,112.03,112.00,111.95
