Fuente: SENAMHI / DRD
* Datos sin control de calidad.
* El uso de estos datos será de entera responsabilidad del usuario.

Leyenda:
* S/D = Sin Datos.
* T = Trazas (Precipitación < 0.1 mm/día).

,Estación : TIMICURILLO
,Departamento :,LORETO,Provincia :,MAYNAS,Distrito :,INDIANA
,Latitud :,3°31'25.38'',Longitud :,73°5'.39'',Altitud :,85 msnm.
,Tipo :,HLM - Hidrológica,Código :,240202
AÑO / MES / DÍA,NIVEL DEL RIO (m)
06,10,14,18
2021-03-01,9.47,9.48,9.48,9.49
2021-03-02,9.54,9.55,9.56,9.57
2021-03-03,9.60,9.62,9.68,9.65
2021-03-04,9.69,9.72,9.73,9.75
2021-03-05,9.81,9.81,9.81,9.81
2021-03-06,9.81,9.82,9.85,9.87
2021-03-07,10.02,10.06,10.08,10.10
2021-03-08,10.17,10.19,10.20,10.21
2021-03-09,10.28,10.29,10.30,10.32
2021-03-10,10.38,10.39,10.40,10.42
2021-03-11,10.47,10.48,10.49,10.49
2021-03-12,10.50,10.50,10.50,10.50
2021-03-13,10.50,10.50,10.50,10.50
2021-03-14,10.50,10.50,10.50,10.50
2021-03-15,10.48,10.51,10.53,10.55
2021-03-16,10.58,10.58,10.59,10.59
2021-03-17,10.60,10.60,10.60,10.60
2021-03-18,10.60,10.60,10.60,10.60
2021-03-19,10.60,10.60,10.60,10.60
2021-03-20,10.64,10.65,10.66,10.67
2021-03-21,10.69,10.70,10.70,10.71
2021-03-22,10.71,10.72,10.73,10.74
2021-03-23,10.77,10.77,10.75,10.75
2021-03-24,10.79,10.79,10.79,10.79
2021-03-25,10.80,10.81,10.83,10.84
2021-03-26,10.87,10.87,10.87,10.87
2021-03-27,10.88,10.88,10.88,10.88
2021-03-28,10.89,10.90,10.91,10.93
2021-03-29,10.95,10.96,10.97,10.98
2021-03-30,10.99,11.02,11.04,11.06
2021-03-31,11.09,11.09,11.10,11.11
