Fuente: SENAMHI / DRD
* Datos sin control de calidad.
* El uso de estos datos será de entera responsabilidad del usuario.

Leyenda:
* S/D = Sin Datos.

,Estación : CABALLOCOCHA
,Departamento :,LORETO,Provincia :,MARISCAL RAMON CASTILLA,Distrito :,RAMON CASTILLA
,Latitud :,3°54'40.5'',Longitud :,70°30'43.4'',Altitud :,107 msnm.
,Tipo :,EMA - Meteorológica,Código :,4727547C
AÑO / MES / DÍA,HORA,TEMPERATURA (°C),PRECIPITACIÓN (mm/hora),HUMEDAD (%),DIRECCION DEL VIENTO (°),VELOCIDAD DEL VIENTO (m/s)
2023/08/01,00:00,24.5,0.0,98,338,1.3
2023/08/01,01:00,24.3,0.0,99,308,1.2
2023/08/01,02:00,24.3,0.0,99,324,0.9
2023/08/01,03:00,24.2,0.0,99,325,1.4
2023/08/01,04:00,24.2,0.0,99,311,1.2
2023/08/01,05:00,21.8,9.0,100,112,0.5
2023/08/01,06:00,21.8,1.5,100,232,0.0
2023/08/01,07:00,22.3,2.1,100,36,0.0
2023/08/01,08:00,23.4,0.0,97,351,1.3
2023/08/01,09:00,24.5,0.3,93,297,1.3
2023/08/01,10:00,25.9,0.0,88,290,0.8
2023/08/01,11:00,27.0,0.0,85,280,1.4
2023/08/01,12:00,28.1,0.0,81,264,2.2
2023/08/01,13:00,29.3,0.0,77,280,2.1
2023/08/01,14:00,30.0,0.0,74,301,2.0
2023/08/01,15:00,28.9,0.0,79,292,1.3
2023/08/01,16:00,28.5,0.0,78,297,1.5
2023/08/01,17:00,27.5,0.0,88,3,1.4
2023/08/01,18:00,26.6,0.0,94,162,0.2
2023/08/01,19:00,25.8,0.0,99,88,0.1
2023/08/01,20:00,25.7,0.0,100,46,0.2
2023/08/01,21:00,25.2,0.0,100,99,0.4
2023/08/01,22:00,25.0,0.0,100,163,0.3
2023/08/01,23:00,24.3,0.0,100,132,0.7
2023/08/02,00:00,23.7,0.0,100,191,0.3
2023/08/02,01:00,23.6,0.0,100,213,0.1
2023/08/02,02:00,23.0,0.0,100,200,0.0
2023/08/02,03:00,23.6,0.0,98,269,0.1
2023/08/02,04:00,24.3,0.0,100,316,1.0
2023/08/02,05:00,24.3,0.0,99,298,1.7
2023/08/02,06:00,23.7,0.0,100,305,1.2
2023/08/02,07:00,24.8,0.0,95,301,1.2
2023/08/02,08:00,26.3,0.0,89,305,1.3
2023/08/02,09:00,27.7,0.0,82,339,1.3
2023/08/02,10:00,28.4,0.0,76,317,2.2
2023/08/02,11:00,30.0,0.0,74,328,1.1
2023/08/02,12:00,29.9,0.0,74,221,1.2
2023/08/02,13:00,31.6,0.0,63,4,1.9
2023/08/02,14:00,32.7,0.0,61,347,1.6
2023/08/02,15:00,32.0,0.0,62,335,2.3
2023/08/02,16:00,31.4,0.0,64,313,2.0
2023/08/02,17:00,31.1,0.0,66,290,1.6
2023/08/02,18:00,29.4,0.0,76,194,0.2
2023/08/02,19:00,28.9,0.0,79,315,0.9
2023/08/02,20:00,24.6,16.5,98,218,2.8
2023/08/02,21:00,24.2,7.5,92,251,2.6
2023/08/02,22:00,24.4,0.0,93,343,1.3
2023/08/02,23:00,24.5,0.0,96,12,0.7
2023/08/03,00:00,24.0,0.0,99,71,0.1
2023/08/03,01:00,24.2,0.0,97,350,1.0
2023/08/03,02:00,24.1,0.0,99,264,0.5
2023/08/03,03:00,23.7,13.8,100,170,0.3
2023/08/03,04:00,23.1,0.3,100,104,0.0
2023/08/03,05:00,23.0,0.0,100,176,0.0
2023/08/03,06:00,22.9,0.0,100,128,1.8
2023/08/03,07:00,23.7,0.0,100,261,0.3
2023/08/03,08:00,25.2,0.0,96,96,0.7
2023/08/03,09:00,25.7,0.0,93,6,2.2
2023/08/03,10:00,27.9,0.0,80,58,0.7
2023/08/03,11:00,28.9,0.0,76,3,1.8
2023/08/03,12:00,30.7,0.0,68,342,1.6
2023/08/03,13:00,31.2,0.0,67,347,2.3
2023/08/03,14:00,31.8,0.0,65,345,2.7
2023/08/03,15:00,24.3,14.1,94,75,2.4
2023/08/03,16:00,27.8,0.6,78,284,0.2
2023/08/03,17:00,27.6,0.0,89,97,0.6
2023/08/03,18:00,26.7,0.0,94,109,0.0
2023/08/03,19:00,25.3,0.6,92,55,0.6
2023/08/03,20:00,24.8,0.0,93,134,1.0
2023/08/03,21:00,24.0,0.0,97,133,0.0
2023/08/03,22:00,23.3,0.0,96,106,0.7
2023/08/03,23:00,22.9,0.0,99,139,1.0
2023/08/04,00:00,22.5,0.0,96,174,0.0
2023/08/04,01:00,22.2,0.0,98,173,0.3
2023/08/04,02:00,21.7,0.0,100,151,1.0
2023/08/04,03:00,21.7,0.0,100,136,0.5
2023/08/04,04:00,21.6,0.0,100,114,0.5
2023/08/04,05:00,21.4,0.0,100,139,0.0
2023/08/04,06:00,21.2,0.0,100,206,0.0
2023/08/04,07:00,23.0,0.0,95,145,0.5
2023/08/04,08:00,25.9,0.0,86,137,0.7
2023/08/04,09:00,27.3,0.0,77,271,0.7
2023/08/04,10:00,29.9,0.0,66,66,1.2
2023/08/04,11:00,31.4,0.0,64,8,1.2
2023/08/04,12:00,31.6,0.0,63,50,1.2
2023/08/04,13:00,31.7,0.0,65,35,1.2
2023/08/04,14:00,31.5,0.0,64,28,2.2
2023/08/04,15:00,29.1,0.0,69,128,3.8
2023/08/04,16:00,28.4,0.0,75,88,0.7
2023/08/04,17:00,28.8,0.0,72,111,0.6
2023/08/04,18:00,26.7,0.0,87,101,0.4
2023/08/04,19:00,25.7,0.0,91,208,0.3
2023/08/04,20:00,25.1,0.0,93,179,0.1
2023/08/04,21:00,24.6,0.0,98,75,0.0
2023/08/04,22:00,24.1,0.0,100,132,0.3
2023/08/04,23:00,23.6,0.0,100,215,0.1
2023/08/05,00:00,23.8,0.0,100,344,0.0
2023/08/05,01:00,23.4,0.0,100,176,0.0
2023/08/05,02:00,23.5,0.0,100,218,0.2
2023/08/05,03:00,23.5,0.0,100,109,0.0
2023/08/05,04:00,23.6,0.0,100,261,0.1
2023/08/05,05:00,23.5,0.0,100,118,0.0
2023/08/05,06:00,23.4,0.0,100,101,0.3
2023/08/05,07:00,24.7,0.0,97,209,0.1
2023/08/05,08:00,27.2,0.0,88,246,0.9
2023/08/05,09:00,28.0,0.0,79,255,1.1
2023/08/05,10:00,29.4,0.0,78,286,0.3
2023/08/05,11:00,29.7,0.0,71,336,1.2
2023/08/05,12:00,32.0,0.0,65,355,1.7
2023/08/05,13:00,32.7,0.0,63,19,2.0
2023/08/05,14:00,33.4,0.0,58,7,1.4
2023/08/05,15:00,33.3,0.3,59,360,0.9
2023/08/05,16:00,32.1,0.0,62,67,0.9
2023/08/05,17:00,29.7,0.0,73,135,1.3
2023/08/05,18:00,28.4,0.0,84,352,0.3
2023/08/05,19:00,26.8,0.0,90,213,0.9
2023/08/05,20:00,26.5,0.0,90,196,0.3
2023/08/05,21:00,25.9,0.0,93,235,0.3
2023/08/05,22:00,25.0,0.0,98,52,0.0
2023/08/05,23:00,24.9,0.0,98,8,0.0
2023/08/06,00:00,24.6,0.0,99,153,0.0
2023/08/06,01:00,24.5,0.0,100,287,0.5
2023/08/06,02:00,24.2,0.0,100,253,0.2
2023/08/06,03:00,23.9,0.0,100,187,0.0
2023/08/06,04:00,23.6,0.0,100,247,0.3
2023/08/06,05:00,23.1,0.0,100,83,0.0
2023/08/06,06:00,23.1,0.0,100,204,0.2
2023/08/06,07:00,24.1,0.0,96,175,0.5
2023/08/06,08:00,25.4,0.0,90,233,1.3
2023/08/06,09:00,28.3,0.0,79,242,1.4
2023/08/06,10:00,30.7,0.0,73,7,0.4
2023/08/06,11:00,31.5,0.0,69,351,1.6
2023/08/06,12:00,32.2,0.0,64,11,1.9
2023/08/06,13:00,33.0,0.0,62,3,2.0
2023/08/06,14:00,33.0,0.0,60,341,0.6
2023/08/06,15:00,31.4,0.0,73,275,2.7
2023/08/06,16:00,31.5,0.0,70,260,2.4
2023/08/06,17:00,24.4,0.0,95,322,1.3
2023/08/06,18:00,24.4,0.0,97,142,0.6
2023/08/06,19:00,25.1,0.0,95,325,0.6
2023/08/06,20:00,25.4,0.0,95,342,1.0
2023/08/06,21:00,25.4,0.0,92,335,1.4
2023/08/06,22:00,25.3,0.0,93,328,0.6
2023/08/06,23:00,25.1,0.0,89,299,0.5
2023/08/07,00:00,24.7,0.0,93,285,1.0
2023/08/07,01:00,24.5,0.0,95,303,0.7
2023/08/07,02:00,24.1,0.0,96,327,0.8
2023/08/07,03:00,23.8,0.0,99,336,0.8
2023/08/07,04:00,23.8,0.0,98,326,1.2
2023/08/07,05:00,23.6,0.0,100,321,0.3
2023/08/07,06:00,23.6,0.0,100,341,2.1
2023/08/07,07:00,24.4,0.0,98,334,1.5
2023/08/07,08:00,25.4,0.0,92,322,2.0
2023/08/07,09:00,26.4,0.0,90,276,1.6
2023/08/07,10:00,28.5,0.0,87,297,1.0
2023/08/07,11:00,29.4,0.0,79,336,2.1
2023/08/07,12:00,31.7,0.0,69,300,1.0
2023/08/07,13:00,32.7,0.0,60,5,2.3
2023/08/07,14:00,33.5,0.0,59,342,1.7
2023/08/07,15:00,31.6,0.0,62,227,2.2
2023/08/07,16:00,30.4,0.0,72,223,0.3
2023/08/07,17:00,28.5,0.0,84,32,1.2
2023/08/07,18:00,25.5,0.0,91,214,1.2
2023/08/07,19:00,24.9,0.0,95,163,0.4
2023/08/07,20:00,24.7,0.0,96,25,0.0
2023/08/07,21:00,24.7,0.0,99,357,0.0
2023/08/07,22:00,24.4,0.0,100,66,0.0
2023/08/07,23:00,24.1,0.0,100,66,0.0
2023/08/08,00:00,23.8,0.0,100,152,0.0
