Fuente: SENAMHI / DRD
* Datos sin control de calidad.
* El uso de estos datos será de entera responsabilidad del usuario.

Leyenda:
* S/D = Sin Datos.

,Estación : PEBAS
,Departamento :,LORETO,Provincia :,MARISCAL RAMON CASTILLA,Distrito :,PEBAS
,Latitud :,3°19'4.48'',Longitud :,71°51'34.63'',Altitud :,101 msnm.
,Tipo :,EAMA - Meteorológica,Código :,47288486
AÑO / MES / DÍA,HORA,TEMPERATURA (°C),PRECIPITACIÓN (mm/hora),HUMEDAD (%),DIRECCION DEL VIENTO (°),VELOCIDAD DEL VIENTO (m/s)
2021/02/01,00:00,21.8,0.0,100,336,0.3
2021/02/01,01:00,21.8,0.0,100,268,0.2
2021/02/01,02:00,21.8,0.0,100,240,0.7
2021/02/01,03:00,21.8,0.0,100,31,0.4
2021/02/01,04:00,21.9,0.0,100,56,0.5
2021/02/01,05:00,21.9,0.6,100,51,1.1
2021/02/01,06:00,22.0,0.3,100,59,1.6
2021/02/01,07:00,21.8,2.4,100,20,2.2
2021/02/01,08:00,21.9,4.5,100,71,0.6
2021/02/01,09:00,22.0,3.0,100,204,1.0
2021/02/01,10:00,22.7,0.9,100,261,0.3
2021/02/01,11:00,24.0,0.3,87,150,0.9
2021/02/01,12:00,24.9,0.0,82,173,2.6
2021/02/01,13:00,26.6,0.0,75,165,3.0
2021/02/01,14:00,27.5,0.0,70,172,2.6
2021/02/01,15:00,27.4,0.0,70,218,2.0
2021/02/01,16:00,27.1,0.0,71,198,2.8
2021/02/01,17:00,28.6,0.0,65,32,1.2
2021/02/01,18:00,25.1,0.0,84,347,0.9
2021/02/01,19:00,23.0,0.0,100,27,0.7
2021/02/01,20:00,22.6,0.0,100,343,1.0
2021/02/01,21:00,22.2,0.0,100,50,1.2
2021/02/01,22:00,22.1,0.0,100,359,1.7
2021/02/01,23:00,22.1,0.0,100,358,1.9
2021/02/02,00:00,22.1,0.0,100,351,2.0
2021/02/02,01:00,22.7,0.0,100,40,1.5
2021/02/02,02:00,22.8,0.0,100,340,2.2
2021/02/02,03:00,22.4,2.1,100,340,2.6
2021/02/02,04:00,22.3,0.0,100,178,0.9
2021/02/02,05:00,22.2,0.0,100,350,1.3
2021/02/02,06:00,22.1,0.0,100,325,1.9
2021/02/02,07:00,22.4,0.0,100,37,1.3
2021/02/02,08:00,24.2,0.0,91,85,0.2
2021/02/02,09:00,25.8,0.0,81,99,1.0
2021/02/02,10:00,25.1,0.0,87,353,2.5
2021/02/02,11:00,26.2,0.0,80,14,2.0
2021/02/02,12:00,25.9,0.0,79,347,3.9
2021/02/02,13:00,27.3,0.0,75,58,1.8
2021/02/02,14:00,28.4,0.0,70,7,3.2
2021/02/02,15:00,28.4,0.0,70,33,1.1
2021/02/02,16:00,27.9,0.0,71,55,0.9
2021/02/02,17:00,27.2,0.0,75,52,0.6
