Fuente: SENAMHI / DRD
* Datos sin control de calidad.
* El uso de estos datos será de entera responsabilidad del usuario.

Leyenda:
* S/D = Sin Datos.

,Estación : SANTA CLOTILDE
,Departamento :,LORETO,Provincia :,MAYNAS,Distrito :,NAPO
,Latitud :,2°29'15.24'',Longitud :,73°40'45.29'',Altitud :,150 msnm.
,Tipo :,EMA - Meteorológica,Código :,47271776
AÑO / MES / DÍA,HORA,TEMPERATURA (°C),PRECIPITACIÓN (mm/hora),HUMEDAD (%),DIRECCION DEL VIENTO (°),VELOCIDAD DEL VIENTO (m/s)
2024/02/01,00:00,S/D,0.0,S/D,171,0.9
2024/02/01,01:00,S/D,0.0,S/D,307,0.0
2024/02/01,02:00,S/D,0.0,S/D,207,1.5
2024/02/01,03:00,S/D,0.0,S/D,213,0.1
2024/02/01,04:00,S/D,0.0,S/D,132,1.1
2024/02/01,05:00,S/D,0.0,S/D,329,0.0
2024/02/01,06:00,S/D,0.0,S/D,212,0.2
2024/02/01,07:00,S/D,0.0,S/D,145,1.4
2024/02/01,08:00,S/D,0.0,S/D,173,1.1
2024/02/01,09:00,S/D,0.0,S/D,148,2.1
2024/02/01,10:00,S/D,0.0,S/D,139,1.6
2024/02/01,11:00,S/D,0.0,S/D,88,1.5
2024/02/01,12:00,S/D,0.0,S/D,132,1.4
2024/02/01,13:00,S/D,S/D,S/D,S/D,S/D
2024/02/01,14:00,S/D,0.0,S/D,59,1.3
2024/02/01,15:00,S/D,0.0,S/D,68,1.9
2024/02/01,16:00,S/D,0.0,S/D,86,1.9
2024/02/01,17:00,S/D,0.0,S/D,92,1.8
2024/02/01,18:00,S/D,0.0,S/D,258,0.1
2024/02/01,19:00,S/D,0.0,S/D,267,2.9
2024/02/01,20:00,S/D,0.0,S/D,286,0.1
2024/02/01,21:00,S/D,0.0,S/D,175,0.4
2024/02/01,22:00,S/D,10.0,S/D,S/D,S/D
2024/02/01,23:00,S/D,3.0,S/D,80,0.8
2024/02/02,00:00,S/D,8.4,S/D,208,2.1
2024/02/02,01:00,S/D,0.0,S/D,182,0.2
2024/02/02,02:00,S/D,0.0,S/D,184,0.3
2024/02/02,03:00,S/D,0.0,S/D,169,1.7
2024/02/02,04:00,S/D,0.0,S/D,177,0.7
2024/02/02,05:00,S/D,0.0,S/D,196,0.8
2024/02/02,06:00,S/D,0.0,S/D,184,1.0
2024/02/02,07:00,S/D,0.0,S/D,208,0.3
2024/02/02,08:00,S/D,0.0,S/D,129,0.2
2024/02/02,09:00,S/D,0.0,S/D,155,2.1
2024/02/02,10:00,S/D,0.0,S/D,127,2.3
2024/02/02,11:00,S/D,0.0,S/D,140,1.5
2024/02/02,12:00,S/D,0.0,S/D,236,1.9
2024/02/02,13:00,S/D,0.0,S/D,213,2.0
2024/02/02,14:00,S/D,0.0,S/D,13,2.2
2024/02/02,15:00,S/D,0.0,S/D,10,1.5
2024/02/02,16:00,S/D,0.0,S/D,39,0.3
2024/02/02,17:00,S/D,0.0,S/D,49,1.2
2024/02/02,18:00,S/D,0.0,S/D,49,1.2
2024/02/02,19:00,S/D,0.0,S/D,39,0.1
2024/02/02,20:00,S/D,0.0,S/D,26,2.1
2024/02/02,21:00,S/D,S/D,S/D,S/D,S/D
2024/02/02,22:00,S/D,36.3,S/D,217,3.2
2024/02/02,23:00,S/D,S/D,S/D,139,2.0
