Fuente: SENAMHI / DRD
* Datos sin control de calidad.
* El uso de estos datos será de entera responsabilidad del usuario.

Leyenda:
* S/D = Sin Datos.
* T = Trazas (Precipitación < 0.1 mm/día).

,Estación : AMAZONAS
,Departamento :,LORETO,Provincia :,MAYNAS,Distrito :,IQUITOS
,Latitud :,3°45'50.3'',Longitud :,73°15'17.7'',Altitud :,113 msnm.
,Tipo :,CO - Meteorológica,Código :,103057
AÑO / MES / DÍA,TEMPERATURA (°C),HUMEDAD RELATIVA (%),PRECIPITACIÓN (mm/día)
MAX,MIN,TOTAL
2020-03-01,35.2,24,78.0,7.0
2020-03-02,33.2,S/D,S/D,0.0
2020-03-03,33.4,23.6,82.4,18.5
2020-03-04,33.6,24,83.4,0.0
2020-03-05,31.6,23.2,86.3,0.3
2020-03-06,31.2,23.6,84.8,0.0
2020-03-07,32.2,24.4,79.5,0.0
2020-03-08,32,24.6,83.0,0.0
2020-03-09,30,24,S/D,21.8
2020-03-10,S/D,23.4,S/D,2.3
2020-03-11,32.4,22.4,84.9,0.0
2020-03-12,36.6,23.6,88.2,9.6
2020-03-13,36.6,24.2,85.0,7.6
2020-03-14,33.8,24.2,81.3,1.8
2020-03-15,35.2,24,76.1,0.0
2020-03-16,35.2,24,80.4,0.7
2020-03-17,S/D,24.2,S/D,S/D
2020-03-18,S/D,S/D,S/D,S/D
2020-03-19,S/D,S/D,S/D,S/D
2020-03-20,S/D,S/D,S/D,S/D
2020-03-21,S/D,S/D,S/D,S/D
2020-03-22,S/D,S/D,S/D,S/D
2020-03-23,S/D,S/D,S/D,S/D
2020-03-24,S/D,S/D,S/D,S/D
2020-03-25,S/D,S/D,S/D,S/D
2020-03-26,S/D,S/D,S/D,S/D
2020-03-27,S/D,S/D,S/D,S/D
2020-03-28,S/D,S/D,S/D,S/D
2020-03-29,S/D,S/D,S/D,S/D
2020-03-30,S/D,S/D,S/D,S/D
2020-03-31,S/D,S/D,S/D,S/D
