Fuente: SENAMHI / DRD
* Datos sin control de calidad.
* El uso de estos datos será de entera responsabilidad del usuario.

Leyenda:
* S/D = Sin Datos.
* T = Trazas (Precipitación < 0.1 mm/día).

,Estación : ANGAMOS
,Departamento :,LORETO,Provincia :,REQUENA,Distrito :,YAQUERANA
,Latitud :,5°8'59.44'',Longitud :,72°52'37.54'',Altitud :,101 msnm.
,Tipo :,CO - Meteorológica,Código :,105078
AÑO / MES / DÍA,TEMPERATURA (°C),HUMEDAD RELATIVA (%),PRECIPITACIÓN (mm/día)
MAX,MIN,TOTAL
2021-01-01,28.2,22.9,94.3,2.1
2021-01-02,32.4,22.6,91.2,0.0
2021-01-03,32.8,23.2,92.6,3.2
2021-01-04,32.8,23.6,92.0,60.6
2021-01-05,33.6,23.2,88.8,4.5
2021-01-06,26,23.4,98.1,44.0
2021-01-07,30,22.1,93.7,0.0
2021-01-08,31.6,21.2,91.2,0.0
2021-01-09,35.4,22,88.7,6.2
2021-01-10,33.4,22.6,92.2,4.7
2021-01-11,34.2,22.4,90.1,11.6
2021-01-12,31.6,21.8,92.2,14.0
2021-01-13,32.9,22.4,92.1,0.0
2021-01-14,31.3,23,93.0,20.4
2021-01-15,31.8,23,91.6,3.1
2021-01-16,34.3,22.9,88.6,11.7
2021-01-17,35.6,22.2,87.2,0.0
2021-01-18,32.2,22.3,91.3,15.7
2021-01-19,29.9,23,94.6,13.8
2021-01-20,27.6,22.4,97.3,27.3
2021-01-21,31.6,22.1,93.3,1.5
2021-01-22,32.8,23.1,92.0,27.2
2021-01-23,29.9,23,95.2,5.3
2021-01-24,33.8,23.1,89.3,7.4
2021-01-25,31.2,23.4,91.8,6.1
2021-01-26,27.2,22.1,96.5,36.1
2021-01-27,33.8,21.6,90.7,14.6
2021-01-28,33.6,22.6,89.7,0.0
2021-01-29,35.8,23.4,87.9,0.0
2021-01-30,34.8,23.4,89.1,7.3
2021-01-31,29.8,23.5,97.7,1.8
