Fuente: SENAMHI / DRD
* Datos sin control de calidad.
* El uso de estos datos será de entera responsabilidad del usuario.

Leyenda:
* S/D = Sin Datos.
* T = Trazas (Precipitación < 0.1 mm/día).

,Estación : BAGAZAN
,Departamento :,LORETO,Provincia :,REQUENA,Distrito :,SAQUENA
,Latitud :,4°43'26.46'',Longitud :,73°31'55.66'',Altitud :,100 msnm.
,Tipo :,PE - Meteorológica,Código :,104067
AÑO / MES / DÍA,TEMPERATURA (°C),HUMEDAD RELATIVA (%),PRECIPITACIÓN (mm/día)
MAX,MIN,TOTAL
2019-09-01,34.6,24.4,91.0,0.0
2019-09-02,34.6,24.4,88.8,0.0
2019-09-03,35.2,24.6,89.3,15.2
2019-09-04,32,24.2,91.2,0.0
2019-09-05,33.6,24.4,91.7,0.0
2019-09-06,32.4,24.2,S/D,0.0
2019-09-07,34.4,24,91.0,0.0
2019-09-08,33,24.4,92.6,0.0
2019-09-09,33.2,23.6,89.3,0.0
2019-09-10,34.2,24.4,87.9,0.0
2019-09-11,35.2,24.8,93.9,0.0
2019-09-12,33.4,24.2,92.7,15.2
2019-09-13,33.2,25,90.0,12.4
2019-09-14,32,24.4,87.7,6.2
2019-09-15,33,24.4,90.8,0.0
2019-09-16,35.2,23.2,86.8,0.0
2019-09-17,35.4,25.4,91.4,0.0
2019-09-18,35.2,25,90.5,0.0
2019-09-19,36.4,25.4,89.0,0.0
2019-09-20,33.2,26.4,88.4,75.4
2019-09-21,32.6,23.2,92.1,0.0
2019-09-22,33.4,24,88.5,0.0
2019-09-23,34.2,25.4,88.1,35.2
2019-09-24,32.2,23.4,89.1,4.2
2019-09-25,34,24.4,92.7,0.0
2019-09-26,34.2,23.6,88.6,6.2
2019-09-27,34.4,24,87.4,0.0
2019-09-28,33.6,24,91.2,0.0
2019-09-29,34.6,25.4,90.1,0.0
2019-09-30,33.4,24.6,92.1,10.2
