Fuente: SENAMHI / DRD
* Datos sin control de calidad.
* El uso de estos datos será de entera responsabilidad del usuario.

Leyenda:
* S/D = Sin Datos.
* T = Trazas (Precipitación < 0.1 mm/día).

,Estación : BRETAÑA
,Departamento :,LORETO,Provincia :,REQUENA,Distrito :,PUINAHUA
,Latitud :,5°15'56.43'',Longitud :,74°21'22.98'',Altitud :,105 msnm.
,Tipo :,PE - Meteorológica,Código :,105090
AÑO / MES / DÍA,TEMPERATURA (°C),HUMEDAD RELATIVA (%),PRECIPITACIÓN (mm/día)
MAX,MIN,TOTAL
2019-11-01,S/D,S/D,85.5,22.5
2019-11-02,S/D,S/D,83.1,0.0
2019-11-03,S/D,S/D,86.5,0.0
2019-11-04,S/D,S/D,84.3,19.3
2019-11-05,S/D,S/D,83.8,0.0
2019-11-06,S/D,S/D,81.7,8.5
2019-11-07,S/D,S/D,87.9,0.0
2019-11-08,S/D,S/D,86.8,0.0
2019-11-09,S/D,S/D,81.2,0.0
2019-11-10,S/D,S/D,85.4,20.0
2019-11-11,S/D,S/D,86.2,1.5
2019-11-12,S/D,S/D,85.3,2.4
2019-11-13,S/D,S/D,83.5,14.8
2019-11-14,S/D,S/D,84.7,18.4
2019-11-15,S/D,S/D,88.9,71.6
2019-11-16,S/D,S/D,89.9,17.6
2019-11-17,S/D,S/D,85.3,0.0
2019-11-18,S/D,S/D,79.3,0.0
2019-11-19,S/D,S/D,86.7,12.4
2019-11-20,S/D,S/D,87.3,5.2
2019-11-21,S/D,S/D,89.9,19.2
2019-11-22,S/D,S/D,82.2,60.7
2019-11-23,S/D,S/D,S/D,9.8
2019-11-24,S/D,S/D,86.1,0.0
2019-11-25,S/D,S/D,84.6,1.2
2019-11-26,S/D,S/D,86.5,28.8
2019-11-27,S/D,S/D,84.8,36.8
2019-11-28,S/D,S/D,86.9,0.0
2019-11-29,S/D,S/D,88.6,0.0
2019-11-30,S/D,S/D,86.5,0.0
