Fuente: SENAMHI / DRD
* Datos sin control de calidad.
* El uso de estos datos será de entera responsabilidad del usuario.

Leyenda:
* S/D = Sin Datos.
* T = Trazas (Precipitación < 0.1 mm/día).

,Estación : CONTAMANA
,Departamento :,LORETO,Provincia :,UCAYALI,Distrito :,CONTAMANA
,Latitud :,7°21'9.21'',Longitud :,75°0'22.97'',Altitud :,157 msnm.
,Tipo :,CO - Meteorológica,Código :,100034
AÑO / MES / DÍA,TEMPERATURA (°C),HUMEDAD RELATIVA (%),PRECIPITACIÓN (mm/día)
MAX,MIN,TOTAL
2020-06-01,30.4,19.8,86.0,0.0
2020-06-02,30,20.5,87.4,0.8
2020-06-03,27.5,20,S/D,1.6
2020-06-04,30,20.3,90.3,25.5
2020-06-05,29.8,19.6,88.7,1.3
2020-06-06,31.7,19.7,87.1,0.0
2020-06-07,32.5,19.9,84.7,0.0
2020-06-08,32.2,20.5,84.3,0.0
2020-06-09,31.8,19.6,83.7,0.0
2020-06-10,33.5,20,85.1,0.0
2020-06-11,33.6,20,84.1,0.0
2020-06-12,34,20.2,83.1,0.0
2020-06-13,32.6,20,80.8,0.0
2020-06-14,30.2,19.7,87.7,6.7
2020-06-15,26.8,19.8,93.7,6.6
2020-06-16,29.9,19.9,87.6,0.0
2020-06-17,32.4,19.2,83.9,0.0
2020-06-18,32.4,20.2,100.0,0.0
2020-06-19,32.8,20.3,85.1,0.0
2020-06-20,32.4,20.6,87.8,0.0
2020-06-21,S/D,19.4,S/D,0.0
2020-06-22,34.4,20.8,S/D,0.0
2020-06-23,33.5,20.2,80.0,0.0
2020-06-24,33.6,20.2,77.2,0.0
2020-06-25,33.8,20,75.3,0.0
2020-06-26,33.6,20.8,78.0,0.0
2020-06-27,33,20.2,81.0,0.0
2020-06-28,32.1,20.5,81.9,1.2
2020-06-29,29.3,20.3,94.7,22.4
2020-06-30,30,19,90.0,0.0
