Fuente: SENAMHI / DRD
* Datos sin control de calidad.
* El uso de estos datos será de entera responsabilidad del usuario.

Leyenda:
* S/D = Sin Datos.
* T = Trazas (Precipitación < 0.1 mm/día).

,Estación : EL ESTRECHO
,Departamento :,LORETO,Provincia :,PUTUMAYO,Distrito :,PUTUMAYO
,Latitud :,2°26'47.94'',Longitud :,72°39'51.61'',Altitud :,110 msnm.
,Tipo :,CO - Meteorológica,Código :,102006
AÑO / MES / DÍA,TEMPERATURA (°C),HUMEDAD RELATIVA (%),PRECIPITACIÓN (mm/día)
MAX,MIN,TOTAL
2020-03-01,35,20.6,82.0,2.6
2020-03-02,35.4,21.4,86.2,3.5
2020-03-03,34.8,20.2,86.1,1.2
2020-03-04,33.8,20.4,89.8,0.0
2020-03-05,31.2,20.6,90.6,0.0
2020-03-06,32.4,21.4,85.0,73.5
2020-03-07,31.4,20.2,92.9,0.8
2020-03-08,34.2,21,90.8,0.4
2020-03-09,30.8,20,91.0,3.0
2020-03-10,27.8,20.6,89.3,2.6
2020-03-11,34.2,20.2,88.5,0.0
2020-03-12,35,21,82.4,1.0
2020-03-13,32.2,22.2,94.4,0.0
2020-03-14,31.2,20.2,87.8,0.0
2020-03-15,34.2,20,S/D,7.7
2020-03-16,32.2,21.8,83.4,0.0
2020-03-17,34,20.4,87.9,37.7
2020-03-18,31.2,20.8,88.0,6.5
2020-03-19,33.8,21.8,86.7,0.0
2020-03-20,34.6,22.2,83.2,0.0
2020-03-21,35.6,20.2,83.5,0.0
2020-03-22,34.6,21.4,82.6,0.0
2020-03-23,35,22.4,83.2,3.3
2020-03-24,34,20.2,84.1,0.0
2020-03-25,33.4,20.8,84.2,0.0
2020-03-26,32.2,21.2,86.0,0.0
2020-03-27,36,20.2,80.9,0.8
2020-03-28,36.6,20.8,80.6,31.1
2020-03-29,27,20.6,97.9,23.7
2020-03-30,30.8,21.4,92.6,65.5
2020-03-31,30.6,22.2,92.1,99.1
