Fuente: SENAMHI / DRD
* Datos sin control de calidad.
* El uso de estos datos será de entera responsabilidad del usuario.

Leyenda:
* S/D = Sin Datos.
* T = Trazas (Precipitación < 0.1 mm/día).

,Estación : FLOR DE PUNGA
,Departamento :,LORETO,Provincia :,REQUENA,Distrito :,CAPELO
,Latitud :,5°24'19.82'',Longitud :,74°9'32.79'',Altitud :,105 msnm.
,Tipo :,PE - Meteorológica,Código :,105092
AÑO / MES / DÍA,TEMPERATURA (°C),HUMEDAD RELATIVA (%),PRECIPITACIÓN (mm/día)
MAX,MIN,TOTAL
2020-09-01,31.6,23.2,82.8,0.0
2020-09-02,32.2,23.4,86.9,14.4
2020-09-03,33,22.4,84.0,0.0
2020-09-04,31,23.8,90.0,0.0
2020-09-05,S/D,21.8,S/D,0.0
2020-09-06,34.8,23.4,80.1,0.0
2020-09-07,35.8,23.6,79.1,0.0
2020-09-08,34,23.4,82.8,2.5
2020-09-09,33.6,24.2,89.2,0.0
2020-09-10,S/D,22.4,S/D,0.0
2020-09-11,32.2,22.6,87.0,0.0
2020-09-12,34.2,22.4,76.4,0.0
2020-09-13,35.8,24.2,76.7,0.0
2020-09-14,34.4,23.4,78.4,4.7
2020-09-15,32.4,22.6,85.7,76.5
2020-09-16,33.8,21.4,85.4,0.0
2020-09-17,S/D,23.8,S/D,0.0
2020-09-18,35.4,23,82.8,13.4
2020-09-19,35,23.2,80.9,0.0
2020-09-20,34.2,22.2,82.4,0.0
2020-09-21,34.4,23,82.5,0.0
2020-09-22,27.2,22.4,S/D,13.9
2020-09-23,33,19.4,83.7,13.0
2020-09-24,31,22.4,88.0,5.7
2020-09-25,32.8,23.2,83.3,0.0
2020-09-26,34.2,21.6,83.1,0.0
2020-09-27,34.8,23.4,75.0,4.0
2020-09-28,34,23.8,88.3,2.2
2020-09-29,31.6,22.2,85.7,6.7
2020-09-30,31.2,23.6,87.0,0.0
