Fuente: SENAMHI / DRD
* Datos sin control de calidad.
* El uso de estos datos será de entera responsabilidad del usuario.

Leyenda:
* S/D = Sin Datos.
* T = Trazas (Precipitación < 0.1 mm/día).

,Estación : LA LIBERTAD
,Departamento :,LORETO,Provincia :,MAYNAS,Distrito :,MAZAN
,Latitud :,3°29'10.69'',Longitud :,73°14'1.47'',Altitud :,100 msnm.
,Tipo :,PLU - Meteorológica,Código :,103014
AÑO / MES / DÍA,TEMPERATURA (°C),HUMEDAD RELATIVA (%),PRECIPITACIÓN (mm/día)
MAX,MIN,TOTAL
2020-11-01,,,,0.0
2020-11-02,,,,0.0
2020-11-03,,,,0.0
2020-11-04,,,,0.0
2020-11-05,,,,0.0
2020-11-06,,,,15.1
2020-11-07,,,,3.5
2020-11-08,,,,13.4
2020-11-09,,,,0.0
2020-11-10,,,,0.0
2020-11-11,,,,0.0
2020-11-12,,,,28.1
2020-11-13,,,,2.3
2020-11-14,,,,0.0
2020-11-15,,,,16.4
2020-11-16,,,,0.0
2020-11-17,,,,0.0
2020-11-18,,,,1.5
2020-11-19,,,,75.1
2020-11-20,,,,3.2
2020-11-21,,,,9.4
2020-11-22,,,,25.2
2020-11-23,,,,0.0
2020-11-24,,,,14.9
2020-11-25,,,,0.0
2020-11-26,,,,0.0
2020-11-27,,,,0.0
2020-11-28,,,,35.1
2020-11-29,,,,0.0
2020-11-30,,,,0.0
