Fuente: SENAMHI / DRD
* Datos sin control de calidad.
* El uso de estos datos será de entera responsabilidad del usuario.

Leyenda:
* S/D = Sin Datos.
* T = Trazas (Precipitación < 0.1 mm/día).

,Estación : LAGUNAS
,Departamento :,LORETO,Provincia :,ALTO AMAZONAS,Distrito :,LAGUNAS
,Latitud :,5°13'9.74'',Longitud :,75°39'57.95'',Altitud :,120 msnm.
,Tipo :,PLU - Meteorológica,Código :,100080
AÑO / MES / DÍA,TEMPERATURA (°C),HUMEDAD RELATIVA (%),PRECIPITACIÓN (mm/día)
MAX,MIN,TOTAL
2020-04-01,,,,13.8
2020-04-02,,,,2.4
2020-04-03,,,,4.7
2020-04-04,,,,17.7
2020-04-05,,,,8.5
2020-04-06,,,,0.0
2020-04-07,,,,6.4
2020-04-08,,,,0.0
2020-04-09,,,,6.5
2020-04-10,,,,22.9
2020-04-11,,,,48.5
2020-04-12,,,,0.0
2020-04-13,,,,0.0
2020-04-14,,,,0.0
2020-04-15,,,,68.2
2020-04-16,,,,1.9
2020-04-17,,,,0.0
2020-04-18,,,,0.0
2020-04-19,,,,0.0
2020-04-20,,,,0.0
2020-04-21,,,,0.0
2020-04-22,,,,0.0
2020-04-23,,,,0.0
2020-04-24,,,,0.0
2020-04-25,,,,0.0
2020-04-26,,,,36.2
2020-04-27,,,,0.0
2020-04-28,,,,44.6
2020-04-29,,,,18.4
2020-04-30,,,,7.8
