Fuente: SENAMHI / DRD
* Datos sin control de calidad.
* El uso de estos datos será de entera responsabilidad del usuario.

Leyenda:
* S/D = Sin Datos.
* T = Trazas (Precipitación < 0.1 mm/día).

,Estación : MANITI
,Departamento :,LORETO,Provincia :,MAYNAS,Distrito :,INDIANA
,Latitud :,3°31'13.09'',Longitud :,72°50'27.13'',Altitud :,125 msnm.
,Tipo :,PE - Meteorológica,Código :,103009
AÑO / MES / DÍA,TEMPERATURA (°C),HUMEDAD RELATIVA (%),PRECIPITACIÓN (mm/día)
MAX,MIN,TOTAL
2019-06-01,33.2,22.8,83.9,7.0
2019-06-02,33,23.2,85.2,1.0
2019-06-03,29.4,23.8,90.1,15.5
2019-06-04,28.8,21.6,94.3,16.0
2019-06-05,29.6,22.4,86.5,4.0
2019-06-06,30.2,21.8,91.4,6.0
2019-06-07,29.4,23.4,88.2,12.0
2019-06-08,29,21.8,89.7,6.0
2019-06-09,30.4,21.8,89.1,0.0
2019-06-10,31.2,21.6,87.7,23.0
2019-06-11,28.4,21.8,90.7,56.0
2019-06-12,29.6,22,87.8,9.0
2019-06-13,30,21.4,87.3,26.0
2019-06-14,32.8,20,82.6,0.0
2019-06-15,31,22.4,88.0,56.0
2019-06-16,29,21.2,88.0,0.0
2019-06-17,31,20.4,80.6,18.0
2019-06-18,30.6,21.6,87.9,0.5
2019-06-19,32.4,22.8,84.3,34.0
2019-06-20,29.6,22.8,90.8,45.5
2019-06-21,31.4,23,90.7,33.0
2019-06-22,30,22.8,87.5,0.5
2019-06-23,33,20.4,80.9,6.0
2019-06-24,32.4,21.2,86.4,1.0
2019-06-25,31.4,20.2,82.3,0.0
2019-06-26,32.8,21.8,86.3,20.0
2019-06-27,30,20.2,84.9,8.0
2019-06-28,29.8,21.6,84.7,10.0
2019-06-29,31,20.8,89.4,3.0
2019-06-30,32.4,21.4,84.5,S/D
