Fuente: SENAMHI / DRD
* Datos sin control de calidad.
* El uso de estos datos será de entera responsabilidad del usuario.

Leyenda:
* S/D = Sin Datos.
* T = Trazas (Precipitación < 0.1 mm/día).

,Estación : MAZAN
,Departamento :,LORETO,Provincia :,MAYNAS,Distrito :,MAZAN
,Latitud :,3°29'17.4'',Longitud :,73°4'54.6'',Altitud :,96 msnm.
,Tipo :,CP - Meteorológica,Código :,103044
AÑO / MES / DÍA,TEMPERATURA (°C),HUMEDAD RELATIVA (%),PRECIPITACIÓN (mm/día)
MAX,MIN,TOTAL
2018-08-01,26,22.5,89.3,3.0
2018-08-02,31.8,21.8,80.0,0.0
2018-08-03,32.4,22.6,76.4,1.1
2018-08-04,34,22.8,80.3,0.0
2018-08-05,32.6,23,77.0,0.0
2018-08-06,32.8,22.6,79.5,0.0
2018-08-07,28.4,23,83.7,0.0
2018-08-08,32,22.5,79.7,0.0
2018-08-09,31,23.4,81.8,6.3
2018-08-10,30.2,22.8,81.6,0.0
2018-08-11,30.4,22.6,82.1,12.0
2018-08-12,31.8,22.4,77.9,0.0
2018-08-13,32.2,23.4,78.0,0.0
2018-08-14,33.4,22.9,78.3,0.0
2018-08-15,32,22.5,82.6,0.3
2018-08-16,29.2,22,85.5,22.0
2018-08-17,31.2,22.4,80.4,0.0
2018-08-18,32.4,22.8,79.5,0.0
2018-08-19,33.8,22.3,76.5,14.4
2018-08-20,30,21.8,83.5,13.2
2018-08-21,28,21.6,S/D,0.0
2018-08-22,28.4,22.8,81.0,0.3
2018-08-23,32.8,20.6,79.0,0.0
2018-08-24,33.6,21.8,75.7,0.0
2018-08-25,29,23,87.5,4.8
2018-08-26,31.8,22,85.2,38.6
2018-08-27,26.2,21.4,85.2,0.0
2018-08-28,31.8,20.8,74.0,0.0
2018-08-29,S/D,22.2,S/D,S/D
2018-08-30,31.2,23.8,85.1,38.0
2018-08-31,S/D,22.3,S/D,S/D
