Fuente: SENAMHI / DRD
* Datos sin control de calidad.
* El uso de estos datos será de entera responsabilidad del usuario.

Leyenda:
* S/D = Sin Datos.
* T = Trazas (Precipitación < 0.1 mm/día).

,Estación : MORALILLO
,Departamento :,LORETO,Provincia :,MAYNAS,Distrito :,SAN JUAN BAUTISTA
,Latitud :,3°53'58.8'',Longitud :,73°20'18'',Altitud :,106 msnm.
,Tipo :,CP - Meteorológica,Código :,103023
AÑO / MES / DÍA,TEMPERATURA (°C),HUMEDAD RELATIVA (%),PRECIPITACIÓN (mm/día)
MAX,MIN,TOTAL
2020-08-01,S/D,S/D,88.7,0.0
2020-08-02,S/D,S/D,S/D,0.0
2020-08-03,S/D,S/D,88.5,0.0
2020-08-04,S/D,S/D,S/D,0.0
2020-08-05,S/D,S/D,90.4,0.0
2020-08-06,S/D,S/D,88.5,0.0
2020-08-07,S/D,S/D,86.5,10.7
2020-08-08,S/D,S/D,88.5,8.2
2020-08-09,S/D,S/D,90.4,0.0
2020-08-10,S/D,S/D,86.5,0.0
2020-08-11,S/D,S/D,84.6,0.0
2020-08-12,S/D,S/D,90.4,0.0
2020-08-13,S/D,S/D,88.7,16.9
2020-08-14,S/D,S/D,94.8,0.0
2020-08-15,S/D,S/D,87.7,0.0
2020-08-16,S/D,S/D,87.1,0.0
2020-08-17,S/D,S/D,86.4,20.8
2020-08-18,S/D,S/D,87.7,0.0
2020-08-19,S/D,S/D,94.8,0.0
2020-08-20,S/D,S/D,88.9,31.1
2020-08-21,S/D,S/D,90.7,17.6
2020-08-22,S/D,S/D,93.6,0.0
2020-08-23,S/D,S/D,95.0,0.0
2020-08-24,S/D,S/D,88.1,0.0
2020-08-25,S/D,S/D,89.1,0.0
2020-08-26,S/D,S/D,85.7,0.0
2020-08-27,S/D,S/D,91.8,0.0
2020-08-28,S/D,S/D,74.4,0.0
2020-08-29,S/D,S/D,92.4,0.0
2020-08-30,S/D,S/D,94.3,8.2
2020-08-31,S/D,S/D,88.3,6.4
