Fuente: SENAMHI / DRD
* Datos sin control de calidad.
* El uso de estos datos será de entera responsabilidad del usuario.

Leyenda:
* S/D = Sin Datos.
* T = Trazas (Precipitación < 0.1 mm/día).

,Estación : REQUENA
,Departamento :,LORETO,Provincia :,REQUENA,Distrito :,REQUENA
,Latitud :,5°2'35.06'',Longitud :,73°50'10.09'',Altitud :,109 msnm.
,Tipo :,CO - Meteorológica,Código :,105095
AÑO / MES / DÍA,TEMPERATURA (°C),HUMEDAD RELATIVA (%),PRECIPITACIÓN (mm/día)
MAX,MIN,TOTAL
2021-01-01,32.4,22.4,93.8,42.0
2021-01-02,30.8,21.8,94.6,0.0
2021-01-03,31.8,22.8,95.6,8.8
2021-01-04,30.6,23,94.5,71.8
2021-01-05,30.2,22,92.9,74.2
2021-01-06,27.8,22.2,97.3,78.6
2021-01-07,28.6,21.8,94.4,0.0
2021-01-08,31,22.2,92.9,1.8
2021-01-09,32.8,22.6,93.1,0.0
2021-01-10,31,22.8,92.1,2.8
2021-01-11,32,21.6,91.6,0.0
2021-01-12,29.8,22.2,95.4,17.5
2021-01-13,30,22,95.5,0.0
2021-01-14,30.4,22.4,94.5,14.2
2021-01-15,30.2,22.6,95.4,15.5
2021-01-16,32.4,22.4,90.7,4.2
2021-01-17,33,23,92.5,0.0
2021-01-18,32,23.2,91.3,12.6
2021-01-19,29,22.2,94.9,40.3
2021-01-20,28.4,21.4,94.4,19.2
2021-01-21,29.2,21.6,95.0,0.0
2021-01-22,30.6,22,93.1,8.8
2021-01-23,32.4,22.2,92.9,0.0
2021-01-24,29.8,22.2,94.4,8.6
2021-01-25,30.6,22,92.2,0.0
2021-01-26,26.6,23,96.8,14.1
2021-01-27,31.4,21.6,94.6,7.1
2021-01-28,30.2,22.2,94.4,7.9
2021-01-29,31,22,95.0,0.0
2021-01-30,31.2,22.2,92.3,12.4
2021-01-31,30,22,S/D,10.0
