Fuente: SENAMHI / DRD
* Datos sin control de calidad.
* El uso de estos datos será de entera responsabilidad del usuario.

Leyenda:
* S/D = Sin Datos.
* T = Trazas (Precipitación < 0.1 mm/día).

,Estación : SAN REGIS
,Departamento :,LORETO,Provincia :,LORETO,Distrito :,NAUTA
,Latitud :,4°30'46.83'',Longitud :,73°54'27.02'',Altitud :,101 msnm.
,Tipo :,PE - Meteorológica,Código :,104098
AÑO / MES / DÍA,TEMPERATURA (°C),HUMEDAD RELATIVA (%),PRECIPITACIÓN (mm/día)
MAX,MIN,TOTAL
2020-12-01,33.6,21.4,S/D,0.0
2020-12-02,33.8,22.6,93.2,50.2
2020-12-03,30.2,22.4,92.7,0.0
2020-12-04,33.2,21.6,94.9,26.2
2020-12-05,29.8,22,89.1,4.5
2020-12-06,32.2,21.4,S/D,0.0
2020-12-07,30.6,21.8,95.9,32.4
2020-12-08,27.4,22.6,93.8,32.5
2020-12-09,33.8,21.2,90.8,0.0
2020-12-10,34.2,21,88.0,0.0
2020-12-11,32.8,21.2,S/D,12.5
2020-12-12,32.6,22.4,92.1,48.0
2020-12-13,S/D,22.2,S/D,4.6
2020-12-14,32.6,21.6,91.9,6.3
2020-12-15,30.6,21.8,92.3,41.6
2020-12-16,33,21.2,90.2,20.5
2020-12-17,30.2,22.2,91.7,5.3
2020-12-18,31.2,22.4,88.0,0.0
2020-12-19,32.8,22.2,89.3,0.0
2020-12-20,31.6,22,94.4,0.0
2020-12-21,31,22.4,90.9,33.9
2020-12-22,32.6,22.6,94.3,30.1
2020-12-23,33.2,22,S/D,0.0
2020-12-24,33.4,21.8,89.7,64.8
2020-12-25,33.8,22.2,92.8,0.0
2020-12-26,32.6,22.6,91.7,14.5
2020-12-27,30.4,22.8,93.0,0.0
2020-12-28,S/D,22,S/D,2.8
2020-12-29,31.8,21.4,79.9,0.0
2020-12-30,33.2,21.6,84.9,0.0
2020-12-31,33.6,22.2,85.2,0.0
