Fuente: SENAMHI / DRD
* Datos sin control de calidad.
* El uso de estos datos será de entera responsabilidad del usuario.

Leyenda:
* S/D = Sin Datos.
* T = Trazas (Precipitación < 0.1 mm/día).

,Estación : SAN ROQUE
,Departamento :,LORETO,Provincia :,MAYNAS,Distrito :,SAN JUAN BAUTISTA
,Latitud :,3°47'11.6'',Longitud :,73°17'35.7'',Altitud :,106 msnm.
,Tipo :,CP - Meteorológica,Código :,103052
AÑO / MES / DÍA,TEMPERATURA (°C),HUMEDAD RELATIVA (%),PRECIPITACIÓN (mm/día)
MAX,MIN,TOTAL
2020-07-01,31.4,22.6,89.7,5.2
2020-07-02,32.8,23,83.8,76.4
2020-07-03,31.8,22,92.2,54.1
2020-07-04,31.4,22.8,87.5,0.1
2020-07-05,31,22.6,89.7,2.9
2020-07-06,33.6,22.8,86.7,8.8
2020-07-07,32.6,22,87.6,28.9
2020-07-08,31.6,23,88.3,17.4
2020-07-09,33,21.6,87.8,15.3
2020-07-10,29.4,22,90.9,18.9
2020-07-11,31.6,22.2,87.4,0.0
2020-07-12,32.4,22.8,85.6,0.5
2020-07-13,32,22.6,86.7,8.2
2020-07-14,31.6,21.4,89.7,17.7
2020-07-15,32,22.4,89.3,3.2
2020-07-16,31.6,22,87.7,0.0
2020-07-17,34.4,22.6,83.3,0.0
2020-07-18,31.4,22.6,88.0,0.3
2020-07-19,32.2,22.8,87.6,0.0
2020-07-20,33.6,23,87.0,0.3
2020-07-21,33.2,22,86.4,0.0
2020-07-22,33.4,23,84.9,7.4
2020-07-23,33,22,85.6,0.0
2020-07-24,33,22.8,85.5,5.2
2020-07-25,32.4,22.6,87.6,19.9
2020-07-26,29.8,22,87.9,0.0
2020-07-27,31.6,22.6,88.1,0.0
2020-07-28,34.2,23,85.0,0.0
2020-07-29,32.4,23,87.3,5.0
2020-07-30,31.6,22.6,89.6,1.2
2020-07-31,32.4,22.4,86.9,0.0
