Fuente: SENAMHI / DRD
* Datos sin control de calidad.
* El uso de estos datos será de entera responsabilidad del usuario.

Leyenda:
* S/D = Sin Datos.
* T = Trazas (Precipitación < 0.1 mm/día).

,Estación : SANTA CLOTILDE
,Departamento :,LORETO,Provincia :,MAYNAS,Distrito :,NAPO
,Latitud :,2°29'15.3'',Longitud :,73°40'45.1'',Altitud :,118 msnm.
,Tipo :,CO - Meteorológica,Código :,102009
AÑO / MES / DÍA,TEMPERATURA (°C),HUMEDAD RELATIVA (%),PRECIPITACIÓN (mm/día)
MAX,MIN,TOTAL
2019-12-01,29,S/D,S/D,11.2
2019-12-02,28.2,S/D,94.1,21.5
2019-12-03,30.2,S/D,91.1,0.0
2019-12-04,33.2,S/D,84.5,0.0
2019-12-05,32.2,S/D,91.3,12.8
2019-12-06,30,S/D,89.4,0.0
2019-12-07,32.2,S/D,87.1,3.4
2019-12-08,30.2,S/D,93.0,0.0
2019-12-09,33,S/D,88.4,0.0
2019-12-10,30,S/D,97.9,19.0
2019-12-11,32.2,S/D,90.4,28.7
2019-12-12,32,S/D,88.4,0.5
2019-12-13,32.4,S/D,86.4,0.0
2019-12-14,28.2,S/D,94.2,26.5
2019-12-15,29,S/D,91.0,0.0
2019-12-16,30.2,S/D,91.1,0.0
2019-12-17,32,S/D,92.0,0.0
2019-12-18,30.2,S/D,88.0,55.0
2019-12-19,31,S/D,92.8,49.5
2019-12-20,31,S/D,89.4,8.4
2019-12-21,31.2,S/D,87.8,40.0
2019-12-22,31.2,S/D,94.0,22.3
2019-12-23,28.2,S/D,91.9,18.0
2019-12-24,31,S/D,88.3,0.0
2019-12-25,33.2,S/D,84.9,0.0
2019-12-26,33,S/D,85.1,0.0
2019-12-27,32,S/D,91.4,37.5
2019-12-28,31,S/D,89.4,13.8
2019-12-29,31.2,S/D,88.6,7.7
2019-12-30,32.2,S/D,87.6,16.0
2019-12-31,32,S/D,87.2,1.4
