Fuente: SENAMHI / DRD
* Datos sin control de calidad.
* El uso de estos datos será de entera responsabilidad del usuario.

Leyenda:
* S/D = Sin Datos.
* T = Trazas (Precipitación < 0.1 mm/día).

,Estación : SANTA CRUZ
,Departamento :,LORETO,Provincia :,MAYNAS,Distrito :,MAZAN
,Latitud :,3°31'.97'',Longitud :,73°9'9.18'',Altitud :,95 msnm.
,Tipo :,PLU - Meteorológica,Código :,103013
AÑO / MES / DÍA,TEMPERATURA (°C),HUMEDAD RELATIVA (%),PRECIPITACIÓN (mm/día)
MAX,MIN,TOTAL
2021-02-01,,,,0.0
2021-02-02,,,,0.0
2021-02-03,,,,60.5
2021-02-04,,,,30.4
2021-02-05,,,,0.9
2021-02-06,,,,10.5
2021-02-07,,,,0.0
2021-02-08,,,,0.0
2021-02-09,,,,10.8
2021-02-10,,,,0.0
2021-02-11,,,,20.2
2021-02-12,,,,10.2
2021-02-13,,,,0.0
2021-02-14,,,,10.7
2021-02-15,,,,30.3
2021-02-16,,,,40.9
2021-02-17,,,,0.0
2021-02-18,,,,0.0
2021-02-19,,,,0.0
2021-02-20,,,,0.0
2021-02-21,,,,10.6
2021-02-22,,,,0.0
2021-02-23,,,,40.4
2021-02-24,,,,20.3
2021-02-25,,,,0.0
2021-02-26,,,,0.0
2021-02-27,,,,0.0
2021-02-28,,,,0.0
