Fuente: SENAMHI / DRD
* Datos sin control de calidad.
* El uso de estos datos será de entera responsabilidad del usuario.

Leyenda:
* S/D = Sin Datos.
* T = Trazas (Precipitación < 0.1 mm/día).

,Estación : SANTA RITA DE CASTILLA
,Departamento :,LORETO,Provincia :,LORETO,Distrito :,PARINARI
,Latitud :,4°35'31.77'',Longitud :,74°22'50.14'',Altitud :,104 msnm.
,Tipo :,PE - Meteorológica,Código :,104065
AÑO / MES / DÍA,TEMPERATURA (°C),HUMEDAD RELATIVA (%),PRECIPITACIÓN (mm/día)
MAX,MIN,TOTAL
2021-01-01,27.8,S/D,92.2,10.8
2021-01-02,31.4,S/D,86.5,0.0
2021-01-03,31,S/D,92.4,20.4
2021-01-04,31.2,S/D,88.6,46.2
2021-01-05,31.8,S/D,86.8,45.2
2021-01-06,27.4,S/D,94.2,10.2
2021-01-07,29.2,S/D,93.3,0.0
2021-01-08,31.4,S/D,88.5,0.0
2021-01-09,31.8,S/D,86.5,0.0
2021-01-10,31.4,S/D,91.2,0.0
2021-01-11,32.4,S/D,90.0,0.0
2021-01-12,30.8,S/D,92.8,15.4
2021-01-13,32.2,S/D,90.0,0.0
2021-01-14,33.2,S/D,85.5,15.2
2021-01-15,30.2,S/D,90.1,0.0
2021-01-16,32.8,S/D,91.3,8.2
2021-01-17,34.6,S/D,86.2,0.0
2021-01-18,34.4,S/D,87.4,0.0
2021-01-19,31.2,S/D,89.3,34.0
2021-01-20,29.8,S/D,90.1,11.4
2021-01-21,30.2,S/D,90.2,0.0
2021-01-22,30.4,S/D,92.1,45.2
2021-01-23,28.8,S/D,S/D,8.2
2021-01-24,29.2,S/D,92.8,25.6
2021-01-25,31.8,S/D,91.5,0.0
2021-01-26,31.2,S/D,89.9,20.8
2021-01-27,30.6,S/D,93.0,0.0
2021-01-28,31.8,S/D,93.4,0.0
2021-01-29,34.4,S/D,87.6,0.0
2021-01-30,34.2,S/D,81.0,20.2
2021-01-31,30.6,S/D,93.8,10.8
