Fuente: SENAMHI / DRD
* Datos sin control de calidad.
* El uso de estos datos será de entera responsabilidad del usuario.

Leyenda:
* S/D = Sin Datos.
* T = Trazas (Precipitación < 0.1 mm/día).

,Estación : SANTA ROSA
,Departamento :,LORETO,Provincia :,MARISCAL RAMON CASTILLA,Distrito :,YAVARI
,Latitud :,4°13'34.88'',Longitud :,69°57'22.63'',Altitud :,62 msnm.
,Tipo :,PLU - Meteorológica,Código :,104010
AÑO / MES / DÍA,TEMPERATURA (°C),HUMEDAD RELATIVA (%),PRECIPITACIÓN (mm/día)
MAX,MIN,TOTAL
2020-09-01,,,,0.0
2020-09-02,,,,31.0
2020-09-03,,,,3.3
2020-09-04,,,,14.0
2020-09-05,,,,7.0
2020-09-06,,,,0.0
2020-09-07,,,,2.0
2020-09-08,,,,0.0
2020-09-09,,,,0.0
2020-09-10,,,,0.0
2020-09-11,,,,0.0
2020-09-12,,,,0.0
2020-09-13,,,,0.0
2020-09-14,,,,8.0
2020-09-15,,,,0.0
2020-09-16,,,,0.0
2020-09-17,,,,0.0
2020-09-18,,,,12.3
2020-09-19,,,,0.0
2020-09-20,,,,5.0
2020-09-21,,,,31.0
2020-09-22,,,,0.0
2020-09-23,,,,0.0
2020-09-24,,,,0.0
2020-09-25,,,,7.3
2020-09-26,,,,0.0
2020-09-27,,,,0.0
2020-09-28,,,,23.0
2020-09-29,,,,23.0
2020-09-30,,,,33.0
