Fuente: SENAMHI / DRD
* Datos sin control de calidad.
* El uso de estos datos será de entera responsabilidad del usuario.

Leyenda:
* S/D = Sin Datos.
* T = Trazas (Precipitación < 0.1 mm/día).

,Estación : SHANUSI
,Departamento :,LORETO,Provincia :,ALTO AMAZONAS,Distrito :,YURIMAGUAS
,Latitud :,6°4'1.33'',Longitud :,76°15'1.8'',Altitud :,154 msnm.
,Tipo :,CO - Meteorológica,Código :,100132
AÑO / MES / DÍA,TEMPERATURA (°C),HUMEDAD RELATIVA (%),PRECIPITACIÓN (mm/día)
MAX,MIN,TOTAL
2020-11-01,31.4,19.2,78.1,0.0
2020-11-02,34.2,20.2,74.8,0.0
2020-11-03,35.4,21.4,77.3,0.0
2020-11-04,36.2,21,78.4,0.0
2020-11-05,36.8,19.8,69.6,0.0
2020-11-06,35.4,21,74.4,0.0
2020-11-07,36,18.6,79.5,13.2
2020-11-08,34.8,21,84.6,16.2
2020-11-09,35,20.2,78.8,0.0
2020-11-10,35.4,22.2,80.3,32.4
2020-11-11,30.4,21.8,91.6,8.4
2020-11-12,32.6,22.2,86.6,21.8
2020-11-13,33.8,20.4,82.8,0.0
2020-11-14,32.4,21.8,83.4,0.0
2020-11-15,31.6,22.4,86.2,16.7
2020-11-16,30,20.2,88.5,0.0
2020-11-17,33.2,19.2,80.7,0.0
2020-11-18,34.6,22.6,83.7,5.3
2020-11-19,32,22.4,S/D,10.1
2020-11-20,29.8,20.8,88.0,6.3
2020-11-21,33.4,19.4,83.7,32.2
2020-11-22,29.6,22,S/D,15.8
2020-11-23,32.2,20.6,86.0,1.3
2020-11-24,35.4,S/D,83.3,34.2
2020-11-25,35.2,20.2,82.3,0.0
2020-11-26,34.2,22.6,81.8,0.0
2020-11-27,32.8,22.8,83.3,21.2
2020-11-28,27.8,19.4,87.5,0.0
2020-11-29,34,21,75.4,0.0
2020-11-30,33.2,21.6,84.0,0.0
