Fuente: SENAMHI / DRD
* Datos sin control de calidad.
* El uso de estos datos será de entera responsabilidad del usuario.

Leyenda:
* S/D = Sin Datos.

,Estación : IÑAPARI
,Departamento :,MADRE DE DIOS,Provincia :,TAHUAMANU,Distrito :,IÑAPARI
,Latitud :,10°57'21.2'',Longitud :,69°34'40.7'',Altitud :,245 msnm.
,Tipo :,EAMA - Meteorológica,Código :,472587E0
AÑO / MES / DÍA,HORA,TEMPERATURA (°C),PRECIPITACIÓN (mm/hora),HUMEDAD (%),DIRECCION DEL VIENTO (°),VELOCIDAD DEL VIENTO (m/s)
2020/05/01,00:00,23.8,0.0,100,56,0.0
2020/05/01,01:00,23.6,0.0,100,253,0.1
2020/05/01,02:00,23.7,0.0,100,169,0.0
2020/05/01,03:00,23.5,0.0,100,287,0.8
2020/05/01,04:00,23.6,0.0,100,359,0.0
2020/05/01,05:00,23.4,0.0,100,190,0.0
2020/05/01,06:00,23.4,0.0,100,213,0.7
2020/05/01,07:00,24.8,0.0,100,14,1.2
2020/05/01,08:00,27.5,0.0,90,88,2.6
2020/05/01,09:00,29.3,0.0,80,136,1.8
2020/05/01,10:00,31.2,0.0,74,72,3.8
2020/05/01,11:00,32.4,0.0,69,79,5.3
2020/05/01,12:00,30.8,0.0,75,59,4.0
2020/05/01,13:00,30.8,0.0,75,73,2.8
2020/05/01,14:00,31.9,0.0,71,131,3.3
2020/05/01,15:00,31.4,0.0,71,149,2.6
2020/05/01,16:00,28.3,0.0,77,71,6.1
2020/05/01,17:00,25.1,0.3,95,90,2.2
2020/05/01,18:00,24.4,1.2,98,266,2.1
2020/05/01,19:00,24.4,0.0,100,154,0.4
2020/05/01,20:00,24.4,0.0,100,38,1.7
2020/05/01,21:00,24.3,0.0,100,189,0.1
2020/05/01,22:00,24.1,0.0,100,291,0.7
2020/05/01,23:00,23.8,0.0,100,174,0.0
2020/05/02,00:00,23.7,0.0,100,221,1.1
2020/05/02,01:00,23.5,0.0,100,306,0.0
2020/05/02,02:00,23.4,0.0,100,330,0.1
2020/05/02,03:00,23.2,0.0,100,193,0.2
2020/05/02,04:00,23.2,0.0,100,216,1.1
2020/05/02,05:00,23.1,0.0,100,290,0.0
2020/05/02,06:00,23.3,0.0,100,146,0.0
2020/05/02,07:00,25.2,0.0,99,280,0.4
2020/05/02,08:00,28.7,0.0,85,193,2.5
2020/05/02,09:00,29.3,0.0,86,171,2.8
2020/05/02,10:00,30.7,0.0,82,186,4.0
2020/05/02,11:00,30.4,0.0,76,147,2.4
2020/05/02,12:00,31.7,0.0,72,156,2.7
2020/05/02,13:00,29.6,0.3,71,65,0.4
2020/05/02,14:00,27.8,0.0,87,278,2.5
2020/05/02,15:00,31.0,0.0,73,204,2.6
2020/05/02,16:00,29.6,0.0,80,60,1.8
2020/05/02,17:00,28.1,0.0,86,270,2.2
2020/05/02,18:00,26.7,0.0,89,120,1.5
2020/05/02,19:00,25.6,0.0,96,57,0.6
2020/05/02,20:00,24.7,0.0,98,106,0.4
2020/05/02,21:00,24.2,0.0,100,177,0.9
2020/05/02,22:00,23.9,0.0,100,210,1.3
2020/05/02,23:00,23.9,0.0,100,243,0.3
2020/05/03,00:00,23.9,0.0,100,6,0.3
2020/05/03,01:00,23.8,0.0,100,161,0.3
2020/05/03,02:00,23.8,0.0,100,261,0.2
2020/05/03,03:00,23.7,0.0,100,350,0.9
2020/05/03,04:00,23.5,0.0,100,273,0.3
2020/05/03,05:00,23.5,0.0,100,186,0.5
2020/05/03,06:00,23.5,0.0,100,320,0.2
2020/05/03,07:00,24.2,0.0,100,286,1.0
2020/05/03,08:00,26.0,0.0,93,102,0.6
2020/05/03,09:00,29.1,0.0,82,127,2.7
2020/05/03,10:00,29.3,0.0,83,167,3.0
2020/05/03,11:00,30.7,0.0,75,38,1.4
2020/05/03,12:00,32.5,0.0,67,198,1.6
2020/05/03,13:00,33.5,0.0,61,71,2.9
2020/05/03,14:00,31.7,0.0,65,192,1.7
2020/05/03,15:00,30.4,0.0,72,37,4.1
2020/05/03,16:00,28.3,0.0,82,220,3.5
2020/05/03,17:00,26.2,0.0,90,183,1.5
2020/05/03,18:00,25.2,0.0,94,180,1.0
2020/05/03,19:00,25.2,0.0,97,46,1.6
2020/05/03,20:00,24.8,0.0,100,153,0.2
2020/05/03,21:00,24.7,0.0,100,228,0.7
2020/05/03,22:00,24.4,0.0,100,157,0.2
2020/05/03,23:00,24.2,0.0,100,235,0.5
2020/05/04,00:00,24.0,0.0,100,204,0.1
2020/05/04,01:00,24.2,0.0,100,341,0.2
2020/05/04,02:00,23.8,0.0,100,217,1.1
2020/05/04,03:00,23.8,0.0,100,215,1.9
2020/05/04,04:00,23.9,0.0,100,234,1.3
2020/05/04,05:00,23.7,0.0,100,286,0.0
2020/05/04,06:00,23.5,0.0,100,358,0.4
2020/05/04,07:00,24.4,0.0,100,296,1.9
2020/05/04,08:00,25.8,0.0,95,328,1.1
2020/05/04,09:00,27.0,0.0,87,305,2.0
2020/05/04,10:00,29.0,0.0,80,315,1.9
2020/05/04,11:00,29.2,0.0,75,299,2.4
2020/05/04,12:00,30.2,0.0,74,271,2.4
2020/05/04,13:00,29.8,0.0,74,348,3.6
2020/05/04,14:00,31.2,0.0,69,308,3.0
2020/05/04,15:00,30.4,0.0,72,298,4.6
2020/05/04,16:00,29.5,0.0,75,287,3.9
2020/05/04,17:00,28.8,0.0,77,319,2.2
2020/05/04,18:00,26.3,0.0,94,310,0.0
2020/05/04,19:00,25.1,0.0,99,146,0.2
2020/05/04,20:00,24.8,0.0,100,274,0.6
2020/05/04,21:00,24.6,0.0,100,72,1.4
