Fuente: SENAMHI / DRD
* Datos sin control de calidad.
* El uso de estos datos será de entera responsabilidad del usuario.

Leyenda:
* S/D = Sin Datos.

,Estación : MALINOWSKY
,Departamento :,MADRE DE DIOS,Provincia :,TAMBOPATA,Distrito :,INAMBARI
,Latitud :,12°56'2.8'',Longitud :,69°31'3'',Altitud :,220 msnm.
,Tipo :,EMA - Meteorológica,Código :,47E8336C
AÑO / MES / DÍA,HORA,TEMPERATURA (°C),PRECIPITACIÓN (mm/hora),HUMEDAD (%),DIRECCION DEL VIENTO (°),VELOCIDAD DEL VIENTO (m/s)
2019/07/06,13:00,S/D,0.0,66,360,0.0
2019/07/06,14:00,S/D,0.0,67,201,0.4
2019/07/06,15:00,21.8,0.0,63,186,0.3
2019/07/06,16:00,21.4,0.0,64,198,0.3
2019/07/06,17:00,20.0,0.0,74,163,0.0
2019/07/06,18:00,19.1,0.0,85,211,0.0
2019/07/06,19:00,18.0,0.0,91,194,0.1
2019/07/06,20:00,17.9,0.0,92,18,0.0
2019/07/06,21:00,17.6,0.0,95,58,0.1
2019/07/06,22:00,17.2,0.0,94,62,0.0
2019/07/06,23:00,16.9,0.0,95,53,0.2
2019/07/07,00:00,16.5,0.0,92,342,0.0
2019/07/07,01:00,16.0,0.0,93,175,0.0
2019/07/07,02:00,16.1,0.0,92,78,0.0
2019/07/07,03:00,15.9,0.0,94,9,0.1
2019/07/07,04:00,15.8,0.0,93,14,0.2
2019/07/07,05:00,15.7,0.0,92,14,0.0
2019/07/07,06:00,15.6,0.0,94,347,0.0
2019/07/07,07:00,15.6,0.0,92,219,0.0
2019/07/07,08:00,15.8,0.0,92,37,0.1
2019/07/07,09:00,16.3,0.0,91,178,0.0
2019/07/07,10:00,17.5,0.0,83,117,0.3
2019/07/07,11:00,18.4,0.0,74,224,0.2
2019/07/07,12:00,18.9,S/D,73,184,0.1
2019/07/07,13:00,19.4,0.0,77,174,0.1
2019/07/07,14:00,21.1,0.0,73,230,0.3
2019/07/07,15:00,21.6,0.0,72,229,0.2
2019/07/07,16:00,21.2,0.0,73,222,0.2
2019/07/07,17:00,19.4,0.0,80,220,0.1
2019/07/07,18:00,18.4,0.0,88,342,0.0
2019/07/07,19:00,17.5,0.0,94,4,0.0
2019/07/07,20:00,16.9,0.0,97,1,0.0
2019/07/07,21:00,16.5,0.0,97,5,0.0
2019/07/07,22:00,16.2,0.0,98,353,0.0
2019/07/07,23:00,16.1,0.0,98,20,0.0
2019/07/08,00:00,15.9,0.0,98,355,0.0
2019/07/08,01:00,15.6,0.0,98,351,0.0
2019/07/08,02:00,15.4,0.0,98,357,0.0
2019/07/08,03:00,15.8,0.0,98,347,0.0
2019/07/08,04:00,16.0,0.0,98,355,0.0
2019/07/08,05:00,16.1,0.0,98,357,0.0
2019/07/08,06:00,15.9,0.0,98,360,0.0
2019/07/08,07:00,15.7,0.0,98,353,0.0
2019/07/08,08:00,15.8,0.0,98,336,0.0
2019/07/08,09:00,16.7,0.0,98,325,0.1
2019/07/08,10:00,20.3,0.0,88,199,0.2
2019/07/08,11:00,23.2,0.0,75,212,0.3
2019/07/08,12:00,24.7,0.0,70,216,0.5
2019/07/08,13:00,25.9,0.0,69,218,0.4
2019/07/08,14:00,26.7,0.0,66,212,0.4
2019/07/08,15:00,27.0,0.0,67,226,0.4
2019/07/08,16:00,25.3,0.0,71,236,0.4
2019/07/08,17:00,24.6,0.0,74,297,0.1
2019/07/08,18:00,23.1,0.0,87,358,0.0
2019/07/08,19:00,21.7,0.0,92,341,0.0
2019/07/08,20:00,20.8,0.0,96,254,0.0
2019/07/08,21:00,20.2,0.0,97,276,0.0
2019/07/08,22:00,19.7,0.0,97,8,0.0
2019/07/08,23:00,19.2,0.0,98,8,0.0
2019/07/09,00:00,18.8,0.0,98,357,0.0
2019/07/09,01:00,18.5,0.0,98,1,0.0
2019/07/09,02:00,18.2,0.0,98,335,0.0
2019/07/09,03:00,17.9,0.0,98,335,0.0
2019/07/09,04:00,17.8,0.0,98,343,0.0
2019/07/09,05:00,17.6,0.0,99,336,0.0
2019/07/09,06:00,17.4,0.0,99,357,0.0
2019/07/09,07:00,17.3,0.0,99,310,0.0
2019/07/09,08:00,17.5,0.0,99,14,0.0
2019/07/09,09:00,18.6,0.0,99,243,0.0
2019/07/09,10:00,22.0,0.0,92,219,0.5
2019/07/09,11:00,25.3,0.0,84,218,0.4
2019/07/09,12:00,27.4,0.0,76,235,0.5
2019/07/09,13:00,28.7,0.0,72,265,0.3
2019/07/09,14:00,28.4,0.0,74,301,0.3
2019/07/09,15:00,29.3,0.0,67,308,0.3
2019/07/09,16:00,28.5,0.0,72,248,0.2
2019/07/09,17:00,26.6,0.0,81,40,0.1
2019/07/09,18:00,25.0,0.0,88,357,0.0
2019/07/09,19:00,23.4,0.0,92,14,0.0
2019/07/09,20:00,22.4,0.0,96,23,0.0
2019/07/09,21:00,21.8,0.0,97,37,0.0
2019/07/09,22:00,21.4,0.0,97,11,0.0
2019/07/09,23:00,21.0,0.0,98,300,0.0
2019/07/10,00:00,20.6,0.0,98,340,0.0
2019/07/10,01:00,20.2,0.0,98,332,0.0
2019/07/10,02:00,19.9,0.0,98,342,0.0
2019/07/10,03:00,19.5,0.0,98,356,0.0
2019/07/10,04:00,19.2,0.0,98,307,0.0
2019/07/10,05:00,19.0,S/D,98,7,0.1
2019/07/10,07:00,18.5,0.0,98,322,0.0
2019/07/10,17:00,26.9,0.0,78,5,0.0
2019/07/10,18:00,25.3,0.0,86,14,0.0
2019/07/10,19:00,23.9,0.0,91,59,0.0
2019/07/10,20:00,22.8,0.0,95,39,0.0
2019/07/10,21:00,22.2,0.0,97,312,0.0
2019/07/10,22:00,21.8,0.0,97,1,0.0
2019/07/10,23:00,21.4,0.0,98,350,0.0
2019/07/11,00:00,21.0,0.0,98,352,0.0
2019/07/11,01:00,20.7,0.0,98,354,0.0
2019/07/11,02:00,20.3,0.0,98,347,0.0
2019/07/11,03:00,20.0,0.0,98,356,0.0
2019/07/12,14:00,31.8,0.0,64,308,0.3
2019/07/12,15:00,31.3,0.0,66,281,0.3
2019/07/12,16:00,30.1,0.0,69,248,0.3
2019/07/12,17:00,28.1,0.0,77,310,0.1
2019/07/12,18:00,26.4,0.0,85,34,0.0
2019/07/12,19:00,24.9,0.0,90,54,0.0
2019/07/12,20:00,23.8,0.0,96,14,0.0
2019/07/12,21:00,23.4,0.0,97,25,0.0
2019/07/12,22:00,22.9,0.0,97,8,0.0
2019/07/12,23:00,22.5,0.0,97,324,0.0
2019/07/13,00:00,22.3,0.0,98,308,0.0
2019/07/13,01:00,22.4,0.0,98,282,0.1
2019/07/13,02:00,22.5,0.0,98,44,0.1
2019/07/13,03:00,22.0,0.0,98,351,0.0
2019/07/13,04:00,21.6,0.0,98,332,0.0
2019/07/13,05:00,21.6,0.0,98,307,0.0
2019/07/13,06:00,21.4,0.0,98,23,0.1
2019/07/13,07:00,21.5,0.0,98,318,0.0
2019/07/13,08:00,21.5,0.0,99,15,0.0
2019/07/13,09:00,22.4,0.0,98,201,0.0
2019/07/13,10:00,25.7,0.0,88,214,0.2
2019/07/13,11:00,27.6,0.0,82,188,0.2
2019/07/13,12:00,29.8,0.0,76,205,0.4
2019/07/13,13:00,30.4,0.0,75,14,0.1
2019/07/13,14:00,31.2,0.0,70,114,0.6
2019/07/13,15:00,32.0,0.0,65,243,0.5
2019/07/13,16:00,30.7,0.0,69,264,0.1
2019/07/13,17:00,28.5,0.0,78,338,0.0
2019/07/13,18:00,26.9,0.0,86,25,0.0
2019/07/13,19:00,25.5,0.0,93,27,0.0
2019/07/13,20:00,24.6,0.0,96,342,0.1
2019/07/13,21:00,24.2,0.0,97,9,0.0
2019/07/13,22:00,23.7,0.0,97,42,0.1
2019/07/13,23:00,23.4,0.0,97,6,0.0
2019/07/14,00:00,23.1,0.0,98,320,0.2
2019/07/14,01:00,22.9,0.0,98,181,0.0
2019/07/14,02:00,23.0,0.0,98,41,0.3
2019/07/14,03:00,23.0,0.0,98,6,0.0
2019/07/14,04:00,23.0,0.0,98,49,0.1
2019/07/14,05:00,23.0,0.0,97,352,0.1
2019/07/14,06:00,22.7,0.8,96,357,0.1
2019/07/14,07:00,22.4,1.2,98,338,0.0
2019/07/14,08:00,22.5,0.2,98,304,0.0
2019/07/14,09:00,23.4,0.0,98,256,0.1
2019/07/14,10:00,24.4,0.0,96,278,0.0
2019/07/14,11:00,27.0,0.0,87,278,0.3
2019/07/14,12:00,29.1,0.0,79,234,0.2
2019/07/14,13:00,30.1,0.0,77,65,0.3
2019/07/14,14:00,30.5,0.0,75,349,0.2
2019/07/14,15:00,30.5,0.0,74,350,0.2
2019/07/14,16:00,29.6,0.0,75,352,0.1
2019/07/14,17:00,27.5,0.0,84,74,0.5
2019/07/14,18:00,26.3,0.0,88,337,0.2
2019/07/14,19:00,24.9,0.0,93,35,0.2
2019/07/14,20:00,23.9,0.0,96,276,0.0
2019/07/14,21:00,23.5,0.0,97,39,0.1
2019/07/14,22:00,23.0,0.0,97,349,0.0
2019/07/14,23:00,22.8,0.0,98,348,0.0
2019/07/15,00:00,22.5,0.0,98,9,0.0
2019/07/15,01:00,22.2,0.0,98,336,0.0
2019/07/15,02:00,22.1,0.0,98,317,0.0
2019/07/15,03:00,21.8,0.0,98,17,0.1
2019/07/15,04:00,21.7,0.0,98,343,0.2
2019/07/15,05:00,21.8,0.0,98,335,0.0
2019/07/15,06:00,22.2,0.0,98,8,0.1
2019/07/15,07:00,22.2,0.0,98,353,0.0
2019/07/15,08:00,22.4,0.0,98,326,0.0
2019/07/15,09:00,23.6,0.0,97,295,0.0
2019/07/15,10:00,25.0,0.0,92,215,0.0
2019/07/15,11:00,26.3,0.0,88,15,0.2
2019/07/15,12:00,27.4,0.0,84,194,0.1
2019/07/15,13:00,28.2,0.0,81,212,0.2
2019/07/15,14:00,28.3,0.0,81,233,0.0
2019/07/15,15:00,29.3,0.0,78,242,0.1
2019/07/15,16:00,28.9,0.0,76,283,0.0
2019/07/15,17:00,27.0,0.0,84,266,0.0
2019/07/15,18:00,26.5,0.0,89,78,0.0
2019/07/15,19:00,25.1,0.0,93,34,0.0
2019/07/15,20:00,24.1,0.0,96,360,0.1
2019/07/15,21:00,23.5,0.0,97,24,0.1
2019/07/15,22:00,23.1,0.0,97,40,0.0
2019/07/15,23:00,22.9,0.0,98,356,0.0
2019/07/16,00:00,22.6,0.0,98,348,0.2
2019/07/16,01:00,22.5,0.0,98,329,0.0
2019/07/16,02:00,22.2,0.0,98,38,0.2
2019/07/16,03:00,21.9,0.0,98,300,0.0
2019/07/16,04:00,21.8,0.0,98,15,0.2
2019/07/16,05:00,21.7,0.0,98,312,0.0
2019/07/16,06:00,22.0,0.0,98,106,0.2
2019/07/16,07:00,22.4,0.0,97,120,0.1
2019/07/16,08:00,22.3,0.0,97,274,0.0
2019/07/16,09:00,22.2,0.4,98,256,0.0
2019/07/16,10:00,22.8,0.6,97,245,0.0
2019/07/16,11:00,22.9,0.4,97,245,0.0
2019/07/16,12:00,23.3,0.8,97,213,0.0
2019/07/16,13:00,23.5,0.6,96,195,0.1
2019/07/16,14:00,23.3,2.0,97,208,0.6
2019/07/16,15:00,22.5,0.0,96,214,0.3
2019/07/16,16:00,22.1,0.0,96,190,0.2
2019/07/16,17:00,22.3,0.0,95,3,0.0
2019/07/16,18:00,22.0,0.0,95,178,0.0
2019/07/16,19:00,21.7,0.0,96,41,0.0
2019/07/16,20:00,21.3,0.0,98,53,0.3
2019/07/16,21:00,21.3,0.0,97,45,0.6
2019/07/16,22:00,21.0,0.0,97,318,0.0
2019/07/16,23:00,20.6,0.0,98,27,0.2
