Fuente: SENAMHI / DRD
* Datos sin control de calidad.
* El uso de estos datos será de entera responsabilidad del usuario.

Leyenda:
* S/D = Sin Datos.

,Estación : SALVACION
,Departamento :,MADRE DE DIOS,Provincia :,MANU,Distrito :,MANU
,Latitud :,12°49'52.3'',Longitud :,71°21'52.06'',Altitud :,531 msnm.
,Tipo :,EMA - Meteorológica,Código :,47E8201A
AÑO / MES / DÍA,HORA,TEMPERATURA (°C),PRECIPITACIÓN (mm/hora),HUMEDAD (%),DIRECCION DEL VIENTO (°),VELOCIDAD DEL VIENTO (m/s)
2020/12/01,00:00,23.1,3.2,98,138,0.7
2020/12/01,01:00,22.9,1.8,98,98,1.2
2020/12/01,02:00,22.8,1.8,98,5,0.8
2020/12/01,03:00,22.6,0.0,99,8,1.0
2020/12/01,04:00,22.7,0.0,98,145,1.5
2020/12/01,05:00,22.6,0.0,97,133,0.5
2020/12/01,06:00,22.3,0.0,97,291,0.0
2020/12/01,07:00,22.4,0.0,97,129,1.1
2020/12/01,08:00,23.3,0.0,88,135,0.8
2020/12/01,09:00,24.2,0.0,85,177,1.6
2020/12/01,10:00,25.5,0.0,80,183,1.2
2020/12/01,11:00,27.2,0.2,73,146,1.0
2020/12/01,12:00,28.4,0.0,70,354,2.0
2020/12/01,13:00,27.1,0.0,78,110,2.5
2020/12/01,14:00,23.6,1.0,89,134,1.6
2020/12/01,15:00,24.8,0.0,87,215,0.1
2020/12/01,16:00,24.2,0.4,91,212,0.9
2020/12/01,17:00,24.2,0.0,95,238,0.1
2020/12/01,18:00,24.0,0.0,95,103,0.0
2020/12/01,19:00,24.0,0.0,95,103,0.0
2020/12/01,20:00,22.5,0.0,99,126,0.0
2020/12/01,21:00,22.4,0.0,99,100,0.0
2020/12/01,22:00,22.4,0.0,99,358,0.1
2020/12/01,23:00,22.4,0.0,98,162,0.1
2020/12/02,00:00,22.3,0.0,98,358,0.8
2020/12/02,01:00,22.1,0.0,99,160,1.1
2020/12/02,02:00,22.0,0.0,98,145,0.4
2020/12/02,03:00,22.0,0.0,98,177,0.0
2020/12/02,04:00,22.1,0.0,97,132,0.7
2020/12/02,05:00,22.2,0.0,96,148,0.3
2020/12/02,06:00,22.1,0.0,97,302,0.2
2020/12/02,07:00,22.2,0.0,98,336,0.0
2020/12/02,08:00,22.7,0.0,95,186,0.7
2020/12/02,09:00,22.8,2.4,96,171,0.1
2020/12/02,10:00,23.1,2.6,95,81,0.4
2020/12/02,11:00,24.3,0.4,91,346,1.4
2020/12/02,12:00,25.8,0.0,84,360,0.8
2020/12/02,13:00,28.2,0.0,74,357,2.0
2020/12/02,14:00,26.9,0.8,85,60,1.4
2020/12/02,15:00,27.8,0.0,76,26,1.0
2020/12/02,16:00,28.6,0.0,68,16,0.5
2020/12/02,17:00,27.7,0.0,77,69,0.6
2020/12/02,18:00,25.4,0.0,90,93,0.1
2020/12/02,19:00,23.8,0.0,95,69,0.0
2020/12/02,20:00,22.8,0.0,96,141,1.2
2020/12/02,21:00,22.3,0.0,97,48,0.0
2020/12/02,22:00,22.1,0.0,97,90,0.0
2020/12/02,23:00,22.2,0.0,97,145,1.6
2020/12/03,00:00,22.4,0.0,95,340,0.6
2020/12/03,01:00,21.9,0.0,98,86,0.2
2020/12/03,02:00,21.9,0.0,98,121,0.3
2020/12/03,03:00,22.1,0.0,97,164,0.3
2020/12/03,04:00,22.1,0.0,98,344,0.0
2020/12/03,05:00,22.1,0.0,98,100,0.4
2020/12/03,06:00,22.4,0.0,96,124,0.8
2020/12/03,07:00,23.3,0.0,94,334,0.8
2020/12/03,08:00,24.1,0.0,91,341,1.0
2020/12/03,09:00,24.1,0.0,91,341,1.0
2020/12/03,10:00,27.5,0.0,77,315,1.9
2020/12/03,11:00,28.5,0.0,71,24,2.2
2020/12/03,12:00,29.2,0.0,67,341,3.3
2020/12/03,13:00,26.6,4.0,87,223,0.1
2020/12/03,14:00,26.6,0.0,83,181,2.7
2020/12/03,15:00,26.4,0.0,81,193,1.1
2020/12/03,16:00,26.3,0.0,81,183,1.4
2020/12/03,17:00,27.0,0.0,79,186,1.5
2020/12/03,18:00,26.7,0.0,82,169,0.2
2020/12/03,19:00,26.7,0.0,82,169,0.2
2020/12/03,20:00,24.8,0.0,92,126,0.1
2020/12/03,21:00,24.3,0.0,95,343,0.7
2020/12/03,22:00,24.0,0.0,96,122,0.5
2020/12/03,23:00,23.6,1.6,97,181,1.1
2020/12/04,00:00,23.0,0.4,96,144,1.0
2020/12/04,01:00,22.4,5.8,98,304,0.7
2020/12/04,02:00,22.3,0.2,99,153,0.9
2020/12/04,03:00,22.2,1.4,98,112,0.0
2020/12/04,04:00,22.1,0.8,99,14,0.0
2020/12/04,05:00,22.2,1.0,99,195,0.0
2020/12/04,06:00,22.2,1.2,99,170,0.0
2020/12/04,07:00,22.5,1.0,98,188,0.0
2020/12/04,08:00,23.1,1.8,97,112,0.0
2020/12/04,09:00,23.7,1.8,95,79,0.0
