Fuente: SENAMHI / DRD
* Datos sin control de calidad.
* El uso de estos datos será de entera responsabilidad del usuario.

Leyenda:
* S/D = Sin Datos.

,Estación : CALLERIA
,Departamento :,UCAYALI,Provincia :,CORONEL PORTILLO,Distrito :,CALLARIA
,Latitud :,7°53'53.7'',Longitud :,74°29'55.9'',Altitud :,165 msnm.
,Tipo :,EMA - Meteorológica,Código :,47E86310
AÑO / MES / DÍA,HORA,TEMPERATURA (°C),PRECIPITACIÓN (mm/hora),HUMEDAD (%),DIRECCION DEL VIENTO (°),VELOCIDAD DEL VIENTO (m/s)
2018/11/01,00:00,22.8,0.0,97,90,0.0
2018/11/01,01:00,22.9,0.0,97,149,0.0
2018/11/01,02:00,23.0,0.0,97,132,0.0
2018/11/01,03:00,23.0,0.0,97,96,0.0
2018/11/01,04:00,23.0,0.0,97,122,0.0
2018/11/01,05:00,23.0,0.1,97,309,0.0
2018/11/01,06:00,22.9,0.0,97,300,0.0
2018/11/01,07:00,22.8,0.0,97,1,0.0
2018/11/01,08:00,23.2,0.0,97,124,0.0
2018/11/01,09:00,24.2,0.0,95,124,0.3
2018/11/01,10:00,25.8,0.0,88,104,0.5
2018/11/01,11:00,27.2,0.0,82,120,0.6
2018/11/01,12:00,28.0,0.0,78,166,0.2
2018/11/01,13:00,27.8,0.0,83,43,0.0
2018/11/01,14:00,28.0,0.0,84,224,0.4
2018/11/01,15:00,28.0,0.0,84,245,0.2
2018/11/01,16:00,28.0,0.0,82,278,0.2
2018/11/01,17:00,27.6,0.0,86,206,0.0
2018/11/01,18:00,27.3,0.0,88,270,0.0
2018/11/01,19:00,26.0,0.0,92,341,0.0
2018/11/01,20:00,25.0,0.0,95,39,0.0
2018/11/01,21:00,24.5,0.0,97,333,0.0
2018/11/01,22:00,24.1,0.0,97,76,0.0
2018/11/01,23:00,23.7,0.0,97,65,0.0
2018/11/02,00:00,23.4,0.0,97,158,0.0
2018/11/02,01:00,23.2,0.0,97,163,0.0
2018/11/02,02:00,23.2,0.0,97,135,0.0
2018/11/02,03:00,23.1,0.0,97,190,0.0
2018/11/02,04:00,22.9,0.0,97,180,0.0
2018/11/02,05:00,22.8,0.0,97,289,0.0
2018/11/02,06:00,22.7,0.0,97,239,0.0
2018/11/02,07:00,22.5,0.0,97,239,0.0
2018/11/02,08:00,23.1,0.0,97,163,0.0
2018/11/02,09:00,25.0,0.0,91,272,0.6
2018/11/02,10:00,26.1,0.0,83,76,0.3
2018/11/02,11:00,27.2,0.0,75,172,0.3
2018/11/02,12:00,28.7,0.1,69,227,0.7
2018/11/02,13:00,30.0,0.0,63,238,0.9
2018/11/02,14:00,32.1,0.0,61,241,0.4
2018/11/02,15:00,32.8,0.0,60,317,0.4
2018/11/02,16:00,33.0,0.0,59,192,0.3
2018/11/02,17:00,32.0,0.0,62,68,0.3
2018/11/02,18:00,29.5,0.0,72,346,0.1
2018/11/02,19:00,27.6,0.0,81,312,0.0
2018/11/02,20:00,25.9,0.0,88,356,0.0
2018/11/02,21:00,24.8,0.0,93,49,0.0
2018/11/02,22:00,24.1,0.0,95,51,0.0
2018/11/02,23:00,23.5,0.0,95,50,0.0
2018/11/03,00:00,23.1,0.0,96,64,0.0
2018/11/03,01:00,23.1,0.0,96,63,0.0
2018/11/03,02:00,23.2,0.0,96,50,0.0
2018/11/03,03:00,23.1,0.0,96,94,0.0
2018/11/03,04:00,22.6,0.0,96,57,0.0
2018/11/03,05:00,22.1,0.0,97,85,0.0
2018/11/03,06:00,21.8,0.0,97,31,0.0
2018/11/03,07:00,21.6,0.0,97,102,0.0
2018/11/03,08:00,22.5,0.0,97,150,0.0
2018/11/03,09:00,25.5,0.0,89,142,0.5
2018/11/03,10:00,28.9,0.0,76,22,0.8
2018/11/03,11:00,31.0,0.0,68,139,0.8
2018/11/03,12:00,32.4,0.0,64,98,0.7
2018/11/03,13:00,33.1,0.0,61,60,0.9
2018/11/03,14:00,33.4,0.0,59,119,0.5
2018/11/03,15:00,33.5,0.0,57,128,0.6
2018/11/03,16:00,33.3,0.0,58,70,0.5
2018/11/03,17:00,33.0,0.0,58,80,0.4
2018/11/03,18:00,30.4,0.0,67,338,0.0
2018/11/03,19:00,28.1,0.0,78,314,0.0
2018/11/03,20:00,26.4,0.0,86,53,0.0
2018/11/03,21:00,25.3,0.0,91,334,0.0
2018/11/03,22:00,24.7,0.0,94,53,0.0
2018/11/03,23:00,24.1,0.0,95,49,0.0
2018/11/04,00:00,23.8,0.0,96,47,0.0
2018/11/04,01:00,23.5,0.0,96,53,0.0
2018/11/04,02:00,23.3,0.0,96,59,0.0
2018/11/04,03:00,23.2,0.0,97,60,0.0
2018/11/04,04:00,23.0,0.0,96,67,0.0
2018/11/04,05:00,22.9,0.0,97,117,0.0
2018/11/04,06:00,22.7,0.0,97,140,0.0
2018/11/04,07:00,22.6,0.0,97,146,0.0
2018/11/04,08:00,23.6,0.0,97,114,0.1
2018/11/04,09:00,26.2,0.0,88,220,0.4
2018/11/04,10:00,29.2,0.0,74,218,0.5
2018/11/04,11:00,31.6,0.0,65,321,0.7
2018/11/04,12:00,32.4,0.0,63,116,0.9
2018/11/04,13:00,33.2,0.0,61,129,0.8
2018/11/04,14:00,33.9,0.0,59,97,0.6
2018/11/04,15:00,33.5,0.0,58,159,0.4
2018/11/04,16:00,31.1,0.4,75,192,0.0
2018/11/04,17:00,31.1,0.0,79,235,0.3
2018/11/04,18:00,29.0,0.0,83,6,0.2
2018/11/04,19:00,27.5,0.0,85,312,0.3
2018/11/04,20:00,26.3,0.0,90,278,0.0
2018/11/04,21:00,25.8,0.0,94,277,0.0
2018/11/04,22:00,25.5,0.0,95,287,0.0
2018/11/04,23:00,25.1,0.0,96,34,0.0
2018/11/05,00:00,24.9,0.0,96,54,0.0
2018/11/05,01:00,24.6,0.0,96,343,0.0
2018/11/05,02:00,24.3,0.0,97,337,0.0
2018/11/05,03:00,24.0,0.0,97,337,0.0
2018/11/05,04:00,23.6,0.0,97,48,0.0
2018/11/05,05:00,23.4,0.0,97,277,0.0
2018/11/05,06:00,23.0,0.0,97,25,0.0
2018/11/05,07:00,22.9,0.0,97,25,0.0
2018/11/05,08:00,23.8,0.0,96,140,0.0
2018/11/05,09:00,26.0,0.0,89,171,0.2
