Fuente: SENAMHI / DRD
* Datos sin control de calidad.
* El uso de estos datos será de entera responsabilidad del usuario.

Leyenda:
* S/D = Sin Datos.

,Estación : PUERTO ESPERANZA
,Departamento :,UCAYALI,Provincia :,PURUS,Distrito :,PURUS
,Latitud :,9°46'14.98'',Longitud :,70°42'23.97'',Altitud :,237 msnm.
,Tipo :,EMA - Meteorológica,Código :,47E87066
AÑO / MES / DÍA,HORA,TEMPERATURA (°C),PRECIPITACIÓN (mm/hora),HUMEDAD (%),DIRECCION DEL VIENTO (°),VELOCIDAD DEL VIENTO (m/s)
2019/06/01,00:00,23.0,0.0,88,167,0.0
2019/06/01,01:00,22.5,0.0,89,249,0.0
2019/06/01,02:00,22.4,0.0,90,131,0.0
2019/06/01,03:00,22.5,0.0,91,82,0.0
2019/06/01,04:00,22.5,0.0,92,131,0.0
2019/06/01,05:00,22.3,0.0,92,161,0.0
2019/06/01,06:00,22.4,0.0,93,158,0.0
2019/06/01,07:00,22.7,0.0,94,89,0.0
2019/06/01,08:00,24.7,0.0,94,34,0.3
2019/06/01,09:00,27.1,0.0,94,13,1.6
2019/06/01,10:00,28.7,0.0,94,341,2.3
2019/06/01,11:00,30.5,0.0,92,312,2.1
2019/06/01,12:00,31.8,0.0,89,276,2.2
2019/06/01,13:00,32.5,0.0,84,329,2.3
2019/06/01,14:00,31.4,0.0,78,14,1.3
2019/06/01,15:00,32.0,0.0,73,303,1.9
2019/06/01,16:00,31.8,0.0,70,338,0.9
2019/06/01,17:00,31.3,0.0,66,25,0.3
2019/06/01,18:00,28.7,0.0,67,122,0.0
2019/06/01,19:00,25.7,0.0,73,77,0.1
2019/06/01,20:00,24.8,0.0,79,123,0.0
2019/06/01,21:00,24.1,0.0,82,52,0.0
2019/06/01,22:00,23.8,0.0,85,54,0.0
2019/06/01,23:00,23.5,0.0,87,125,0.0
2019/06/02,00:00,22.9,0.0,88,125,0.0
2019/06/02,01:00,22.7,0.0,89,108,0.0
2019/06/02,02:00,22.4,0.0,90,92,0.0
2019/06/02,03:00,22.6,0.0,91,218,0.1
2019/06/02,04:00,22.4,0.0,92,199,0.0
2019/06/02,05:00,22.3,0.0,93,105,0.0
2019/06/02,06:00,22.6,0.0,93,151,0.0
2019/06/02,07:00,23.1,0.0,94,191,0.0
2019/06/02,08:00,24.2,0.0,94,346,0.0
2019/06/02,09:00,27.2,0.0,94,41,1.1
2019/06/02,10:00,29.6,0.0,94,50,2.3
