Fuente: SENAMHI / DRD
* Datos sin control de calidad.
* El uso de estos datos será de entera responsabilidad del usuario.

Leyenda:
* S/D = Sin Datos.

,Estación : SANTA ANA
,Departamento :,UCAYALI,Provincia :,PADRE ABAD,Distrito :,PADRE ABAD
,Latitud :,8°29'51.47'',Longitud :,75°33'45.86'',Altitud :,235 msnm.
,Tipo :,EMA - Meteorológica,Código :,47E8568A
AÑO / MES / DÍA,HORA,TEMPERATURA (°C),PRECIPITACIÓN (mm/hora),HUMEDAD (%),DIRECCION DEL VIENTO (°),VELOCIDAD DEL VIENTO (m/s)
2018/07/01,00:00,22.6,S/D,99,307,0.0
2018/07/01,01:00,22.2,S/D,99,336,0.0
2018/07/01,02:00,21.8,S/D,99,3,0.0
2018/07/01,03:00,21.6,S/D,99,310,0.0
2018/07/01,04:00,21.3,S/D,100,309,0.0
2018/07/01,05:00,21.3,S/D,100,309,0.0
2018/07/01,06:00,21.3,S/D,100,277,0.0
2018/07/01,07:00,20.9,S/D,100,283,0.0
2018/07/01,08:00,20.8,S/D,100,283,0.0
2018/07/01,09:00,22.0,S/D,100,128,0.2
2018/07/01,10:00,25.1,S/D,91,70,0.5
2018/07/01,11:00,28.0,0.0,79,174,0.4
2018/07/01,12:00,28.1,S/D,79,346,1.0
2018/07/01,13:00,30.7,S/D,64,73,0.6
2018/07/01,14:00,31.7,S/D,59,108,0.3
2018/07/01,15:00,31.2,S/D,64,49,0.1
2018/07/01,16:00,30.0,S/D,70,140,0.5
2018/07/01,17:00,31.3,S/D,61,20,0.9
2018/07/01,18:00,28.6,S/D,77,332,0.2
2018/07/01,19:00,25.8,S/D,95,328,0.0
2018/07/01,20:00,24.6,S/D,97,44,0.0
2018/07/01,21:00,23.9,S/D,98,3,0.0
2018/07/01,22:00,23.4,S/D,99,332,0.0
2018/07/01,23:00,23.2,S/D,99,331,0.0
2018/07/02,00:00,22.8,S/D,99,321,0.0
2018/07/02,01:00,22.4,S/D,99,321,0.0
2018/07/02,02:00,22.2,S/D,99,319,0.0
2018/07/02,03:00,21.9,S/D,99,320,0.0
2018/07/02,04:00,21.8,S/D,100,321,0.0
2018/07/02,05:00,21.6,S/D,100,319,0.0
2018/07/02,06:00,21.7,S/D,100,324,0.0
2018/07/02,07:00,21.3,S/D,100,324,0.0
2018/07/02,08:00,21.4,S/D,100,352,0.0
2018/07/02,09:00,22.7,S/D,100,24,0.1
2018/07/02,10:00,25.4,S/D,90,195,0.4
2018/07/02,11:00,27.8,0.0,80,55,0.3
2018/07/02,12:00,28.1,S/D,79,346,1.0
2018/07/02,13:00,30.5,S/D,67,61,0.7
2018/07/02,14:00,31.2,S/D,65,109,0.4
2018/07/02,15:00,32.1,S/D,62,25,0.9
2018/07/02,16:00,31.9,S/D,63,61,0.6
2018/07/02,17:00,29.9,S/D,75,318,0.0
2018/07/02,18:00,28.5,S/D,89,30,0.0
2018/07/02,19:00,26.7,S/D,95,314,0.0
2018/07/02,20:00,25.2,S/D,98,358,0.0
2018/07/02,21:00,24.5,S/D,98,304,0.0
2018/07/02,22:00,24.0,S/D,99,304,0.0
2018/07/02,23:00,23.5,S/D,99,299,0.0
2018/07/03,00:00,23.1,S/D,99,303,0.1
2018/07/03,01:00,22.8,S/D,99,301,0.0
2018/07/03,02:00,22.5,S/D,99,301,0.0
2018/07/03,03:00,22.6,S/D,100,326,0.0
2018/07/03,04:00,22.5,S/D,100,326,0.0
2018/07/03,05:00,22.3,S/D,100,309,0.0
2018/07/03,06:00,22.1,S/D,100,267,0.0
2018/07/03,07:00,21.7,S/D,100,267,0.0
2018/07/03,08:00,21.8,S/D,100,302,0.0
2018/07/03,09:00,23.0,S/D,100,336,0.0
2018/07/03,10:00,25.4,S/D,91,131,0.5
2018/07/03,11:00,28.2,0.0,80,180,0.5
2018/07/03,12:00,28.1,S/D,79,346,1.0
2018/07/03,13:00,30.5,S/D,68,66,0.4
2018/07/03,14:00,31.7,S/D,65,94,0.6
2018/07/03,15:00,32.2,S/D,62,41,0.7
2018/07/03,16:00,32.0,S/D,62,106,0.2
2018/07/03,17:00,30.6,S/D,69,204,0.0
2018/07/03,18:00,28.7,S/D,82,189,0.0
2018/07/03,19:00,26.3,S/D,94,305,0.0
2018/07/03,20:00,25.0,S/D,97,282,0.0
2018/07/03,21:00,24.1,S/D,98,298,0.0
2018/07/03,22:00,23.6,S/D,99,270,0.0
2018/07/03,23:00,23.2,S/D,99,182,0.0
2018/07/04,00:00,22.8,S/D,99,271,0.0
2018/07/04,01:00,22.4,S/D,99,297,0.0
2018/07/04,02:00,22.1,S/D,99,306,0.0
2018/07/04,03:00,21.7,S/D,99,306,0.0
2018/07/04,04:00,21.4,S/D,100,322,0.0
2018/07/04,05:00,21.1,S/D,100,311,0.0
2018/07/04,06:00,20.8,S/D,100,311,0.0
2018/07/04,07:00,20.6,S/D,100,302,0.0
2018/07/04,08:00,20.4,S/D,100,322,0.0
2018/07/04,09:00,21.6,S/D,100,44,0.0
2018/07/04,10:00,25.0,S/D,91,70,0.4
2018/07/04,11:00,27.3,0.0,81,138,0.3
2018/07/04,12:00,28.1,S/D,79,346,1.0
2018/07/04,13:00,30.6,S/D,66,87,0.4
2018/07/04,14:00,31.0,S/D,66,202,0.1
2018/07/04,15:00,31.8,S/D,66,245,0.0
2018/07/04,16:00,31.7,S/D,63,22,0.1
2018/07/04,17:00,28.0,S/D,76,44,0.3
2018/07/04,18:00,25.6,S/D,85,13,0.3
2018/07/04,19:00,24.5,S/D,92,244,0.0
2018/07/04,20:00,23.5,S/D,96,297,0.0
2018/07/04,21:00,23.0,S/D,98,319,0.0
2018/07/04,22:00,22.9,S/D,99,268,0.0
2018/07/04,23:00,22.8,S/D,99,300,0.0
2018/07/05,00:00,22.6,S/D,99,243,0.0
2018/07/05,01:00,22.6,S/D,99,308,0.0
2018/07/05,02:00,22.4,S/D,99,357,0.0
2018/07/05,03:00,22.1,S/D,99,311,0.0
2018/07/05,04:00,21.8,S/D,99,311,0.0
2018/07/05,05:00,21.4,S/D,100,300,0.0
2018/07/05,06:00,21.1,S/D,100,255,0.0
2018/07/05,07:00,20.9,S/D,100,260,0.0
2018/07/05,08:00,21.0,S/D,100,325,0.0
2018/07/05,09:00,21.6,S/D,100,141,0.0
2018/07/05,10:00,23.7,S/D,96,68,0.6
2018/07/05,11:00,27.2,0.0,81,145,0.1
2018/07/05,12:00,28.1,S/D,79,346,1.0
2018/07/05,13:00,28.3,S/D,74,72,0.2
2018/07/05,14:00,29.1,S/D,69,32,0.5
2018/07/05,15:00,29.7,S/D,68,80,0.3
2018/07/05,16:00,30.2,S/D,67,73,0.5
2018/07/05,17:00,29.6,S/D,69,59,0.4
2018/07/05,18:00,27.8,S/D,78,253,0.0
2018/07/05,19:00,25.1,S/D,94,304,0.0
2018/07/05,20:00,23.9,S/D,97,304,0.0
2018/07/05,21:00,23.1,S/D,98,307,0.0
2018/07/05,22:00,22.7,S/D,99,307,0.0
2018/07/05,23:00,22.3,S/D,99,307,0.0
2018/07/06,00:00,21.9,S/D,99,303,0.0
2018/07/06,01:00,21.5,S/D,99,314,0.0
2018/07/06,02:00,21.3,S/D,99,310,0.0
2018/07/06,03:00,21.1,S/D,99,354,0.0
2018/07/06,04:00,20.9,S/D,100,327,0.0
2018/07/06,05:00,20.9,S/D,100,303,0.0
2018/07/06,06:00,21.2,S/D,100,306,0.0
2018/07/06,07:00,21.3,S/D,100,312,0.0
2018/07/06,08:00,21.5,S/D,100,351,0.0
2018/07/06,09:00,22.3,S/D,99,260,0.0
2018/07/06,10:00,23.4,S/D,98,37,0.4
2018/07/06,11:00,25.4,0.0,89,108,0.2
2018/07/06,12:00,28.1,S/D,79,346,1.0
2018/07/06,13:00,29.5,S/D,67,97,0.4
2018/07/06,14:00,31.0,S/D,63,162,0.5
2018/07/06,15:00,31.2,S/D,64,355,0.3
2018/07/06,16:00,31.1,S/D,69,4,0.0
2018/07/06,17:00,31.4,S/D,65,141,0.1
2018/07/06,18:00,28.7,S/D,81,299,0.0
2018/07/06,19:00,26.1,S/D,94,298,0.0
2018/07/06,20:00,24.7,S/D,97,288,0.0
2018/07/06,21:00,23.9,S/D,98,287,0.0
2018/07/06,22:00,23.5,S/D,99,309,0.0
2018/07/06,23:00,23.0,S/D,99,7,0.0
2018/07/07,00:00,22.6,S/D,99,291,0.0
2018/07/07,01:00,22.2,S/D,99,345,0.0
2018/07/07,02:00,21.9,S/D,99,295,0.0
2018/07/07,03:00,21.6,S/D,99,316,0.0
2018/07/07,04:00,21.3,S/D,99,316,0.0
2018/07/07,05:00,21.1,S/D,99,306,0.0
2018/07/07,06:00,21.2,S/D,100,308,0.0
2018/07/07,07:00,21.4,S/D,100,289,0.0
2018/07/07,08:00,21.7,S/D,100,312,0.0
2018/07/07,09:00,23.0,S/D,98,120,0.2
2018/07/07,10:00,25.5,S/D,88,130,0.3
2018/07/07,11:00,26.7,0.0,85,191,0.2
2018/07/07,12:00,28.1,S/D,79,346,1.0
2018/07/07,13:00,29.7,S/D,71,245,0.2
2018/07/07,14:00,30.4,S/D,70,358,0.5
2018/07/07,15:00,31.5,S/D,65,2,0.5
2018/07/07,16:00,31.4,S/D,65,26,0.8
2018/07/07,17:00,31.1,S/D,65,7,0.3
2018/07/07,18:00,28.7,S/D,80,222,0.0
2018/07/07,19:00,26.3,S/D,94,307,0.0
2018/07/07,20:00,25.0,S/D,97,269,0.0
2018/07/07,21:00,24.2,S/D,98,300,0.0
2018/07/07,22:00,23.6,S/D,99,321,0.0
2018/07/07,23:00,23.1,S/D,99,326,0.0
2018/07/08,00:00,22.6,S/D,99,291,0.0
2018/07/08,01:00,22.4,S/D,99,282,0.0
2018/07/08,02:00,22.0,S/D,99,204,0.0
2018/07/08,03:00,21.6,S/D,99,269,0.0
2018/07/08,04:00,21.4,S/D,99,302,0.0
2018/07/08,05:00,21.0,S/D,99,302,0.0
2018/07/08,06:00,21.0,S/D,100,302,0.0
2018/07/08,07:00,20.9,S/D,100,307,0.0
2018/07/08,08:00,20.8,S/D,100,321,0.0
2018/07/08,09:00,21.9,S/D,100,72,0.2
2018/07/08,10:00,25.1,S/D,89,93,0.3
2018/07/08,11:00,27.9,0.0,77,128,0.3
2018/07/08,12:00,28.1,S/D,79,346,1.0
2018/07/08,13:00,30.3,S/D,70,172,0.0
2018/07/08,14:00,31.3,S/D,64,124,0.4
2018/07/08,15:00,32.6,S/D,58,49,0.3
2018/07/08,16:00,32.4,S/D,59,280,0.2
2018/07/08,17:00,32.0,S/D,61,112,0.2
2018/07/08,18:00,28.9,S/D,78,2,0.0
2018/07/08,19:00,26.2,S/D,93,301,0.0
2018/07/08,20:00,24.9,S/D,96,309,0.1
2018/07/08,21:00,24.2,S/D,98,303,0.1
2018/07/08,22:00,23.8,S/D,98,265,0.0
2018/07/08,23:00,23.6,S/D,99,257,0.0
2018/07/09,00:00,23.2,S/D,99,256,0.0
2018/07/09,01:00,22.7,S/D,99,311,0.0
2018/07/09,02:00,22.3,S/D,99,279,0.0
2018/07/09,03:00,22.0,S/D,99,6,0.0
2018/07/09,04:00,22.1,S/D,99,267,0.0
2018/07/09,05:00,22.2,S/D,99,302,0.0
2018/07/09,06:00,22.2,S/D,99,125,0.1
2018/07/09,07:00,22.2,S/D,99,9,0.1
2018/07/09,08:00,22.1,S/D,99,213,0.0
2018/07/09,09:00,22.7,S/D,99,103,0.0
