Fuente: SENAMHI / DRD
* Datos sin control de calidad.
* El uso de estos datos será de entera responsabilidad del usuario.

Leyenda:
* S/D = Sin Datos.
* T = Trazas (Precipitación < 0.1 mm/día).

,Estación : EL MARONAL
,Departamento :,UCAYALI,Provincia :,PADRE ABAD,Distrito :,CURIMANA
,Latitud :,8°27'0'',Longitud :,75°5'48.5'',Altitud :,178 msnm.
,Tipo :,CP - Meteorológica,Código :,108027
AÑO / MES / DÍA,TEMPERATURA (°C),HUMEDAD RELATIVA (%),PRECIPITACIÓN (mm/día)
MAX,MIN,TOTAL
2020-08-01,30,19.4,81.7,31.4
2020-08-02,28.6,18,90.8,19.7
2020-08-03,29.6,19.6,91.5,0.0
2020-08-04,31.4,20,89.1,0.0
2020-08-05,32.6,21,93.8,0.0
2020-08-06,33,19.8,86.1,0.0
2020-08-07,31.8,20.8,89.6,0.0
2020-08-08,32.6,21.4,93.3,0.0
2020-08-09,34.6,19.8,88.5,0.0
2020-08-10,33.8,19.6,96.2,0.0
2020-08-11,33.4,20.6,88.6,0.0
2020-08-12,32.8,19.4,91.2,0.0
2020-08-13,33.6,20.4,91.7,0.0
2020-08-14,34.2,18.6,90.9,0.0
2020-08-15,34,21.6,89.8,5.6
2020-08-16,32.6,19.8,94.7,0.0
2020-08-17,33.2,20.6,89.8,0.0
2020-08-18,33.4,21.4,89.9,0.0
2020-08-19,34,19.8,96.0,0.0
2020-08-20,33.6,20.6,94.1,0.0
2020-08-21,33.6,19.8,92.6,0.0
2020-08-22,33.8,20.6,90.1,0.0
2020-08-23,34.4,19.8,92.3,0.0
2020-08-24,32.6,20.4,90.2,0.0
2020-08-25,33.4,19.4,92.4,0.0
2020-08-26,34.6,21,87.4,0.0
2020-08-27,34,20.8,88.7,0.0
2020-08-28,33.2,21,87.8,0.0
2020-08-29,32.8,19.8,90.2,0.0
2020-08-30,33.4,20.6,92.2,0.0
2020-08-31,32.6,21.2,87.7,0.0
