Fuente: SENAMHI / DRD
* Datos sin control de calidad.
* El uso de estos datos será de entera responsabilidad del usuario.

Leyenda:
* S/D = Sin Datos.
* T = Trazas (Precipitación < 0.1 mm/día).

,Estación : PUCALLPA
,Departamento :,UCAYALI,Provincia :,CORONEL PORTILLO,Distrito :,CALLARIA
,Latitud :,8°24'47.62'',Longitud :,74°34'18.67'',Altitud :,162 msnm.
,Tipo :,CP - Meteorológica,Código :,108021
AÑO / MES / DÍA,TEMPERATURA (°C),HUMEDAD RELATIVA (%),PRECIPITACIÓN (mm/día)
MAX,MIN,TOTAL
2019-12-01,31,24,83.2,6.8
2019-12-02,31,23.8,S/D,0.4
2019-12-03,31.2,23.8,83.2,1.3
2019-12-04,33,24,80.3,2.6
2019-12-05,29.2,23,S/D,27.4
2019-12-06,30.4,22.8,80.4,2.4
2019-12-07,32.6,22.8,83.6,0.0
2019-12-08,33,22.6,67.8,0.0
2019-12-09,33,24.4,80.1,0.0
2019-12-10,33.4,22.8,73.5,0.0
2019-12-11,32.6,22.2,72.5,0.0
2019-12-12,31.4,23.4,89.6,3.5
2019-12-13,28,24,83.5,89.0
2019-12-14,26.2,20.8,S/D,9.8
2019-12-15,31,22,92.2,4.5
2019-12-16,29.4,22.2,94.9,2.8
2019-12-17,32.2,22.4,77.4,0.0
2019-12-18,28.2,24.2,86.8,17.1
2019-12-19,32,22.4,81.6,19.7
2019-12-20,32.4,23.2,79.5,3.7
2019-12-21,29,22.8,S/D,8.4
2019-12-22,32.4,23,78.7,7.3
2019-12-23,28,23.8,90.1,53.0
2019-12-24,32.2,22.2,75.2,0.0
2019-12-25,33.6,22.6,71.3,0.0
2019-12-26,32,22.8,89.3,0.3
2019-12-27,31.2,22.8,83.3,44.2
2019-12-28,30,22.8,S/D,1.9
2019-12-29,32.4,22,94.0,0.0
2019-12-30,32,22.8,82.2,0.0
2019-12-31,32.6,24,76.7,0.0
