Fuente: SENAMHI / DRD
* Datos sin control de calidad.
* El uso de estos datos será de entera responsabilidad del usuario.

Leyenda:
* S/D = Sin Datos.
* T = Trazas (Precipitación < 0.1 mm/día).

,Estación : SAN ALEJANDRO
,Departamento :,UCAYALI,Provincia :,PADRE ABAD,Distrito :,IRAZOLA
,Latitud :,8°50'4'',Longitud :,75°12'59.01'',Altitud :,216 msnm.
,Tipo :,CO - Meteorológica,Código :,100121
AÑO / MES / DÍA,TEMPERATURA (°C),HUMEDAD RELATIVA (%),PRECIPITACIÓN (mm/día)
MAX,MIN,TOTAL
2020-03-01,28.6,20,90.3,6.4
2020-03-02,33.6,21.2,83.9,0.0
2020-03-03,34,22.2,83.9,0.0
2020-03-04,32.1,21.8,87.1,6.3
2020-03-05,34.1,18.9,83.0,0.0
2020-03-06,30.1,22.3,86.8,22.2
2020-03-07,33.7,21.3,85.2,0.0
2020-03-08,32,21.7,86.5,0.0
2020-03-09,28.1,22.2,88.6,38.9
2020-03-10,33.3,18.3,82.8,0.0
2020-03-11,34.6,21,82.0,0.0
2020-03-12,34,22,85.6,0.0
